investment_id,investor_name,limited_partnter_name,commitments
40,Perella Weinberg Partners (NAS: PWP),Greater Rochester Health Foundation,1.0
41,Perella Weinberg Partners (NAS: PWP),Houston Municipal Employees' Pension System,1.0
42,Perella Weinberg Partners (NAS: PWP),Indiana Public Employees' Defined Benefit Account,1.0
43,Perella Weinberg Partners (NAS: PWP),Indiana Public Retirement System,2.0
44,Perella Weinberg Partners (NAS: PWP),Massena,1.0
45,Perella Weinberg Partners (NAS: PWP),New Jersey Division of Investment,2.0
46,Perella Weinberg Partners (NAS: PWP),New Mexico Public Employees' Retirement Association,1.0
47,Perella Weinberg Partners (NAS: PWP),New Mexico State Investment Council,1.0
48,Perella Weinberg Partners (NAS: PWP),New York City Board of Education Retirement System,1.0
49,Perella Weinberg Partners (NAS: PWP),New York City Employees' Retirement System,1.0
50,Perella Weinberg Partners (NAS: PWP),New York City Fire Department Pension Fund,1.0
51,Perella Weinberg Partners (NAS: PWP),New York City Police Pension Fund,1.0
52,Perella Weinberg Partners (NAS: PWP),New York State Teachers' Retirement System,3.0
53,Perella Weinberg Partners (NAS: PWP),NextEra Energy Employee Pension Plan,1.0
54,Perella Weinberg Partners (NAS: PWP),NJJ Capital,1.0
55,Perella Weinberg Partners (NAS: PWP),North Carolina Retirement Systems,1.0
56,Perella Weinberg Partners (NAS: PWP),Ohio Police & Fire Pension Fund,1.0
57,Perella Weinberg Partners (NAS: PWP),Pension Benefit Guaranty,1.0
58,Perella Weinberg Partners (NAS: PWP),PGGM,2.0
59,Perella Weinberg Partners (NAS: PWP),Shell Pension Plan,1.0
60,Perella Weinberg Partners (NAS: PWP),Stichting Pensioenfonds ABP,1.0
61,Perella Weinberg Partners (NAS: PWP),Stichting Pensioenfonds Zorg en Welzijn,1.0
62,Perella Weinberg Partners (NAS: PWP),Teachers Insurance and Annuity Association of America,
63,Perella Weinberg Partners (NAS: PWP),Teachers' Retirement System of the City of New York,1.0
64,Perella Weinberg Partners (NAS: PWP),Texas County & District Retirement System,1.0
65,Perella Weinberg Partners (NAS: PWP),Texas Tech University System Endowment,1.0
66,Perella Weinberg Partners (NAS: PWP),The Nemours Foundation Pension Plan,2.0
67,Perella Weinberg Partners (NAS: PWP),UFCW - Northern California Employers Joint Pension,1.0
68,Perella Weinberg Partners (NAS: PWP),Veritas Pension Insurance,2.0
69,Perella Weinberg Partners (NAS: PWP),Western Conference of T...,1.0
70,Portfolia,ImpactAssets,2.0
71,Portfolia,Science Futures,4.0
72,Cultivation Capital,Clifford Holekamp,
73,Cultivation Capital,Compass Group Equity Partners,
74,Deer Park Road,Kodak Retirement Income Plan,1.0
75,Healthbox,Blue Cross Blue Shield of Massachusetts,1.0
76,Healthbox,BlueCross BlueShield of Tennessee,1.0
77,Healthbox,Health Care Service Corporation,1.0
78,Healthbox,Intermountain Healthcare Pension Plan,1.0
79,lnvictus,BASF Corporation Pension Master Trust,1.0
80,lnvictus,J.R. Hyde III Family Foundation,1.0
81,lnvictus,Medtronic Master Trust Fund,1.0
82,lnvictus,Merseyside Pension Fund,1.0
83,lnvictus,Texas Tech University System Endowment,1.0
84,Media Development Investment Fund,Investment Fund For Developing Countries,1.0
85,Multicoin Capital,Binance,1.0
86,Multicoin Capital,Compound,
87,Multicoin Capital,Portage Ventures,
88,Parallaxes Capital,UPMC Master Trust,1.0
89,TEDCO,J. Paul Getty Trust,1.0
90,TEDCO,State Small Business Credit Initiative,
91,TEDCO,The Aaron Straus & Lillie Straus Foundation,1.0
92,BVM Capital,Irene W. & C. B. Pennington Foundation,1.0
93,BVM Capital,Scurlock Foundation,1.0
94,Capital Factory,Bill Boebel,
95,Capital Factory,Jared Slosberg,
96,Capital Factory,Joshua Baer,
97,Capital Factory,Kenny Van Zant,
98,Capital Factory,Kevin Moore,
99,Capital Factory,Rony Kahan,
100,Capital Factory,Trailblazer Capital,
101,Clocktower Technology Ventures,Alan Howard,1.0
102,Clocktower Technology Ventures,AMK Investment Office,1.0
103,Clocktower Technology Ventures,Hirtle Callaghan & Co.,1.0
104,Clocktower Technology Ventures,Passport Foundation,2.0
105,Clocktower Technology Ventures,The K Fund,
106,Closed loop Partners,Amazon.com,1.0
107,Closed loop Partners,Autodesk,1.0
108,Closed loop Partners,Coca-Cola European Partners (LON: CCEP),1.0
109,Closed loop Partners,Dow,1.0
110,Closed loop Partners,lmpactAssets,2.0
111,Closed loop Partners,Keurig Dr Pepper,1.0
112,Closed loop Partners,Lyondellbasell Master Trust,1.0
113,Closed loop Partners,Microsoft,2.0
114,Closed loop Partners,Nestle,2.0
115,Closed loop Partners,Pepsico,2.0
116,Closed loop Partners,The American Beverage Association,1.0
117,Closed loop Partners,The Recycling Partnership Inc,1.0
118,Closed loop Partners,Unilever,1.0
119,Closed loop Partners,World Wildlife Fund,1.0
120,Eastside Partners,Infirmary Health System Pension Plan,1.0
121,Eastside Partners,Jack and Anne Glenn Charitable Foundation,1.0
122,Eastside Partners,Regions Financial Corporation Retirement Plan,1.0
123,NextGen Venture Partners,Brown Advisory,
124,NextGen Venture Partners,Fine Day Ventures,
125,NextGen Venture Partners,Foley Ventures,
126,NextGen Venture Partners,Saudi Aramco Energy Ventures,
127,Ospraie Management,Hatteras Funds,1.0
128,Ospraie Management,Missouri Department of Transportation and Highway Patrol Employees' Retirement System,1.0
129,Ospraie Management,Varma Mutual Pension Insurance Company,1.0
130,Poseidon Asset Management,Paul Hastings Defined Contribution Retirement Plan,1.0
131,Precursor Ventures,Bodley Group,1.0
132,Precursor Ventures,Kapor Center for Social Impact,1.0
133,Precursor Ventures,Passport Foundation,1.0
134,Precursor Ventures,Plexo Capital,
135,Precursor Ventures,Silicon Valley Community Foundation,
136,Precursor Ventures,Silicon Valley Community Foundation Endowment Pool,1.0
137,Precursor Ventures,Silicon Valley Community Foundation Long-Term Growth Pool,1.0
138,Resolute Ventures,Adams Street Partners,1.0
139,Resolute Ventures,Baylor University Endowment,1.0
140,Resolute Ventures,Foundry Group,2.0
141,Resolute Ventures,Houston Police Officers' Pension System,
142,Resolute Ventures,Iowa Public Employees' Retirement System,
143,Resolute Ventures,Medley Partners,1.0
144,Resolute Ventures,Morgan Stanley,1.0
145,Resolute Ventures,National Electrical Benefit Fund,1.0
146,Resolute Ventures,Nevada Public Employees Retirement System,
147,Resolute Ventures,The Hillman Company,2.0
148,Resolute Ventures,Top Tier Capital Partners    ,2.0
149,Resolute Ventures,Vintage Investment Partners,2.0
150,Saturn Partners,Colcom Foundation,3.0
151,Saturn Partners,Janet W. McCune for Charities,1.0
152,Saturn Partners,John Hancock Financial Services,1.0
153,Saturn Partners,The Seraph Foundation,1.0
154,Sony Innovation Fund,Daiwa Securities Group,1.0
155,Sony Innovation Fund,Mitsubishi Estate,1.0
156,Sony Innovation Fund,Mitsubishi HC Capital,1.0
157,Sony Innovation Fund,Mizuho Financial Group,1.0
158,Sony Innovation Fund,Osaka Shoko Shinkin Bank,1.0
159,Sony Innovation Fund,Sony Financial Holdings,1.0
160,Sony Innovation Fund,Sumitomo Mitsui Banking,1.0
161,Sony Innovation Fund,The Bank of Yokohama,1.0
162,Star Asia,University of Michigan Endowment,
163,Star Asia,University of Texas Investment Management Company,2.0
164,Valence Life Sciences,Colorado Trust,1.0
165,Zephyr Management,African Development Bank,1.0
166,Zephyr Management,Bill & Melinda Gates Foundation,1.0
167,Zephyr Management,DEG,1.0
168,Zephyr Management,Development Bank of Southern Africa,1.0
169,Zephyr Management,European Investment Bank,1.0
170,Zephyr Management,FMO- Dutch entrepreneurial development bank,2.0
171,Zephyr Management,Gatsby Charitable Foundation,1.0
172,Zephyr Management,HarbourVest Partners,
173,Zephyr Management,Headlands Capital,1.0
174,Zephyr Management,International Finance Corporation,3.0
175,Zephyr Management,John S. and James L. Knight Foundation,1.0
176,Zephyr Management,JP Morgan Asset Management,1.0
177,Zephyr Management,Kingdom Holding Company (SAU: 4280),1.0
178,Zephyr Management,Northwestern Mutual,1.0
179,Zephyr Management,Proparco,
180,Zephyr Management,Rockefeller Foundation,1.0
181,Zephyr Management,Temasek Holdings,1.0
182,Zephyr Management,Travelers Indemnity Company,
183,Zephyr Management,University of Texas Investment Management Company,1.0
184,Zephyr Management,U.S. International Development Finance Corporation,1.0
185,Advantage Capital (Saint Louis),BW SIPP Trustees,1.0
186,Advantage Capital (Saint Louis),First Bank (St. Louis),1.0
187,Advantage Capital (Saint Louis),John Hancock Financial Services,5.0
188,Advantage Capital (Saint Louis),John Hancock Variable Life Insurance Company,4.0
189,Advantage Capital (Saint Louis),LDC,1.0
190,Advantage Capital (Saint Louis),Northwestern Mutual,4.0
191,Advantage Capital (Saint Louis),Pacific Life Insurance,1.0
192,Advantage Capital (Saint Louis),Physicians Life Insurance Company,5.0
193,Advantage Capital (Saint Louis),Physicians Mutual lnsurance Company,5.0
194,Advantage Capital (Saint Louis),Southwest Bank (an M&I Bank subsidiary),1.0
195,Advantage Capital (Saint Louis),Transamerica Financial Life Insurance Company,1.0
196,Advantage Capital (Saint Louis),Transamerica Life lnsurance Company,3.0
197,Advantage Capital (Saint Louis),Transamerica Premier Life Insurance,1.0
198,Advantage Capital (Saint Louis),U.S. Bancorp,1.0
199,Advantage Capital (Saint Louis),U.S. Bancorp Community Development,1.0
200,AIG Global Real Estate,804 Investors,1.0
201,AIG Global Real Estate,AIG Europe,1.0
202,AIG Global Real Estate,Allstate Insurance Company,1.0
203,AIG Global Real Estate,American Life Insurance Company,1.0
204,AIG Global Real Estate,Arizona State Retirement System,
205,AIG Global Real Estate,Casey Family Programs,3.0
206,AIG Global Real Estate,Catalunya Caixa XV,1.0
207,AIG Global Real Estate,Chizuko Yoshida Settlement,1.0
208,AIG Global Real Estate,Citco Global Custody,1.0
209,AIG Global Real Estate,Deka Immobilien Luxembourg,1.0
210,AIG Global Real Estate,Eastman Chemical Company Master Retirement Trust,2.0
211,AIG Global Real Estate,Eastman Investment & Employee Stock Ownership Plan,2.0
212,AIG Global Real Estate,Eastman Retirement Assistance Plan,1.0
213,AIG Global Real Estate,El Paso Firemen & Policemen's Pension Fund,2.0
214,AIG Global Real Estate,Erie Insurance Exchange,4.0
215,AIG Global Real Estate,Everest Reinsurance Company,1.0
216,AIG Global Real Estate,Franklin Templeton,1.0
217,AIG Global Real Estate,General Electric Pension Trust,1.0
218,AIG Global Real Estate,Guardian Life Insurance Company of America,1.0
219,AIG Global Real Estate,HIP Company,1.0
220,AIG Global Real Estate,Landmark Partners an Ares Company,1.0
221,AIG Global Real Estate,Michiyo Yashiro Everard Children's Settlement,2.0
222,AIG Global Real Estate,Michiyo Yashiro Everard Settlement,2.0
223,AIG Global Real Estate,Milken Family Foundation,1.0
224,AIG Global Real Estate,National Union Fire Insurance Company of Pittsburgh,1.0
225,AIG Global Real Estate,Partners Group,1.0
226,AIG Global Real Estate,Regents of the University of Minnesota,2.0
227,AIG Global Real Estate,Teachers Insurance and Annuity Association of America,1.0
228,AIG Global Real Estate,William Penn Foundation,1.0
229,AlbumVC,Leonetti / O'Connell Family Foundation,1.0
230,Altira Group,Andrew W. Mellon Foundation,1.0
231,Altira Group,Arthur S. DeMoss Foundation,
232,Altira Group,Environment Agency Pension Fund,1.0
233,Altira Group,John S. and James L. Knight Foundation,1.0
234,Altira Group,Masdar Capital,1.0
235,Altira Group,Mayo Pension Plan,1.0
236,Altira Group,New Mexico State Investment Council,1.0
237,Altira Group,Park Street Capital,1.0
238,Altira Group,Richard King Mellon Foundation,1.0
239,Altira Group,The Andy Warhol Foundation for the Visual Arts,2.0
240,Altira Group,UPMC Master Trust,1.0
241,Altira Group,William T. Grant Foundation,3.0
242,Aperture Venture Partners,Fidelity National Information Services (NYS: FIS),1.0
243,Aperture Venture Partners,PayPal Holdings,1.0
244,Arctic Ventures,Sameinaei l¨ªfeyrissj¨®eurinn,
245,Backstage Capital,Anthemis Group,
246,Backstage Capital,Bradley Feld,
247,Backstage Capital,Lars Rasmussen,
248,Backstage Capital,Leslie Miley,
249,Backstage Capital,Marc Andreessen,
250,Backstage Capital,Proton Enterprises,
251,Backstage Capital,Susan Kimberlin,
252,Bee Partners,ImpactAssets,1.0
253,Bee Partners,Passport Foundation,1.0
254,Bee Partners,Shanda Group,
255,Bloomfield Capital,Charter Township of Shelby Fire & Police Retirement System,3.0
256,Bloomfield Capital,City of Fort Lauderdale Police & Fire Retirement System,1.0
257,Bloomfield Capital,City of Southfield Employee Retirement System,4.0
258,Bloomfield Capital,City of Southfield Fire and Police Retirement System,1.0
259,Bloomfield Capital,City of Stamford Police Pension Fund,1.0
260,Bloomfield Capital,City of St. Petersburg Fire Pension Fund,1.0
261,Bloomfield Capital,Detroit General Retirement System,1.0
262,Bloomfield Capital,Genesee County Employees' Retirement System,2.0
263,Bloomfield Capital,San Antonio Fire & Police Pension Fund,2.0
264,Bluestem Capital Company,Fund For Wisconsin Scholars,1.0
265,Bluestem Capital Company,Glacial Lakes Capital,
266,Bluestem Capital Company,North Central Heart Institute 401(k) Profit Sharing Plan,2.0
267,Bluestem Capital Company,Orthopedic Institute Profit Sharing and Retirement Savings Plan,1.0
268,Bonfire Ventures,Foundry Group,1.0
269,Bonfire Ventures,Mull Capital,2.0
270,BoostVC,Rothenberg Ventures,
271,BoostVC,Timothy Draper,
272,Catapult VC,Shanda Group,
273,Chicago Ventures,Illinois Growth and Innovation Fund,
274,Chicago Ventures,Illinois State Treasurer,2.0
275,Chicago Ventures,RSVP Capital,
276,Chicago Ventures,The Duchossois Group,1.0
277,Cleo Capital,Bumble,1.0
278,Cleo Capital,ImpactAssets,1.0
279,Cleo Capital,Jennifer Rubio,1.0
280,Cleo Capital,Nicole Quinn,1.0
281,Core Innovation Capital,KL Felicitas Foundation,1.0
282,Core Innovation Capital,The Goldman Sachs Group,1.0
283,CourtsideVC,Bruin Capital,1.0
284,CourtsideVC,Daniel Gilbert,1.0
285,CourtsideVC,Passport Foundation,1.0
286,CourtsideVC,Quicken Loans,1.0
287,CourtsideVC,WPP,1.0
288,Cowboy Ventures,Diego Berdakin,
289,Cowboy Ventures,Edward Zimmerman,
290,Cowboy Ventures,Kleiner Perkins,1.0
291,Cowboy Ventures,Lee Linden,
292,Cowboy Ventures,Paul Sethi,
293,Cowboy Ventures,Suleman Ali,
294,Discovery Capital,Boston Symphony Orchestra Pensions Trust Fund,1.0
295,Discovery Capital,Chicago Regional Council of Carpenters Pension Fund,1.0
296,Discovery Capital,Citigroup Pension Plan,1.0
297,Discovery Capital,Co-Op Retirement Plan,1.0
298,Discovery Capital,Electrolux Home Products Master Trust,1.0
299,Discovery Capital,Eversource Retirement Plan Master Trust,1.0
300,Discovery Capital,Foundation of the Massachusetts Eye & Ear Infirmary,1.0
301,Discovery Capital,Furman University Endowment,
302,Discovery Capital,Goodnow Fund,1.0
303,Discovery Capital,Hall Family Foundation,1.0
304,Discovery Capital,Lincoln National Life Insurance Company,1.0
305,Discovery Capital,Lorillard Tobacco Company Retirement Master Trust,1.0
306,Discovery Capital,Lovett Woodsum Family Charitable Foundation,1.0
307,Discovery Capital,Memorial Sloan-Kettering Cancer Center Pension Plan,1.0
308,Discovery Capital,New York State Common Retirement Fund,1.0
309,Discovery Capital,Omidyar Network Fund,1.0
310,Discovery Capital,Orbital ATK Pension and Retirement Plan,1.0
311,Discovery Capital,Paul Hastings Defined Benefit Retirement Plan For Partners,1.0
312,Discovery Capital,Retirement Plan For Employees Of Woods Hole Oceanographic Institution,1.0
313,Discovery Capital,Rochester General Health System Employee Retirement Plan,1.0
314,Discovery Capital,The Annie E. Casey Foundation,1.0
315,Discovery Capital,The Kroger Company Master Retirement Trust,1.0
316,Discovery Capital,Tower Health,1.0
317,Discovery Capital,Transamerica Pension Plan,1.0
318,Discovery Capital,U.F.C.W. Consolidated Pension Fund,1.0
319,Discovery Capital,United Food & Commercial Workers Union Employer Pension Fund,1.0
320,Discovery Capital,University of PA Absolute Return Pool,1.0
321,Discovery Capital,Waitt Foundation,1.0
322,Equal Ventures Management,Los Angeles Fire and Police Pension System,1.0
323,Equal Ventures Management,Plexo Capital,
324,FCA Venture Partners,Nashville & Davidson County Metropolitan Government Employee Benefit Trust Fund,1.0
325,ff Venture Capital,Empire State Development,1.0
326,ff Venture Capital,Morris Wheeler,
327,ff Venture Capital,New Jersey Economic Development Authority,1.0
328,ff Venture Capital,RosePaul Ventures,
329,ff Venture Capital,Shanda Group,
330,ff Venture Capital,The Community Development Venture Capital Alliance,1.0
331,ff Venture Capital,The Goldman Sachs Group(NYS:GS),1.0
332,Five Keys Capital Advisors,Charles K. Blandin Foundation,1.0
333,Five Keys Capital Advisors,New Orleans Fire Fighters' Pension and Relief Fund,3.0
334,Five Keys Capital Advisors,The Russel Family Foundation,1.0
335,Flint Capital,Ohio Public Employees Retirement System,
336,Florida Funders,Atlantic Merchant Capital Investors,
337,FundersClub,EGR Partners,
338,Heavybit,Brad Silverberg,
339,Heavybit,Michael Dearing,
340,Heavybit,Roger Ehrenberg,
341,Heavybit,Steve Anderson,
342,lntudo Ventures,CTBC Financial Holdings(TAI:2891),1.0
343,lntudo Ventures,Founders Fund,1.0
344,lntudo Ventures,Philadelphia Industrial Development Corporation,1.0
345,lntudo Ventures,President (BVI) International Investment Holdings,1.0
346,lntudo Ventures,Walgreens Boots Alliance (NAS:WBA),1.0
347,lntudo Ventures,Wasson Enterprise,1.0
348,lntudo Ventures,World Innovation Lab,1.0
349,Learnlaunch Fund+ Accelerator,LaunchCapital,
350,Mantis VC,James Coulter,1.0
351,Mantis VC,Keith Rabois,1.0
352,Mantis VC,Mark Cuban,1.0
353,Mantis VC,Ronald Conway,1.0
354,Moxxie Ventures,Cendana Capital,
355,Moxxie Ventures,Emerson Collective,1.0
356,Moxxie Ventures,Foundry Group,1.0
357,Moxxie Ventures,Global Endowment Management,1.0
358,Moxxie Ventures,Goldman Sachs Asset Management,1.0
359,Moxxie Ventures,Laurene Jobs,1.0
360,Moxxie Ventures,Marc Andreessen,1.0
361,Moxxie Ventures,The Goldman Sachs Group(NYS:GS),
362,NGN Capital,American Friends of the Hebrew University Charitable Common Fund,2.0
363,NGN Capital,American International Group Retirement Plan,1.0
364,NGN Capital,European Investment Fund,1.0
365,NGN Capital,Knafel Family Foundation,1.0
366,NGN Capital,Lexington Insurance,1.0
367,NGN Capital,Los Angeles Fire and Police Pension System,1.0
368,NGN Capital,New Mexico State Investment Council,1.0
369,NGN Capital,New York City Board of Education Retirement System,1.0
370,NGN Capital,New York City Employees' Retirement System,1.0
371,NGN Capital,New York City Fire Department Pension Fund       ,1.0
372,NGN Capital,New York City Police Pension Fund       ,1.0
373,NGN Capital,New York City Public Pension Funds,1.0
374,NGN Capital,New York State Common Retirement Fund,1.0
375,NGN Capital,Teachers' Retirement System of the City of New York,1.0
376,Parametric Clifton,Connecticut Laborers' Pension Plan,
377,Parametric Clifton,New Mexico State Investment Council,
378,Scientific Health Development,A.G. Hill Partners,1.0
379,Scientific Health Development,The Combined Master Retirement Trust,1.0
380,Scribble Venrures,Harry Stebbings,
381,Shine Capital,Texas County & District Retirement System,3.0
382,Shrug Capital,Christopher Dixon,1.0
383,Shrug Capital,Cyan Banister,1.0
384,Shrug Capital,Kevin Moore,
385,Shrug Capital,Marc Andreessen,1.0
386,Sovereign's Capital,David Weekley Family Foundation,1.0
387,Tech Square Ventures,Coca-Cola,1.0
388,Tech Square Ventures,Cox Enterprises,2.0
389,Tech Square Ventures,Georgia-Pacific GB Company Money Purchase Pension Plan        ,1.0
390,Tech Square Ventures,Invesco,1.0
391,Tech Square Ventures,Invest Georgia,1.0
392,Tech Square Ventures,The Goldman Sachs Group        ,
393,Tech Square Ventures,United Parcel Service(NYS:UPS),1.0
394,The House Fund,Berkeley Endowment Management Company        ,1.0
395,The House Fund,Infosys,1.0
396,The House Fund,Regents of the University of California,2.0
397,The House Fund,Seraph Group,
398,The House Fund,Shervin Pishevar,1.0
399,The House Fund,University of California        ,1.0
400,Torch Capital,George Kaiser Family Foundation        ,1.0
401,Torch Capital,Silas Chou,1.0
402,Urban Oil & Gas Group,Employees' Retirement Plan of Duke University        ,1.0
403,Verdis Investment Management,Daniel P. Amos Family Foundation,1.0
404,Verdis Investment Management,Woods Services Pension Plan        ,1.0
405,Village Global,Bodley Group,1.0
406,Village Global,Cascade Investment,
407,Village Global,Eric Schmidt,
408,Village Global,Jeffrey Bezos,1.0
409,Village Global,Marissa Mayer,1.0
410,Village Global,Mark Zuckerberg,
411,Village Global,Princeton University Investment Company        ,1.0
412,Village Global,Reid Hoffman,1.0
413,Village Global,Sara Blakely,
414,VPE Capital,Mubadala Develop,
415,VPE Capital,Sberbank Investments,1.0
416,VPE Capital,Sberbank of Russia(MISX:SBER)       ,
417,Windcrest Partners,Shamrock Foods Company Retirement Plan        ,1.0
418,Wonder Ventures,Bodley Group,1.0
419,Wonder Ventures,Cendana Capital,
420,Wonder Ventures,Cherry Tree Investments      ,
421,XYZ-Ventures,Bodley Group,1.0
422,XYZ-Ventures,Cendana Capital,
423,Zeev Ventures,Greenspring Associates,
424,4BIO Capital Partners,Children's Hospitals & Clinics of Minnesota,
425,4BIO Capital Partners,Kyowa Kirin,1.0
426,500 Southeast Asia,Malaysia Venture Capital Management,2.0
427,Abstract Ventures,Proton Enterprises,
428,Abstract Ventures,The K Fund,
429,Accelerator Life Science Partners,180 Degree Capital (NAS:TURN),1.0
430,Accelerator Life Science Partners,AbbVie,1.0
431,Accelerator Life Science Partners,Alexandria Real Estate Equities  (NYS:ARE)      ,1.0
432,Accelerator Life Science Partners,ARCH Venture Partners        ,
433,Accelerator Life Science Partners,Eli Lilly,1.0
434,Accelerator Life Science Partners,International Business Machines  (NYS:IBM)      ,1.0
435,Accelerator Life Science Partners,Johnson & Johnson Innovation - JJDC        ,1.0
436,Accelerator Life Science Partners,Pfizer Ventures,1.0
437,Accelerator Life Science Partners,Versant Ventures,
438,Accelerator Life Science Partners,WRF Capital,1.0
439,Accelerator Life Science Partners,WuXi AppTec,1.0
440,Acorn Bioventures,Greenspring Associates        ,
441,Acorn Bioventures,Michigan Department of Treasury,1.0
442,Agent Capital,Illinois Growth and Innovation Fund,
443,Agent Capital,Illinois State Treasurer        ,2.0
444,Alidade Capital,Charter Township of Clinton Police and Fire Retirement System,3.0
445,Alidade Capital,Charter Township of Shelby Fire & Police Retirement System        ,1.0
446,Alidade Capital,Genesee County Employees' Retirement System,4.0
447,Alidade Capital,Monroe County Employees Retirement System        ,1.0
448,Alidade Capital,Southfield Retiree Health Care Benefits Plan and Trust        ,2.0
449,Alpha Innovations,Foresight Group,1.0
450,Amplify.LA,Accel,2.0
451,Amplify.LA,Alan Mnuchin,1.0
452,Amplify.LA,Allison Pescosolido	,1.0
453,Amplify.LA,Amidi Group,1.0
454,Amplify.LA,Andre de Baubigny,1.0
455,Amplify.LA,Andrew Lanoha,1.0
456,Amplify.LA,Andrew Matosich,1.0
457,Amplify.LA,Andrew Sriubas,1.0
458,Amplify.LA,Andrew Wright,2.0
459,Amplify.LA,Aviv Nevo,1.0
460,Amplify.LA,Barry Porter,2.0
461,Amplify.LA,Ben Silverman,1.0
462,Amplify.LA,Ben Vanderbund,1.0
463,Amplify.LA,Blue Heron Ventures,1.0
464,Amplify.LA,Boldstart Ventures,1.0
465,Amplify.LA,Brian Napack,2.0
466,Amplify.LA,Canyon Creek Capital,1.0
467,Amplify.LA,Cherry Tree Investments	,
468,Amplify.LA,Danny Zhang,1.0
469,Amplify.LA,David Baron,1.0
470,Amplify.LA,David Carter,1.0
471,Amplify.LA,David Siminoff,2.0
472,Amplify.LA,Deep Fork Capital,1.0
473,Amplify.LA,Dennis Miller,1.0
474,Amplify.LA,Dennis Phelps,
475,Amplify.LA,Diego Berdakin,1.0
476,Amplify.LA,Donald Rosen,2.0
477,Amplify.LA,Dovi Frances,1.0
478,Amplify.LA,Ed Wilson,1.0
479,Amplify.LA,Emilio Diez Barroso	,1.0
480,Amplify.LA,Fady Yacoub,1.0
481,Amplify.LA,George Rose,1.0
482,Amplify.LA,Gordon Crawford,2.0
483,Amplify.LA,Hank Vigil,1.0
484,Amplify.LA,Headline (San Francisco),1.0
485,Amplify.LA,Howard Rowen,2.0
486,Amplify.LA,I. Martin Pompadur	,1.0
487,Amplify.LA,Jack Kennedy,1.0
488,Amplify.LA,Jan Buettner,1.0
489,Amplify.LA,Jane Akdoruk	,1.0
490,Amplify.LA,Jarl Mohn,2.0
491,Amplify.LA,Jeff Kearl,1.0
492,Amplify.LA,Jeffrey Lipp,1.0
493,Amplify.LA,Jeffrey Parkinson,1.0
494,Amplify.LA,Jim Wiatt,2.0
495,Amplify.LA,Joe Lewis,1.0
496,Amplify.LA,Jonathan Kaye,1.0
497,Amplify.LA,Jon Provisor,1.0
498,Amplify.LA,Joshua James,1.0
499,Amplify.LA,Karlin Ventures,1.0
500,Amplify.LA,Keith Boesky,1.0
501,Amplify.LA,Ken Salkin,1.0
502,Amplify.LA,Kevin Wall,1.0
503,Amplify.LA,Kirk D'Amico,1.0
504,Amplify.LA,Marc Geiger,1.0
505,Amplify.LA,Mark Burnett,1.0
506,Amplify.LA,Mark Surfas,2.0
507,Amplify.LA,Michael Lambert,1.0
508,Amplify.LA,Michael Lewis,2.0
509,Amplify.LA,Mike Pugh,1.0
510,Amplify.LA,NALA Investments,1.0
