investor_id,investor_name,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry_1,preferred_industry_2,primary_investor_type,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments
18,Portfolia,74,5,7,24.00,13.92,Early Stage VC,189.20,37.00,Venture Capital,64,43,20,10,58,10,4.45,Commercial Products,Consumer Products and Services (B2C),Venture Capital,5.12,3.14,0.5,7,63,39,17,7,58,10,74
19,Steele Creek Investment Management,,5,3,50.00,42.59,,,,,,,,,,,50,,,Lender/Debt Provider,50,36.24,22.05,3,,,,,,,
20,3Sisters Sustainable Management,1,4,1,20.40,3.16,Early Stage VC,5.00,1.5,Venture Capital,1,1,1,,1,,25,Business Products and Services (B2B),Consumer Products and Services (B2C),Impact Investing,25,25,25,1,1,1,,,1,,1
21,Accelerate Financial Technologies,,4,,72.39,,,,,,,,,,,,,,,Hedge Fund,,,,,,,,,,,
22,Blue Elephant,1,4,,102.80,37.23,Early Stage VC,,,Venture Capital,,,,,,1,,,,Asset Manager,,12.4,,,,,,,,1,1
23,Cross Shore Capital Management,,4,4,240.95,665.03,,,,,,,,,,,9,Capital Markets/Institutions,Other Financial Services,Asset Manager,13.08,11.86,8.7,4,,,,,,,
24,Cultivation Capital,212,4,7,241.00,74.15,Later Stage VC,,7.00,Venture Capital,134,58,31,17,111,25,74.18,Agriculture,Pharmaceuticals and Biotechnology,Venture Capital,74.18,18.64,5,7,131,56,28,11,111,25,212
25,Deer Park Road,3,4,,61.20,51.11,Later Stage VC,725.00,75.00,Venture Capital,3,3,3,3,3,3,,Capital Markets/Institutions,Other Financial Services,Hedge Fund,,51.11,,,3,3,3,2,3,,3
26,DoubleBlue Capital Management,,4,,132.76,,,,,,,,,,,,,,,Hedge Fund,,,,,,,,,,,
27,Energea Global,1,4,,98.68,300,Buyout/LBO,11.50,5.50,Private Equity,1,,,,1,,,Energy Infrastructure,Other Energy Services,Impact Investing,,75,,,1,,,,1,,1
28,FQS Capital Partners,,4,,69.92,69,,,,,,,,,,,,,,Hedge Fund,,34.5,,,,,,,,,
29,Healthbox,136,4,9,3.00,3.15,Seed Round,7.48,2.90,Venture Capital,11,1,,,61,60,,Healthcare Devices and Supplies,Healthcare Services,Accelerator/Incubator,35,0.42,0.13,9,9,1,,,61,60,136
30,lnnovius Capital,3,4,2,77.20,98.49,Later Stage VC,"3,000.00",350.00,Venture Capital,2,2,1,1,2,1,11,,,Venture Capital,40.62,18.3,11,2,2,2,1,1,2,1,3
31,lnvictus,4,4,3,100.00,820.45,Angel (individual),5.38,0.75,Individual,2,,,,1,3,26,Software,,Asset Manager,833,338.5,26,3,2,,,,1,3,4
32,Lee Capital Management,,4,3,130.83,,,,,,,,,,,,,Asset Management,,Hedge fund,,,,2,,,,,,,
33,LionTree Partners,82,4,,53.58,5.69,Later Stage VC,,125.00,Venture Capital,73,36,23,7,64,17,4,Communications and Networking,Computer Hardware,Merchant Banking Firm,4,4.5,4,1,73,34,22,3,64,17,82
34,Media Development Investment Fund,39,4,3,105.00,21.34,Seed Round,,0.10,Venture Capital,12,7,3,1,19,12,13.3,Commercial Services,Media,Not-For-Profit Venture Capital,113,13.3,13.3,3,11,5,2,1,19,12,39
35,Multicoin Capital,85,4,5,50.00,430.12,Seed Round,,35.00,Venture Capital,84,61,49,31,73,2,100,Software,,Venture Capital,100,81.57,17,5,84,60,44,27,73,2,85
36,Parallaxes Capital,,4,3,33.80,28.19,,,,,,,,,,,33.75,,,Asset Manager,33.75,28.38,23,3,,,,,,,
37,Plutus21 Capital,,4,,60.00,69.69,,,,,,,,,,,,Application Software,Database Software,Hedge Fund,,16.26,,,,,,,,,
38,Point Olema Capital Partners,,4,,152.00,273.85,,,,,,,,,,,,,,PE/Buyout,,130.42,,,,,,,,,
39,STORY3 Capital Partners,9,4,1,188.00,188.93,Buyout/LBO,,,Private Equity,7,5,4,2,8,,21.31,Apparel and Accessories,Consumer Durables,PE/Buyout,21.31,21.26,21.31,,7,5,3,,8,,9
40,TEDCO,454,4,10,110.00,44.83,Later Stage VC,,0.10,Venture Capital,175,82,51,22,252,151,,Commercial Products,Energy Equipment,Venture Capital,135,27.6,0.14,10,173,77,47,19,252,151,454
41,Verdad,,4,,169.10,112.8,,,,,,,,,,,,Business Products and Services (B2B),Private Equity,Hedge Fund,,56.4,,,,,,,,,
42,Winebrenner Capital Partners,,4,,152.10,42.33,,,,,,,,,,,,,,Hedge Fund,,16,,,,,,,,,
43,Yorkville Advisors,52,4,2,148.00,,Later Stage VC,,42.29,Venture Capital,11,7,4,2,20,32,,Energy,Information Technology,Hedge Fund,,,,2,11,7,4,2,20,32,52
44,1984 Ventures,64,3,1,42.30,19.17,Seed Round,,6.00,Venture Capital,64,41,18,10,42,3,42.27,Consumer Products and Services (B2C),Financial Services,Venture Capital,42.27,1.43,42.27,,64,36,15,8,42,3,64
45,Alpha Wealth Funds,4,3,1,29.92,2.34,PE Growth/Expansion,,20.50,Private Equity,1,1,,,1,1,8.92,Commercial Products,Consumer Durables,Limited Partner,8.92,5.63,8.92,1,1,,,,1,1,4
46,Amity Ventures,37,3,3,48.40,47.64,Seed Round,29.60,5.60,Venture Capital,35,21,12,7,24,2,50,Software,,Venture Capital,50,49.19,48.38,3,35,21,10,5,24,2,37
47,ATHOS Private Wealth,,3,,16.66,4.54,,,,,,,,,,,,Asset Management,Other Capital Markets/Institutions,PE/Buyout,,1.62,,,,,,,,,
48,Block.one,26,3,3,156.15,98.1,Early Stage VC,300.00,18.00,Venture Capital,20,11,3,1,19,3,23.68,Application Software,Other Information Technology,Venture Capital,99.73,50,23.68,3,20,9,3,,19,3,26
49,Blue Opal Capital,7,3,6,150.00,5.83,Early Stage VC,"2,000.00",250.00,Venture Capital,7,7,6,,6,1,0.0.,Apparel and Accessories,Commercial Products,Venture Capital,3.56,0.38,0.01,6,7,7,5,,6,,7
50,BVM Capital,20,3,2,60.50,4.44,Later Stage VC,12.76,4.51,Venture Capital,,,,,2,10,12.5,Pharmaceuticals and Biotechnology,,Venture Capital,24,18.25,12.5,2,,,,,2,10,20
51,Capital Factory,1192,3,9,3.58,3.83,Seed Round,10.26,3.26,Venture Capital,362,67,25,17,721,412,0.26,Aerospace and Defense,Agriculture,Venture Capital,3.28,0.26,0.10,9,354,52,22,13,721,412,1192
52,Chesapeake Capital,,3,,89.39,208.94,,,,,,,,,,,,,,Hedge Fund,,104.47,,,,,,,,,
53,Chinus Asset Management,,3,1,86.40,90.00,,,,,,,,,,,,Business Products and Services (B2B),Consumer Products and Services (B2C),Asset Manager,1.70,25.00,1.70,1,,,,,,,
54,Clocktower Technology Ventures,153,3,2,70.00,127.46,Later Stage VC,100.00,24.00,Venture Capital,134,87,57,29,113,13,70,Capital Markets/Institutions,Commercial Banks,Venture Capital,70.00,70.00,5.00,2,133,83,54,21,113,13,153
55,Closed loop Partners,49,3,7,164.83,263.21,Seed Round,,3.36,Venture Capital,40,22,14,6,30,6,50,Agriculture,Apparel and Accessories,Venture Capital,87.00,42.50,14.00,7,40,21,11,4,30,6,49
56,Credit Capital Investments,,3,,194.04,98.00,,,,,,,,,,,,,,Hedge fund,,49.00,,,21,13,10,,18,8,33
57,Eastlink Capital,33,3,1,26.00,,Seed Round,,2.00,Venture Capital,21,13,12,9,18,8,,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,,,,,,,,,,,
58,Eastside Partners,39,3,4,101.41,6.06,Later Stage VC,55.10,22.00,Venture Capital,10,3,1,1,5,24,,Healthcare Devices and Supplies,Software,Growth/Expansion,60.00,30.35,11.41,4,9,3,1,,5,24,39
59,EHP Funds,,3,,64.88,72.65,,,,,,,,,,,,,,Hedge Fund,,36.33,,,,,,,,,
60,European Investment Management Services,,3,5,185.70,218.98,,,,,,,,,,,170.1,Accounting,Audit and Tax Services (B2C),Family Office,170.10,32.03,21.85,5,,,,,,,
61,Explorador Capital Management,2,3,1,201.38,,Early Stage VC,,24.00,Venture Capital,,,,,,2,25,Commercial Services,Energy,Hedge Fund,25.00,25.00,25.00,,,,,,,2,2
62,Gatemore Capital Management,6,3,,122.78,57.94,Later Stage VC,122.71,22.71,Venture Capital,5,1,1,,2,2,,Apparel and Accessories,Commercial Services,Hedge Fund,,28.97,,,5,1,,,2,2,6
63,Global Frontier Investments,6,3,,23.20,2.21,Later Stage VC,,20.00,Venture Capital,6,3,2,,2,,,Computer Hardware,Software,Venture Capital,,2.21,,,6,3,,,2,,6
64,Goodwood,1,3,,193.56,53.22,Secondary Transaction,,,Corporate,,,,,1,,,Business Products and Services (B2B),Communications and Networking,Hedge Fund,,26.61,,,,,,,,,
65,Helm Investment Partners,,3,,76.50,3.44,,,,,,,,,,,,,,Hedge fund,,3.44,,,,,,,,,
66,Inherent Group,13,3,,160.80,161.82,Later Stage VC,,65.00,Venture Capital,9,6,4,2,10,4,,Educational and Training Services (B2C),Energy,Impact Investing,,161.82,,,8,6,4,,10,4,13
67,International Capital Management Corporation,,3,3,69.41,14.11,,,,,,,,,,,,,,Hedge Fund,,3.42,,3,,,,,,,
68,JCP Investment Management,3,3,,137.83,15.50,PIPE,,50.40,Private Equity,,,,,1,2,,Retail,,Hedge Fund,,15.50,,,,,,,,2,3
69,Meson Capital Partners,6,3,1,80.00,,Later Stage VC,335.00,80.00,Venture Capital,5,3,2,1,1,2,,Energy Services,Industrial Supplies and Parts,Hedge fund,,,,,5,3,,,,2,6
70,Meyer Global Management,12,3,2,100.00,0.00,Seed Round,20.10,6.10,Venture Capital,12,10,5,1,12,,,Alternative Energy Equipment,Business Products and Services (B2B),Hedge Fund,20.00,20.00,20.00,2,12,9,4,,12,,12
71,Millcreek Asset Management,,3,1,219.40,16.92,,,,,,,,,,,,,,Hedge fund,,3.95,,,,,,,,,
72,NextGen Venture Partners,106,3,2,118.70,72.61,Seed Round,25.00,5.00,Venture Capital,75,35,14,6,51,24,52.55,Other Commercial Services,Other Consumer Products and Services,Venture Capital,52.55,22.00,22.00,2,74,29,11,5,51,24,106
73,NuWave Investment Management,,3,3,135.63,136.06,,,,,,,,,,,,,,Hedge Fund,10.13,31.64,10.13,3,,,,,,,
74,Ohana Real Estate Investors,4,3,2,215.00,261.40,Corporate Asset Purchase,275.00,275.00,Corporate,2,1,1,,,3,,Other Business Products and Services,Restaurants,Real Estate,215.00,187.13,215.00,2,2,,,,,3,4
75,Oppenheimer + Close,,3,,99.50,,,,,,,,,,,,,,,Hedge fund,,,,,,,,,,,
76,Ospraie Management,28,3,2,193.30,283.52,Buyout/LBO,,,Private Equity,15,12,4,2,9,6,2800,Consume,Products and Services (B2C),Hedge fund,"2,800.00",184.04,"2,800.00",2,15,10,3,2,9,6,28
77,Phyto Partners,59,3,2,52.00,12.00,Later Stage VC,20.45,6.45,Venture Capital,51,12,6,4,28,13,15,Agriculture,Consumer Products and Services (B2C),Venture Capital,15.00,6.25,5.50,2,48,10,4,4,28,13,59
78,Poseidon Asset Management,53,3,3,196.00,162.04,Later Stage VC,,8.17,Venture Capital,40,11,9,5,24,13,1.86,Consume,Products and Services (B2C),Venture Capital,145.00,18.48,1.86,3,38,10,9,3,24,13,53
79,Precursor Ventures,316,3,2,81.10,48.48,Early Stage VC,,,Venture Capital,233,99,52,27,209,54,31,Computer Hardware,Education and Training Services (B2B),Venture Capital,31.00,22.38,15.18,2,226,96,46,15,209,54,316
80,Preserver Partners,,3,,171.60,210.31,,,,,,,,,,,,,,Hedge fund,,105.16,,,,,,,,,
81,Resolute Ventures,202,3,5,204.90,53.44,Seed Round,25.00,5.00,Venture Capital,92,40,24,11,80,60,13.75,Business/Productivity Software,Computer Hardware,Venture Capital,75.00,47.00,13.75,5,91,38,21,9,80,60,202
82,Rexus Investment Fund,11,3,,24.20,36.30,Secondary Transaction,,,Private Equity,11,5,2,2,11,,,Aerospace and Defense,Apparel and Accessories,PE/Buyout,,11.00,,,11,4,2,2,11,,11
83,S28 Capital,88,3,2,200.00,36.30,Early Stage VC,,15.00,Venture Capital,71,16,10,6,48,18,170,Commercial Services,Commercial Transportation,Venture Capital,170.00,86.00,2.00,2,70,16,9,5,48,18,88
84,Saturn Partners,60,3,4,200.00,17.19,Later Stage VC,,78.11,Venture Capital,4,1,,,11,34,66,Financial Services,Healthcare,Venture Capital,280.00,49.50,25.00,4,4,,,,11,34,60
85,Seamans Holdings,6,3,,102.00,13.85,Seed Round,,4.00,Venture Capital,3,1,1,,5,2,,Energy Equipment,Energy Services,Family Office,,3.82,,,2,,,,5,2,6
86,Sony Innovation Fund,151,3,,250.00,226.96,Seed Round,,12.00,Venture Capital,145,76,50,23,111,9,,Business Products and Services (B2B),Consumer Products and Services (B2C),Corporate Venture Capital,,226.96,,,143,71,39,18,111,9,151
87,Star Asia,1,3,,23.31,,Joint Venture,,,Corporate,,,,,1,,,Asset Management,Buildings and Property,Real Estate,,,,,,,,,,,
88,Tabor Asset Management,,3,,168.34,115.47,,,,,,,,,,,,Consume,Products and Services (B2C),Hedge Fund,,32.25,,,,,,,,,
89,Trilinc Global,3,3,1,86.30,29.40,Merger/Acquisition,,,Corporate,,,,,,,,Capital Markets/Institutions,Other Financial Services,Impact Investing,81.83,55.61,81.83,,,,,,,,3
90,Valence Life Sciences,22,3,2,71.30,2.41,Later Stage VC,101.00,21.00,Venture Capital,3,3,1,,2,11,60.8,Healthcare Devices and Supplies,Healthcare Technology Systems,Venture Capital,60.80,60.80,60.80,2,3,3,,,2,11,22
91,Zephyr Management,66,3,17,169.92,302.78,Seed Round,,5.25,Venture Capital,29,11,5,3,28,30,37.3,Agriculture,Apparel and Accessories,PE/Buyout,492.00,59.00,7.00,17,29,11,5,2,28,30,66
92,4DX Ventures,53,2,4,43.44,50.59,Seed Round,,3.00,Venture Capital,50,37,32,20,35,1,1.33,Software,,Venture Capital,61.63,17.61,1.33,4,49,36,29,17,35,,53
93,Acrewood Holdings,,2,6,92.00,87.22,,,,,,,,,,,26.59,Business Products and Services (B2B),Other Services (B2C Non-Financial),PE/Buyout,26.59,13.89,5.12,6,,,,,,,
94,Advantage Capital (Saint Louis),357,2,42,161.52,56.92,Buyout/LBO,,,Private Equity,49,16,6,2,82,199,64.5,Apparel and Accessories,Commercial Products,Venture Capital,154.50,29.34,2.37,42,49,16,6,2,82,199,357
95,AgFunder,67,2,6,160.00,34.75,Early Stage VC,,10.00,Venture Capital,65,42,26,15,44,5,21,Software,,Venture Capital,21.00,14.19,3.81,6,65,41,22,12,44,5,67
96,AIG Global Real Estate,8,2,20,13.00,"2,578.51",Corporate Asset Purchase,34.75,34.75,Corporate,,,,,1,8,1914,,,Real Estate,"1,914.00",300.00,46.80,20,,,,,,8,8
97,AlbumVC,95,2,4,152.09,64.33,Early Stage VC,,10.00,Venture Capital,60,25,13,7,45,18,40,Healthcare Services,Software,Venture Capital,75.06,47.61,21.82,4,58,24,12,5,45,18,95
98,Alder Capital,,2,,93.30,15.95,,,,,,,,,,,,,,Hedge Fund,,15.95,,,,,,,,,
99,AlphaOne Capital Partners,,2,3,109.20,6.56,,,,,,,,,,,,Information Technology,,Asset Manager,44.05,25.31,44.05,3,,,,,,,
100,Altira Group,81,2,6,122.40,25.15,PE Growth/Expansion,,150.00,Private Equity,9,4,2,1,6,43,122.4,Alternative Energy Equipment,Chemicals and Gases,Venture Capital,175.80,42.00,4.35,6,9,4,,,6,43,81
101,Antler (Private Equity),358,2,3,59.40,334.98,Seed Round,,1.00,Venture Capital,339,217,113,53,288,14,13.5,Software,,Accelerator/Incubator,50.00,34.98,13.50,3,339,206,104,40,288,14,358
102,Aperture Venture Partners,61,2,5,49.20,4.79,Later Stage VC,223.60,103.60,Venture Capital,22,7,3,2,12,30,,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,49.19,31.15,3.77,5,21,6,3,,12,30,61
103,Arctic Ventures,6,2,3,200.00,2.31,Later Stage VC,"7,400.00",500.00,Venture Capital,6,5,3,,3,3,1.23,Aerospace and Defense,Education and Training Services (B2B),Venture Capital,50.00,3.64,1.23,3,6,5,3,,3,3,6
104,Augment Ventures,20,2,2,15.00,2.31,Early Stage VC,,4.04,Venture Capital,12,5,2,2,8,9,10,Commercial Products,Healthcare Technology Systems,Venture Capital,10.00,7.50,5.00,2,10,5,2,,8,9,20
105,Authentic Ventures,18,2,1,30.50,58.84,Seed Round,31.99,6.99,Venture Capital,14,7,6,5,12,3,4.72,Business Products and Services (B2B),Financial Services,Venture Capital,4.72,4.72,4.72,,14,6,6,5,12,3,18
106,Backstage Capital,191,2,1,5.00,2.50,Seed Round,12.25,2.25,Venture Capital,139,51,23,5,151,25,5,Business Products and Services (B2B),Communications and Networking,Venture Capital,5.00,3.53,5.00,,135,51,20,4,151,25,191
107,Bay Capital Ventures,,2,1,114.90,232.80,,,,,,,,,,,51.71,,,Venture Capital,51.71,58.89,51.71,1,,,,,,,
108,Bee Partners,113,2,5,100.00,23.32,Early Stage VC,,2.40,Venture Capital,51,24,15,5,44,30,42.5,Healthcare Technology Systems,Other Hardware,Venture Capital,42.50,7.60,1.00,5,48,24,13,3,44,30,113
109,Bioeconomy Capital,23,2,2,108.00,0.00,Later Stage VC,116.00,33.00,Venture Capital,15,6,3,3,10,2,,Alternative Energy Equipment,Animal Textiles,Venture Capital,8.30,8.30,8.30,2,13,6,3,3,10,2,23
110,Bloomfield Capital,1,2,3,200.00,38.57,Merger/Acquisition,,,Corporate,,,,,,,100,Capital Markets/Institutions,Commercial Services,Real Estate,100.00,60.00,10.00,3,,,,,,,
111,Bluestem Capital Company,59,2,21,128.51,"1,337.30",Later Stage VC,238.00,46.00,Venture Capital,22,8,3,2,23,22,,Commercial Services,Healthcare Devices and Supplies,PE/Buyout,77.00,13.50,1.40,21,22,8,3,,23,22,59
112,Bonfire Ventures,151,2,3,90.00,76.94,Seed Round,9.30,3.30,Venture Capital,123,46,30,21,80,36,100,Business Products and Services (B2B),Financial Services,Venture Capital,100.00,81.50,63.00,3,120,44,26,13,80,36,151
113,BoostVC,393,2,5,85.20,95.13,Later Stage VC,,15.50,Venture Capital,173,60,34,14,226,120,40.42,Biotechnology,Other Healthcare,Accelerator/Incubator,40.42,38.60,6.60,5,168,59,29,8,226,120,393
114,Borealis Strategic Capital Partners,,2,,63.80,255.00,,,,,,,,,,,,,,Venture Capital,,255.00,,,,,,,,,
115,Bright Equities,,2,,2.78,,,,,,,,,,,,,Business Products and Services (B2B),Capital Markets/Institutions,PE/Buyout,,,,,,,,,,,
116,Builders VC,87,2,2,175.00,482.83,Later Stage VC,,21.77,Venture Capital,77,39,17,8,50,18,175,Agriculture,Buildings and Property,Venture Capital,175.00,205.47,10.00,2,75,39,15,5,50,18,87
117,Cadenza Capital,56,2,1,50.00,35.83,Early Stage VC,240.00,50.00,Venture Capital,52,45,26,16,44,2,50,Financial Services,Software,Venture Capital,50.00,50.00,50.00,1,52,43,24,13,44,2,56
118,Caffeinated Capital,246,2,10,146.30,107.49,Early Stage VC,222.00,90.00,Venture Capital,183,107,50,23,147,47,,Commercial Products,Commercial Services,Venture Capital,96.86,42.99,7.86,10,181,106,45,14,147,47,246
119,Carter-Haston,,2,4,114.79,78.53,,,,,,,,,,,63.19,Other Business Products and Services,,Real Estate,67.50,53.69,11.03,4,,,,,,1,
120,Castle Ridge Asset Management,,2,,100.00,,,,,,,,,,,,,Communications and Networking,Computer Hardware,Asset Manager,,,,,,,,,,,
121,Catapult VC,175,2,1,150.00,85.44,Later Stage VC,,33.42,Venture Capital,117,26,6,2,117,56,293,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,293.00,221.50,293.00,,111,24,4,2,117,56,175
122,Chainlink Capital Management,1,2,,26.00,29.00,Early Stage VC,,0.15,Venture Capital,1,1,1,1,1,,,,,Hedge Fund,,14.50,,,,1,,,1,,
123,Chicago Ventures,154,2,3,163.00,32.83,Seed Round,38.50,8.50,Venture Capital,65,25,14,8,55,46,63,Agriculture,Automation/Workflow Software,Venture Capital,66.04,63.00,40.00,3,64,22,11,5,55,46,154
124,Cleo Capital,82,2,1,10.00,8.08,Later Stage VC,"2,000.00",135.00,Venture Capital,76,49,23,15,75,3,3.5,Software,,Venture Capital,3.50,5.10,3.50,,75,46,19,12,75,3,82
125,Coelius Capital,82,2,3,45.00,40.04,Seed Round,12.00,3.00,Venture Capital,67,25,13,3,44,11,45,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,45.00,23.00,1.00,3,66,24,8,,44,11,82
126,Construct Capital (Washington DC),14,2,2,140.00,109.81,Early Stage VC,222.00,90.00,Venture Capital,14,14,10,7,9,,220,Commercial Products,Commercial Transportation,Venture Capital,220.00,180.00,140.00,2,14,14,9,6,9,,14
127,Core Innovation Capital,105,2,3,150.00,128.63,Early Stage VC,205.00,40.00,Venture Capital,72,39,22,14,48,31,75,Other Financial Services,Software,Venture Capital,75.00,45.00,3.00,3,70,38,19,11,48,31,105
128,CourtsideVC,84,2,2,35.00,9.14,Seed Round,,1.80,Venture Capital,69,34,18,8,44,16,,Casinos and Gaming,Clinics/Outpatient Services,Venture Capital,35.00,35.00,35.00,2,68,30,15,5,44,16,84
129,Cowboy Ventures,153,2,3,195.00,173.88,Seed Round,15.60,3.60,Venture Capital,75,35,20,11,55,36,95,Business Products and Services (B2B),Computer Hardware,Venture Capital,95.00,63.99,40.00,3,74,31,17,7,55,36,153
130,CreativeCo Capital,29,2,1,20.00,7.00,Seed Round,,4.60,Venture Capital,27,22,13,7,22,2,5,Business Products and Services (B2B),Software,Growth/Expansion,5.00,5.00,5.00,,27,22,8,5,22,2,29
131,DaVinci Capital Partners,,2,,118.54,50.58,,,,,,,,,,,,Business Products and Services (B2B),Consumer Products and Services (B2C),Asset Manager,,25.29,,,,,,,,,
132,Discovery Capital,38,2,6,112.22,122.46,Early Stage VC,,5.30,Venture Capital,5,2,2,,8,25,47.43,Consumer Products and Services (B2C),Environmental Services (B2B),Venture Capital,47.43,4.31,3.61,6,4,2,,,8,25,38
133,Dot Capital,22,2,8,12.50,3.02,Early Stage VC,,0.63,Venture Capital,12,5,1,1,10,10,0.84,Software,,Venture Capital,3.20,1.00,0.80,8,12,5,,,10,10,22
134,E8,111,2,1,48.00,20.00,Early Stage VC,,2.75,Venture Capital,35,13,8,3,66,28,,Consume,Durables,Angel Group,,20.00,,,34,13,8,3,66,28,111
135,Equal Ventures Management,18,2,1,56.00,30.02,Later Stage VC,80.48,20.48,Venture Capital,18,13,8,5,11,,56,Consumer Durables,Environmental Services (B2B),Venture Capital,56.00,56.00,56.00,,18,12,7,4,11,,18
136,Euclidean Technologies Management,,2,,103.34,113.53,,,,,,,,,,,,,,Hedge fund,,113.53,,,,,,,,,
137,Fairview Partners,,2,6,60.00,12.37,,,,,,,,,,,82,Building Products,Construction and Engineering,Real Estate,82.00,8.31,0.52,6,,,,,,,
138,FCA Venture Partners,83,2,8,120.00,116.78,Later Stage VC,,18.28,Venture Capital,26,14,12,8,22,37,55,Commercial Services,Healthcare Services,Venture Capital,55.00,45.20,11.25,8,26,14,12,7,22,37,83
139,Feenix Venture Partners,23,2,2,11.50,58.00,Later Stage VC,54.00,19.00,Venture Capital,17,6,3,2,20,2,13,Consumer Products and Services (B2C),Education and Training Services (B2B),Venture Capital,65.00,58.00,13.00,2,17,5,3,2,20,2,23
140,ff Venture Capital,305,2,9,212.00,47.27,Seed Round,,2.99,Venture Capital,89,31,21,11,85,68,26.46,Commercial Services,Consumer Durables,Venture Capital,53.90,26.46,5.03,9,86,31,20,7,85,68,305
141,Five Keys Capital Advisors,,2,10,249.55,21.70,,,,,,,,,,,,,,Hedge fund,53.00,44.00,35.00,10,,,,,,,
