investor_id,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments,primary_investor_type
20,,4,,20.40,3.16,Early Stage VC,5.00,1.5,Venture Capital,,,,,,,25,"Business Products and Services (B2B), Consumer Products and Services (82C), Healthcare, Information Technology",25,25,25,,,,,,,,,Impact Investing
21,,4,,72.39,,,,,,,,,,,,,,,,,,,,,,,,,Hedge Fund
22,,4,,102.80,37.23,Early Stage VC,,,Venture Capital,,,,,,,,,,12.4,,,,,,,,,,Asset Manager
23,,4,4,240.95,665.03,,,,,,,,,,,9,"Capital Markets/Institutions, Other Financial Services",13.08,11.86,8.7,4,,,,,,,,Asset Manager
24,212,4,7,241.00,74.15,Later Stage VC,,7.00,Venture Capital,134,58,31,17,111,25,74.18,"Agriculture, Pharmaceuticals and Biotechnology, Services (Non·Financial), Sohware",74.18,18.64,5,7,131,56,28,11,111,25,212,Venture Capital
25,3,4,,61.20,51.11,Later Stage VC,725.00,75.00,Venture Capital,3,,,,,,,"Capital Markets/Institutions, Other Financial Services",,51.11,,,3,3,3,2,3,,3,Hedge Fund
26,,4,,132.76,,,,,,,,,,,,,,,,,,,,,,,,,Hedge Fund
27,,4,,98.68,300,Buyout/LBO,11.50,5.50,Private Equity,,,,,,,,"Energy Infrastructure, Other Energy Services",,75,,,,,,,,,,Impact Investing
28,,4,,69.92,69,,,,,,,,,,,,,,34.5,,,,,,,,,,Hedge Fund
29,136,4,9,3.00,3.15,Seed Round,7.48,2.90,Venture Capital,11,,,,61,60,,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Software",35,0.42,0.13,9,9,,,,61,60,136,Accelerator/Incubator
30,3,4,2,77.20,98.49,Later Stage VC,"3,000.00",350.00,Venture Capital,2,2,,,,,11,,40.62,18.3,11,2,2,2,,,2,1,3,Venture Capital
31,4,4,3,100.00,820.45,Angel (individual),5.38,0.75,Individual,2,,,,,3,26,Software,833,338.5,26,3,2,,,,,3,4,Asset Manager
32,,4,3,130.83,,,,,,,,,,,,,Asset Management,,,,,,34,22,3,64,17,82,Hedge fund
33,82,4,,53.58,5.69,Later Stage VC,,125.00,Venture Capital,73,36,23,7,64,17,4,"Communications and Networking, Compucer Hardware, IT Services, Media,0;;:her Information Technology, Semicondl",4,4.5,4,3,73,,,,,,,Merchant Banking Firm
34,39,4,3,105.00,21.34,Seed Round,,0.10,Venture Capital,12,7,,,19,12,13.3,"Commercial Services, Media, Software",113,13.3,13.3,3,11,5,2,,19,12,39,Not-For-Profit Venture Ca ...
35,85,4,5,50.00,430.12,Seed Round,,35.00,Venture Capital,84,61,49,31,73,2,100,Software,100,81.57,17,5,84,60,44,27,73,2,85,Venture Capital
36,,4,3,33.80,28.19,,,,,,,,,,,33.75,,33.75,28.38,23,3,,,,,,,,Asset Manager
37,,4,,60.00,69.69,,,,,,,,,,,,"Application Software, Database Software, Educacional and Training Services (B2C), Internet Software, Media, Other C",,16.26,,,,,,,,,,Hedge Fund
38,,4,,152.00,273.85,,,,,,,,,,,,,,130.42,,,,,,,,,,PE/Buyout
39,9,4,,188.00,188.93,Buyout/LBO,,,Private Equity,7,,4,,8,,21.31,"Apparel and Accessories, Consumer Durables, Media, Other Consumer Non•Durables, Other Consumer Products and",21.31,21.26,21.31,,7,5,3,,8,,9,PE/Buyout
40,454,4,10,110.00,44.83,Later Stage VC,,0.10,Venture Capital,175,82,51,22,252,151,,"Commercial Products, Energy Equipment, Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology, Soft",135,27.6,0.14,10,173,77,47,19,252,151,454,Venture Capital
41,,4,,169.10,112.8,,,,,,,,,,,,"Business Products and Services (B2B), Private Equity",,56.4,,,,,,,,,,Hedge Fund
42,,4,,152.10,42.33,,,,,,,,,,,,,,16,,,,,,,,,,Hedge Fund
43,52,4,2,148.00,,Later Stage VC,,42.29,Venture Capital,11,7,4,,20,32,,"Energy, Information Technology, Metals, Minerals and Mining, Pharmaceuticals and Biotechnology",,,,2,11,7,4,2,20,32,52,Hedge Fund
44,64,3,,42.30,19.17,Seed Round,,6.00,Venture Capital,64,41,18,10,42,3,42.27,"Consumer Products and Services (B2C), Financial Services, Healthcare, Human Capital Services, Logistics, Software",42.27,1.43,42.27,,64,36,15,8,42,3,64,Venture Capital
45,4,3,,29.92,2.34,PEGrowth/Expansion,,20.50,Private Equity,,1,,,,,8.92,"Commercial Products, Consumer Durables",8.92,5.63,8.92,1,1,,,,1,1,4,limited Partner
46,37,3,3,48.40,47.64,Seed Round,29.60,5.60,Venture Capital,35,21,12,7,24,2,50,Software,50,49.19,48.38,3,35,21,10,5,24,2,37,Venture Capital
47,,3,,16.66,4.54,,,,,,,,,,,,"Asset Management, Other Capital Markets/Institutions, Other Consumer Products and Services, Other Financial Servi",,1.62,,,,,,,,,,PE/Buyout
48,26,3,3,156.15,98.1,Early Stage VC,300.00,18.00,Venture Capital,20,11,,,19,3,23.68,"Application Software, Other Information Technology, Other Software",99.73,50,23.68,3,20,9,3,,19,3,26,Venture Capital
49,7,3,6,150.00,5.83,Early Stage VC,"2,000.00",250.00,Venture Capital,7,7,6,,6,,0.0.,"Apparel and Accessories, Commercial Products, Commercial Services, Commercial Transportation, Consumer Durable",3.56,0.38,0.01,6,7,7,5,,6,,7,Venture Capital
50,20,3,2,60.50,4.44,Later Stage VC,12.76,4.51,Venture Capital,,,,,,10,12.5,Pharmaceuticals and Biotechnology,24,18.25,12.5,2,,,,,2,10,20,Venture Capital
51,1192,3,9,3.58,3.83,Seed Round,10.26,3.26,Venture Capital,362,67,25,17,721,412,0.26,"Aerospace and Defense, Agriculture, Application Software, Automation/Workflow Software, Business/Productivity Saf",3.28,0.26,0.10,9,354,52,22,13,721,412,1192,Venture Capital
52,,3,,89.39,208.94,,,,,,,,,,,,,,104.47,,,,,,,,,,Hedge Fund
53,,3,1,86.40,90.00,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (82C), Financial Services, Healthcare, lnforma",1.70,25.00,1.70,1,,,,,,,,Asset Manager
54,153,3,2,70.00,127.46,Later Stage VC,100.00,24.00,Venture Capital,134,87,57,29,113,13,70,"Capital Markets/Institutions, Commercial Banks, Consumer finance, Insurance, Other Financial Services, Software",70.00,70.00,5.00,2,133,83,54,21,113,13,153,Venture Capital
55,49,3,7,164.83,263.21,Seed Round,,3.36,Venture Capital,40,22,14,,30,6,50,"Agriculture, Apparel and Accessories, Beverages, Commercial Products, Consumer Durables, Containers and Packagin",87.00,42.50,14.00,7,40,21,11,4,30,6,49,Venture Capital
56,,3,,194.04,98.00,,,,,,,,,,,,,,49.00,,,21,13,10,,18,8,33,Hedge fund
57,33,3,,26.00,,Seed Round,,2.00,Venture Capital,21,13,12,9,18,8,,"Business Products and Services (B2B), Consumer Products and Services (82C), Financial Services, Healthcare, Softwan",,,,,,,,,,,,Venture Capital
58,39,3,4,101.41,6.06,Later Stage VC,55.10,22.00,Venture Capital,10,3,,,5,24,,"Healthcare Devices and Supplies, Software",60.00,30.35,11.41,4,9,3,1,,5,24,39,Growth/Expansion
59,,3,,64.88,72.65,,,,,,,,,,,,,,36.33,,,,,,,,,,Hedge Fund
60,,3,5,185.70,218.98,,,,,,,,,,,170.1,"Accounting, Audit and Tax Services (B2C), Buildings and Property, Human Capital Services, Other Commercial Service",170.10,32.03,21.85,5,,,,,,,,Family Office
61,2,3,,201.38,,Early Stage VC,,24.00,Venture Capital,,,,,,2,25,"Commercial Services, Energy, Financial Services, Media, Metals, Minerals and Mining, Other Materials, Retail, Softwar",25.00,25.00,25.00,,,,,,,2,2,Hedge Fund
62,6,3,,122.78,57.94,Later Stage VC,122.71,22.71,Venture Capital,5,1,1,,2,2,,"Apparel and Accessories, Commercial Services",,28.97,,,5,1,,,2,2,6,Hedge Fund
63,6,3,,23.20,2.21,Later Stage VC,,20.00,Venture Capital,6,3,2,,2,,,"Computer Hardware, Software",,2.21,,,6,3,,,2,,6,Venture Capital
64,,3,,193.56,53.22,Secondary Transaction,,,Corporate,,,,,1,,,"Business Products and Services (B2B), Communications and Networking, Healthcare, Media, Other Energy, Other Fina",,26.61,,,,,,,,,,Hedge Fund
65,,3,,76.50,3.44,,,,,,,,,,,,,,3.44,,,,,,,,,,Hedge fund
66,13,3,,160.80,161.82,Later Stage VC,,65.00,Venture Capital,9,6,4,2,10,4,,"Educational and Training Services (B2C), Energy, Healthcare, Software",,161.82,,,8,6,4,,10,4,13,Impact Investing
67,,3,3,69.41,14.11,,,,,,,,,,,,,,3.42,,3,,,,,,,,Hedge Fund
68,3,3,,137.83,15.50,PIPE,,50.40,Private Equity,,,,,,2,,Retail,,15.50,,,,,,,,2,3,Hedge Fund
69,6,3,,80.00,,Later Stage VC,335.00,80.00,Venture Capital,,,,,,2,,"Energy Services, Industrial Supplies and Parts, Software",,,,,5,3,,,,2,6,Hedge fund
70,12,3,2,100.00,0.00,Seed Round,20.10,6.10,Venture Capital,12,10,,,12,,,"Ah::ernative Energy Equipment, Business Products and Services (B2B), Electric Utilities, Information Technology",20.00,20.00,20.00,2,12,9,4,,12,,12,Hedge Fund
71,,3,,219.40,16.92,,,,,,,,,,,,,,3.95,,,,,,,,,,Hedge fund
72,106,3,2,118.70,72.61,Seed Round,25.00,5.00,Venture Capital,75,35,14,,51,24,52.55,"Other Commercial Services, Other Consumer Products and Services, Software",52.55,22.00,22.00,2,74,29,11,5,51,24,106,Venture Capital
73,,3,3,135.63,136.06,,,,,,,,,,,,,10.13,31.64,10.13,3,,,,,,,,Hedge Fund
74,4,3,2,215.00,261.40,Corporate Asset Purchase,275.00,275.00,Corporate,2,,,,,3,,"Other Business Products and Services, Restaurants, Hotels and Leisure",215.00,187.13,215.00,2,2,,,,,3,4,Real Estate
75,,3,,99.50,,,,,,,,,,,,,,,,,,,,,,,,,Hedge fund
76,28,3,2,193.30,283.52,Buyout/LBO,,,Private Equity,15,12,4,,9,6,2800,"Consume, Products and Services (B2C)","2,800.00",184.04,"2,800.00",2,15,10,3,2,9,6,28,Hedge fund
77,59,3,2,52.00,12.00,Later Stage VC,20.45,6.45,Venture Capital,51,12,6,4,28,13,15,"Agriculture, Consumer Products and Services (B2C), Distributors/Wholesale, Healthcare, Human Capital Services, Log",15.00,6.25,5.50,2,48,10,4,4,28,13,59,Venture Capital
78,53,3,3,196.00,162.04,Later Stage VC,,8.17,Venture Capital,40,11,9,,24,13,1.86,"Consume, Products and Services (B2C), Healthcare",145.00,18.48,1.86,3,38,10,9,3,24,13,53,Venture Capital
79,316,3,2,81.10,48.48,Early Stage VC,,,Venture Capital,233,99,52,27,209,54,31,"Computer Hardware, Education and Training Services (B2B), Educational and Training Services (B2C), Financial Servic",31.00,22.38,15.18,2,226,96,46,15,209,54,316,Venture Capital
80,,3,,171.60,210.31,,,,,,,,,,,,,,105.16,,,,,,,,,,Hedge fund
81,202,3,5,204.90,53.44,Seed Round,25.00,5.00,Venture Capital,92,40,24,11,80,60,13.75,"Business/Productivity Software, Computer Hardware, Consumer Durables, Database Software, IT Services, Media, Ott",75.00,47.00,13.75,5,91,38,21,9,80,60,202,Venture Capital
82,11,3,,24.20,36.30,Secondary Transaction,,,Private Equity,11,,,,11,,,"Aerospace and Defense, Apparel and Accessories, Beverages, Capital Markets/Institutions, Casinos and Gaming, Caca",,11.00,,,11,4,2,2,11,,11,PE/Buyout
83,88,3,2,200.00,36.30,Early Stage VC,,15.00,Venture Capital,71,16,10,,48,18,170,"Commercial Services, Commercial Transportation, Healthcare Devices and Supplies, Software",170.00,86.00,2.00,2,70,16,9,5,48,18,88,Venture Capital
84,60,3,4,200.00,17.19,Later Stage VC,,78.11,Venture Capital,4,,,,11,34,66,"Financial Services, Healthcare, Materials and Resources, Software",280.00,49.50,25.00,4,4,,,,11,34,60,Venture Capital
85,6,3,,102.00,13.85,Seed Round,,4.00,Venture Capital,3,,,,5,2,,"Energy Equipment, Energy Services, Transportation",,3.82,,,2,,,,5,2,6,Family Office
86,151,3,,250.00,226.96,Seed Round,,12.00,Venture Capital,145,76,50,23,111,9,,"Business Products and Services (B2B), Consumer Products and Services (82C), Energy, Financial Services, Healthcare,",,226.96,,,143,71,39,18,111,9,151,Corporate Venture Capital
87,,3,,23.31,,Joint Venture,,,Corporate,,,,,,,,"Asset Management, Buildings and Property, Other Financial Services, Real Estate Services (82C)",,,,,,,,,,,,Real Estate
88,,3,,168.34,115.47,,,,,,,,,,,,"Consume, Products and Services (B2C), Information Technology",,32.25,,,,,,,,,,Hedge Fund
89,3,3,,86.30,29.40,Merger/Acquisition,,,Corporate,,,,,,,,"Capital Markets/Institutions, Other Financial Services, Software",81.83,55.61,81.83,,,,,,,,3,Impact Investing
90,22,3,2,71.30,2.41,Later Stage VC,101.00,21.00,Venture Capital,3,,,,,11,60.8,"Healthcare Devices and Supplies, Healthcare Technology Systems, Pharmaceuticals and Biotechnology",60.80,60.80,60.80,2,3,3,,,2,11,22,Venture Capital
91,66,3,17,169.92,302.78,Seed Round,,5.25,Venture Capital,29,11,,,28,30,37.3,"Agriculture, Apparel and Accessories, Commercial Products, Commercial Services, Consumer Non-Durables, IT Servic",492.00,59.00,7.00,17,29,11,5,2,28,30,66,PE/Buyout
92,53,2,4,43.44,50.59,Seed Round,,3.00,Venture Capital,50,37,32,20,35,,1.33,Software,61.63,17.61,1.33,4,49,36,29,17,35,,53,Venture Capital
93,,2,6,92.00,87.22,,,,,,,,,,,26.59,"Business Products and Services (B2B), Other Services (82( Non-Financial), Real Estate Services (B2C)",26.59,13.89,5.12,6,,,,,,,,PE/Buyout
94,357,2,42,161.52,56.92,Buyout/LBO,,,Private Equity,49,16,6,,82,199,64.5,"Apparel and Accessories, Commercial Products, Commercial Services, Commercial Transportation, Communications a",154.50,29.34,2.37,42,49,16,6,2,82,199,357,Venture Capital
95,67,2,6,160.00,34.75,Early Stage VC,,10.00,Venture Capital,65,42,26,15,44,,21,Software,21.00,14.19,3.81,6,65,41,22,12,44,5,67,Venture Capital
96,8,2,20,13.00,"2,578.51",Corporate Asset Purchase,34.75,34.75,Corporate,,,,,,8,1914,,"1,914.00",300.00,46.80,20,,,,,,8,8,Real Estate
97,95,2,4,152.09,64.33,Early Stage VC,,10.00,Venture Capital,60,25,13,7,45,18,40,"Healthcare Services, Software",75.06,47.61,21.82,4,58,24,12,5,45,18,95,Venture Capital
98,,2,,93.30,15.95,,,,,,,,,,,,,,15.95,,,,,,,,,,Hedge Fund
99,,2,3,109.20,6.56,,,,,,,,,,,,Information Technology,44.05,25.31,44.05,3,,,,,,,,Asset Manager
100,81,2,6,122.40,25.15,PEGrowth/Expansion,,150.00,Private Equity,9,4,,,6,43,122.4,"Alternative Energy Equipment, Chemicals and Gases, Information Technology, Oil and Gas Equipmem:",175.80,42.00,4.35,6,9,4,,,6,43,81,Venture Capital
101,358,2,3,59.40,334.98,Seed Round,,1.00,Venture Capital,339,217,113,53,288,14,13.5,Software,50.00,34.98,13.50,3,339,206,104,40,288,14,358,Accelerator/Incubator
102,61,2,5,49.20,4.79,Later Stage VC,223.60,103.60,Venture Capital,22,7,3,,12,30,,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Other Heah:hcare, Pharmac",49.19,31.15,3.77,5,21,6,3,,12,30,61,Venture Capital
103,6,2,3,200.00,2.31,Later Stage VC,"7,400.00",500.00,Venture Capital,6,5,3,,3,3,1.23,"Aerospace and Defense, Education and Training Services (B2B), Educational and Training Services (B2C), Healthcare",50.00,3.64,1.23,3,6,5,3,,3,3,6,Venture Capital
104,20,2,2,15.00,2.31,Early Stage VC,,4.04,Venture Capital,12,5,2,2,8,9,10,"Commercial Products, Healthcare Technology Systems, Software",10.00,7.50,5.00,2,10,5,2,,8,9,20,Venture Capital
105,18,2,,30.50,58.84,Seed Round,31.99,6.99,Venture Capital,14,7,6,5,12,3,4.72,"Business Products and Services (B2B), Financial Services, Information Technology",4.72,4.72,4.72,,14,6,6,5,12,3,18,Venture Capital
106,191,2,,5.00,2.50,Seed Round,12.25,2.25,Venture Capital,139,51,23,5,151,25,5,"Business Products and Services (B2B), Communications and Networking, Computer Hardware, Consumer Products",5.00,3.53,5.00,,135,51,20,4,151,25,191,Venture Capital
107,,2,1,114.90,232.80,,,,,,,,,,,51.71,,51.71,58.89,51.71,1,,,,,,,,Venture Capital
108,113,2,5,100.00,23.32,Early Stage VC,,2.40,Venture Capital,51,24,15,5,44,30,42.5,"Healthcare Technology Systems, Other Hardware, Other Healthcare, Other Information Technology, Other Material",42.50,7.60,1.00,5,48,24,13,3,44,30,113,Venture Capital
109,23,2,2,108.00,0.00,Later Stage VC,116.00,33.00,Venture Capital,15,6,,3,10,2,,"Ah:ernative Energy Equipment, Animal Textiles, Aquaculture, Business Products and Services (B2B), Chemicals and",8.30,8.30,8.30,2,13,6,3,3,10,2,23,Venture Capital
110,,2,3,200.00,38.57,Merger/Acquisition,,,Corporate,,,,,,,100,"Capital Markets/Institutions, Commercial Services, Services (Non-Financial)",100.00,60.00,10.00,3,,,,,,,,Real Estate
111,59,2,21,128.51,"1,337.30",Later Stage VC,238.00,46.00,Venture Capital,22,8,3,,23,22,,"Commercial Services, Healthcare Devices and Supplies, Healthcare Technology Systems, Metals, Minerals and Minin",77.00,13.50,1.40,21,22,8,3,,23,22,59,PE/Buyout
112,151,2,3,90.00,76.94,Seed Round,9.30,3.30,Venture Capital,123,46,30,21,80,36,100,"Business Products and Services (B2B), Financial Services, Other Healthcare, Other Information Technology, Softwar",100.00,81.50,63.00,3,120,44,26,13,80,36,151,Venture Capital
113,393,2,5,85.20,95.13,Later Stage VC,,15.50,Venture Capital,173,60,34,14,226,120,40.42,"Biotechnology, Other Heah:hcare, Other Pharmaceuticals and Biotechnology, Software",40.42,38.60,6.60,5,168,59,29,8,226,120,393,Accelerator/Incubator
114,,2,,63.80,255.00,,,,,,,,,,,,,,255.00,,,,,,,,,,Venture Capital
115,,2,,2.78,,,,,,,,,,,,,"Business Products and Services (B2B), Capital Markets/Institutions, Commercial Banks, Consumer Products and Ser",,,,,,,,,,,,PE/Buyout
116,87,2,2,175.00,482.83,Later Stage VC,,21.77,Venture Capital,77,39,17,8,50,18,175,"Agriculture, Buildings and Property, Commercial Products, Healthcare Devices and Supplies, Healthcare Services, H",175.00,205.47,10.00,2,75,39,15,5,50,18,87,Venture Capital
117,56,2,,50.00,35.83,Early Stage VC,240.00,50.00,Venture Capital,52,45,26,16,44,2,50,"Financial Services, Software",50.00,50.00,50.00,1,52,43,24,13,44,2,56,Venture Capital
118,246,2,10,146.30,107.49,Early Stage VC,222.00,90.00,Venture Capital,183,107,50,23,147,47,,"Commercial Products, Commercial Services, Commercial Transportation, Financial Services, Healthcare Devices and",96.86,42.99,7.86,10,181,106,45,14,147,47,246,Venture Capital
119,,2,4,114.79,78.53,,,,,,,,,,,63.19,Other Business Products and Services,67.50,53.69,11.03,4,,,,,,1,,Real Estate
120,,2,,100.00,,,,,,,,,,,,,"Communications and Networking, Computer Hardware, IT Services, Other Information Technology, Semiconductor",,,,,,,,,,,,Asset Manager
121,175,2,,150.00,85.44,Later Stage VC,,33.42,Venture Capital,117,26,6,,117,56,293,"Business Products and Services (82B), Consumer Products and Services (B2C), financial Services, Software",293.00,221.50,293.00,,111,24,4,2,117,56,175,Venture Capital
122,1,2,,26.00,29.00,Early Stage VC,,0.15,Venture Capital,,,,,,,,,,14.50,,,,1,,,1,,,Hedge Fund
123,154,2,3,163.00,32.83,Seed Round,38.50,8.50,Venture Capital,65,25,14,8,55,46,63,"Agriculture, Automation/Workflow Software, Automotive, Buildings and Property, Business/Productivity Software, C",66.04,63.00,40.00,3,64,22,11,5,55,46,154,Venture Capital
124,82,2,,10.00,8.08,Later Stage VC,"2,000.00",135.00,Venture Capital,76,49,23,15,75,3,3.5,Software,3.50,5.10,3.50,,75,46,19,12,75,3,82,Venture Capital
125,82,2,3,45.00,40.04,Seed Round,12.00,3.00,Venture Capital,67,25,13,,44,11,45,"Business Products and Services (B2B), Consumer Products and Services (B2C)",45.00,23.00,1.00,3,66,24,8,,44,11,82,Venture Capital
126,14,2,2,140.00,109.81,Early Stage VC,222.00,90.00,Venture Capital,14,14,10,7,9,,220,"Commercial Products, Commercial Transportation, Communications and Networking, Food Products, IT Services, Mat",220.00,180.00,140.00,2,14,14,9,6,9,,14,Venture Capital
127,105,2,3,150.00,128.63,Early Stage VC,205.00,40.00,Venture Capital,72,39,22,14,48,31,75,"Other Financial Services, Software",75.00,45.00,3.00,3,70,38,19,11,48,31,105,Venture Capital
128,84,2,2,35.00,9.14,Seed Round,,1.80,Venture Capital,69,34,18,8,44,16,,"Casinos and Gaming, Clinics/Outpatient Services, Entertainment Software, Media",35.00,35.00,35.00,2,68,30,15,5,44,16,84,Venture Capital
129,153,2,3,195.00,173.88,Seed Round,15.60,3.60,Venture Capital,75,35,20,11,55,36,95,"Business Products and Services (B2B), Computer Hardware, Media, Other Consumer Products and Services, Services",95.00,63.99,40.00,3,74,31,17,7,55,36,153,Venture Capital
130,29,2,,20.00,7.00,Seed Round,,4.60,Venture Capital,27,22,13,7,22,2,5,"Business Products and Services (B2B), Software",5.00,5.00,5.00,,27,22,8,5,22,2,29,Growth/Expansion
131,,2,,118.54,50.58,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (82C), Financial Services",,25.29,,,,,,,,,,Asset Manager
132,38,2,6,112.22,122.46,Early Stage VC,,5.30,Venture Capital,,,,,8,25,47.43,"Consumer Products and Services (B2C), Environmental Services (B2B), Healthcare Services, Other Communications an",47.43,4.31,3.61,6,4,2,,,8,25,38,Venture Capital
133,22,2,8,12.50,3.02,Early Stage VC,,0.63,Venture Capital,12,,,,10,10,0.84,Software,3.20,1.00,0.80,8,12,5,,,10,10,22,Venture Capital
134,111,2,,48.00,20.00,Early Stage VC,,2.75,Venture Capital,35,13,8,,66,28,,"Consume, Durables, Energy, Infrastructure, Software, Transportation",,20.00,,,34,13,8,3,66,28,111,Angel Group
135,18,2,,56.00,30.02,Later Stage VC,80.48,20.48,Venture Capital,18,13,8,,11,,56,"Consumer Durables, Environmental Services (B2B). Insurance, logistics, Other Business Products and Services, Other",56.00,56.00,56.00,,18,12,7,4,11,,18,Venture Capital
136,,2,,103.34,113.53,,,,,,,,,,,,,,113.53,,,,,,,,,,Hedge fund
137,,2,6,60.00,12.37,,,,,,,,,,,82,"Building Products, Construction and Engineering, Real Estate Services (82C)",82.00,8.31,0.52,6,,,,,,,,Real Estate
138,83,2,8,120.00,116.78,Later Stage VC,,18.28,Venture Capital,26,14,12,8,22,37,55,"Commercial Services, Healthcare Services, Healthcare Technology Systems",55.00,45.20,11.25,8,26,14,12,7,22,37,83,Venture Capital
139,23,2,2,11.50,58.00,Later Stage VC,54.00,19.00,Venture Capital,17,6,,,20,2,13,"Consumer Products and Services (B2C), Education and Training Services (82B), Financial Services, Hospitals/Inpatient",65.00,58.00,13.00,2,17,5,3,2,20,2,23,Venture Capital
140,305,2,9,212.00,47.27,Seed Round,,2.99,Venture Capital,89,31,21,11,85,68,26.46,"Commercial Services, Consumer Durables, Financial Services, Software",53.90,26.46,5.03,9,86,31,20,7,85,68,305,Venture Capital
141,,2,10,249.55,21.70,,,,,,,,,,,,,53.00,44.00,35.00,10,,,,,,,,Hedge fund
