fm_fund_id,fm_id,fund_id,fund_name,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
3789,16237,32979,Coatue Private Fund II,2015,North America,TMT,Venture Capital / Growth Equity,543920000.0,USD,750000000.0,USD
24796,16237,40519,Coatue Kona III,2016,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
10301,16237,61561,Coatue CT 138,2022,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
11168,16237,61628,Coatue CT 140,2022,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
19280,16237,61678,Coatue CT 139,2022,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
8573,16237,55850,Coatue Growth V,2021,North America,TMT,Venture Capital / Growth Equity,3870000000.0,USD,0.0,USD
13762,16237,55901,Coatue US 48,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
15185,16237,60861,Coatue CT 135,2021,North America,TMT,Venture Capital / Growth Equity,26000000.0,USD,0.0,USD
8465,16237,61254,Coatue CT 136,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
2142,16237,61275,Coatue CT 137,2022,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
27040,16237,54211,Coatue CT 88,2020,North America,TMT,Venture Capital / Growth Equity,118740000.0,USD,0.0,USD
106,16237,54217,Coatue CT 90,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
4961,16237,54317,Coatue CT 91,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
6615,16237,54582,Coatue CT 94,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
30431,16237,55515,Coatue Ventures II,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
11110,16237,50912,Coatue CT XXIV,2018,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
25858,16237,50913,Coatue CT XXVI,2018,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
20207,16237,50914,Coatue CT XXX,2018,North America,TMT,Venture Capital / Growth Equity,249990000.0,USD,0.0,USD
15178,16237,50915,Coatue CT XXXVI,2018,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
29348,16237,50916,Coatue CT 42,2019,North America,TMT,Venture Capital / Growth Equity,41460000.0,USD,0.0,USD
10001,16237,50917,Coatue CT 46,2019,North America,TMT,Venture Capital / Growth Equity,386010000.0,USD,0.0,USD
12174,16237,44163,Coatue Early Stage Fund,2018,North America,TMT,Venture Capital / Growth Equity,706500000.0,USD,500000000.0,USD
13027,16237,44622,Coatue Early Stage Fund Private Investors,2019,North America,TMT,Venture Capital / Growth Equity,197000000.0,USD,0.0,USD
30218,16237,48577,Coatue Growth IV,2019,North America,TMT,Venture Capital / Growth Equity,2580000000.0,USD,1600000000.0,USD
30492,16237,50453,Coatue Opportunity Fund I,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
23256,16237,50910,Coatue CT XIII,2016,North America,TMT,Venture Capital / Growth Equity,150470000.0,USD,150470000.0,USD
30187,16237,50911,Coatue CT XXI,2017,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
18949,14468,28961,FlashStarts Partners Fund I,2013,North America,TMT,Venture Capital / Growth Equity,1140000.0,USD,1900000.0,USD
14830,14468,43045,Flashstarts Partners Fund 2014,2014,North America,TMT,Venture Capital / Growth Equity,400000.0,USD,2500000.0,USD
29577,14468,43046,Flashstarts Partners Fund 2015,2015,North America,TMT,Venture Capital / Growth Equity,700000.0,USD,2500000.0,USD
4786,14468,43047,Flashstarts Partners Fund 2016,2016,North America,TMT,Venture Capital / Growth Equity,700000.0,USD,1000000.0,USD
27804,14468,43048,Flashstarts Cleveland 200 Fund,2017,North America,TMT,Venture Capital / Growth Equity,885000.0,USD,5000000.0,USD
8756,14468,44723,Flashstarts Blockchain Fund,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,6000000.0,USD
11220,10317,30819,Harmony Partners Fund I,2011,North America,TMT,Venture Capital / Growth Equity,20500000.0,USD,30000000.0,USD
5625,10317,30820,Harmony Partners II,2014,North America,TMT,Venture Capital / Growth Equity,85000000.0,USD,75000000.0,USD
5508,10317,32984,Harmony Partners II Co-Investment,2014,North America,TMT,Fund of Funds / Co-Investment,30000000.0,USD,30000000.0,USD
11181,10317,35794,Harmony Partners III,2016,North America,TMT,Venture Capital / Growth Equity,105000000.0,USD,100000000.0,USD
26859,10317,44727,Harmony Partners IV,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,125000000.0,USD
15407,19412,51071,Light Street Beacon Co-Invest 2,2019,North America,TMT,Fund of Funds / Co-Investment,0.0,USD,0.0,USD
10356,19412,53504,Light Street SPV6,2020,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
13762,19412,56287,Light Street Beacon II,2021,North America,TMT,Venture Capital / Growth Equity,0.0,USD,350000000.0,USD
8817,19412,56288,Light Street Beacon Co-Invest 1,2018,North America,TMT,Fund of Funds / Co-Investment,0.0,USD,0.0,USD
24659,19412,44737,Light Street Beacon I,2019,North America,TMT,Venture Capital / Growth Equity,56900000.0,USD,250000000.0,USD
5011,19412,44738,Light Street Beacon Principals I,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,20000000.0,USD
23993,19412,46857,Light Street Beacon Co-Invest 3,2019,North America,TMT,Fund of Funds / Co-Investment,0.0,USD,0.0,USD
14799,19412,48346,Light Street Beacon Co-Invest 4,2019,North America,TMT,Fund of Funds / Co-Investment,611000000.0,USD,0.0,USD
1549,13173,26177,LKCM Headwater Investments I,2010,North America,Diversified,Buyout / Corporate Private Equity,220000000.0,USD,0.0,USD
28329,13173,44768,LKCM Headwater Investments III,2019,North America,Diversified,Buyout / Corporate Private Equity,600000000.0,USD,0.0,USD
16189,13173,58826,LKCM Headwater PM Co-Investment Partnership,2021,North America,Diversified,Fund of Funds / Co-Investment,136120000.0,USD,0.0,USD
5058,13173,32741,LKCM Headwater Investments II,2015,North America,Diversified,Buyout / Corporate Private Equity,385000000.0,USD,0.0,USD
7883,13173,40404,LKCM Headwater II Sidecar Partnership,2017,North America,Diversified,Buyout / Corporate Private Equity,165540000.0,USD,0.0,USD
28525,5348,3463,QS PEP 2012,2012,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,150000000.0,USD,200000000.0,USD
18012,5348,3463,QS PEP 2012,2012,North America,Diversified,Fund of Funds / Co-Investment,150000000.0,USD,200000000.0,USD
25067,5348,3463,QS PEP 2012,2012,Western Europe,Diversified,Fund of Funds / Co-Investment,150000000.0,USD,200000000.0,USD
2696,5348,4180,QS PEP 2011,2012,North America,Diversified,Fund of Funds / Co-Investment,157000000.0,USD,150000000.0,USD
4310,5348,4180,QS PEP 2011,2012,Western Europe,Diversified,Fund of Funds / Co-Investment,157000000.0,USD,150000000.0,USD
16041,5348,4181,QS Direct Small Investments 2,2012,Asia-Pacific,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
14559,5348,4181,QS Direct Small Investments 2,2012,Central/Eastern Europe,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
26849,5348,4181,QS Direct Small Investments 2,2012,Latin America,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
11850,5348,4181,QS Direct Small Investments 2,2012,Middle East/Africa,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
9250,5348,4181,QS Direct Small Investments 2,2012,North America,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
26575,5348,4181,QS Direct Small Investments 2,2012,Western Europe,Diversified,Buyout / Corporate Private Equity,145000000.0,USD,0.0,USD
26989,5348,9535,Quilvest Ventures II,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,120000000.0,USD,0.0,USD
16701,5348,9535,Quilvest Ventures II,2007,North America,Diversified,Fund of Funds / Co-Investment,120000000.0,USD,0.0,USD
14406,5348,9535,Quilvest Ventures II,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,120000000.0,USD,0.0,USD
24166,5348,27055,QS GEO PEP II,2011,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,330000000.0,USD,0.0,USD
10866,5348,27055,QS GEO PEP II,2011,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,330000000.0,USD,0.0,USD
19813,5348,27055,QS GEO PEP II,2011,Latin America,Diversified,Fund of Funds / Co-Investment,330000000.0,USD,0.0,USD
16802,5348,27055,QS GEO PEP II,2011,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,330000000.0,USD,0.0,USD
26671,5348,28311,QS PEP Core,2013,North America,Diversified,Fund of Funds / Co-Investment,80000000.0,USD,400000000.0,USD
8442,5348,28311,QS PEP Core,2013,Western Europe,Diversified,Fund of Funds / Co-Investment,80000000.0,USD,400000000.0,USD
25262,5348,28505,QS Capital Strategies,2013,North America,Diversified,Mezzanine / Debt,80000000.0,USD,0.0,USD
5610,5348,44785,QS Club Fund II,2019,North America,Diversified,Buyout / Corporate Private Equity,0.0,USD,30000000.0,USD
21295,5348,44785,QS Club Fund II,2019,Western Europe,Diversified,Buyout / Corporate Private Equity,0.0,USD,30000000.0,USD
33,5348,48569,QS PE-DM Opportunities II US,2019,North America,Diversified,Buyout / Corporate Private Equity,0.0,USD,300000000.0,USD
29395,5348,49407,QS Capital Strategies II,2019,North America,Diversified,Mezzanine / Debt,43900000.0,USD,100000000.0,USD
21234,5348,9785,QPE PEP 2006,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,20600000.0,USD,0.0,USD
18981,5348,9785,QPE PEP 2006,2006,North America,Diversified,Fund of Funds / Co-Investment,20600000.0,USD,0.0,USD
29726,5348,9785,QPE PEP 2006,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,20600000.0,USD,0.0,USD
3358,5348,9823,QOL PEP 2003,2003,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,32900000.0,USD,0.0,USD
28739,5348,9823,QOL PEP 2003,2003,North America,Diversified,Fund of Funds / Co-Investment,32900000.0,USD,0.0,USD
5904,5348,9823,QOL PEP 2003,2003,Western Europe,Diversified,Fund of Funds / Co-Investment,32900000.0,USD,0.0,USD
842,5348,10242,QOL PEP 2004,2004,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,31100000.0,USD,0.0,USD
2755,5348,10242,QOL PEP 2004,2004,North America,Diversified,Fund of Funds / Co-Investment,31100000.0,USD,0.0,USD
538,5348,10242,QOL PEP 2004,2004,Western Europe,Diversified,Fund of Funds / Co-Investment,31100000.0,USD,0.0,USD
11306,5348,10390,QPE PEP 2007,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,20700000.0,USD,0.0,USD
13883,5348,10390,QPE PEP 2007,2007,North America,Diversified,Fund of Funds / Co-Investment,20700000.0,USD,0.0,USD
5995,5348,10390,QPE PEP 2007,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,20700000.0,USD,0.0,USD
6212,5348,10702,QS PEP 2002,2002,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,35300000.0,USD,0.0,USD
22809,5348,10702,QS PEP 2002,2002,North America,Diversified,Fund of Funds / Co-Investment,35300000.0,USD,0.0,USD
26683,5348,10702,QS PEP 2002,2002,Western Europe,Diversified,Fund of Funds / Co-Investment,35300000.0,USD,0.0,USD
20421,5348,10845,QOL PEP 2005,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,35800000.0,USD,0.0,USD
330,5348,10845,QOL PEP 2005,2005,North America,Diversified,Fund of Funds / Co-Investment,35800000.0,USD,0.0,USD
624,5348,10845,QOL PEP 2005,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,35800000.0,USD,0.0,USD
8969,12377,1177,Golden Seeds Fund,2008,North America,Biotech / Life Science,Venture Capital / Growth Equity,3800000.0,USD,10000000.0,USD
20546,12377,1177,Golden Seeds Fund,2008,North America,Consumer Goods,Venture Capital / Growth Equity,3800000.0,USD,10000000.0,USD
29533,12377,1177,Golden Seeds Fund,2008,North America,TMT,Venture Capital / Growth Equity,3800000.0,USD,10000000.0,USD
20330,12377,1178,Golden Seeds Fund 2,2011,North America,Biotech / Life Science,Venture Capital / Growth Equity,31400000.0,USD,10000000.0,USD
17829,12377,1178,Golden Seeds Fund 2,2011,North America,Consumer Goods,Venture Capital / Growth Equity,31400000.0,USD,10000000.0,USD
17921,12377,1178,Golden Seeds Fund 2,2011,North America,TMT,Venture Capital / Growth Equity,31400000.0,USD,10000000.0,USD
1902,12377,40036,Golden Seeds Innovate NY Fund,2011,North America,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,0.0,USD
23219,12377,40036,Golden Seeds Innovate NY Fund,2011,North America,Consumer Goods,Venture Capital / Growth Equity,0.0,USD,0.0,USD
28840,12377,40036,Golden Seeds Innovate NY Fund,2011,North America,TMT,Venture Capital / Growth Equity,0.0,USD,0.0,USD
20369,12377,44854,Golden Seeds Venture Fund,2019,North America,Business Services,Venture Capital / Growth Equity,7000000.0,USD,0.0,USD
804,12377,44854,Golden Seeds Venture Fund,2019,North America,Consumer Goods,Venture Capital / Growth Equity,7000000.0,USD,0.0,USD
21576,12377,44854,Golden Seeds Venture Fund,2019,North America,TMT,Venture Capital / Growth Equity,7000000.0,USD,0.0,USD
9966,13554,44961,Hontai Capital Fund I,2019,Asia-Pacific,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
10121,13554,44961,Hontai Capital Fund I,2019,Asia-Pacific,TMT,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
13159,13554,44961,Hontai Capital Fund I,2019,Central/Eastern Europe,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
26091,13554,44961,Hontai Capital Fund I,2019,Central/Eastern Europe,TMT,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
4887,13554,44961,Hontai Capital Fund I,2019,Middle East/Africa,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
28646,13554,44961,Hontai Capital Fund I,2019,Middle East/Africa,TMT,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
19630,13554,44961,Hontai Capital Fund I,2019,North America,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
20983,13554,44961,Hontai Capital Fund I,2019,North America,TMT,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
27559,13554,44961,Hontai Capital Fund I,2019,Western Europe,Biotech / Life Science,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
18177,13554,44961,Hontai Capital Fund I,2019,Western Europe,TMT,Venture Capital / Growth Equity,0.0,USD,300000000.0,USD
9580,8330,2995,Goode Partners Consumer Fund II,2012,North America,Consumer Goods,Buyout / Corporate Private Equity,40250000.0,USD,300000000.0,USD
616,8330,8651,Goode Partners Consumer Fund I,2006,North America,Consumer Goods,Buyout / Corporate Private Equity,225000000.0,USD,225000000.0,USD
15634,8330,35484,Goode Partners Consumer Fund III,2015,North America,Consumer Goods,Buyout / Corporate Private Equity,200150000.0,USD,300000000.0,USD
16585,8330,44972,Goode Partners Consumer Fund IV,2019,North America,Consumer Goods,Buyout / Corporate Private Equity,0.0,USD,250000000.0,USD
11836,6862,5297,Harbour Group Investments III,1993,North America,Other,Buyout / Corporate Private Equity,250000000.0,USD,0.0,USD
14967,6862,8701,Harbour Group Investments,1984,North America,Other,Buyout / Corporate Private Equity,0.0,USD,0.0,USD
28403,6862,15871,Harbour Group Investments IV,1999,North America,Other,Buyout / Corporate Private Equity,354000000.0,USD,0.0,USD
28504,6862,24154,Harbour Group Investments VI,2012,North America,Other,Buyout / Corporate Private Equity,672000000.0,USD,750000000.0,USD
11787,6862,24155,Harbour Group Investments V,2006,North America,Other,Buyout / Corporate Private Equity,500000000.0,USD,500000000.0,USD
18842,6862,44973,Harbour Group Investments VII,2019,North America,Other,Buyout / Corporate Private Equity,0.0,USD,700000000.0,USD
3170,6701,1335,TPG Growth II,2011,Asia-Pacific,Clean Tech / Renewable,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
10125,6701,1335,TPG Growth II,2011,Asia-Pacific,Consumer Goods,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
533,6701,1335,TPG Growth II,2011,Asia-Pacific,Energy / Oil & Gas,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
14545,6701,1335,TPG Growth II,2011,Asia-Pacific,Healthcare,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
5480,6701,1335,TPG Growth II,2011,Asia-Pacific,Industrials,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
1029,6701,1335,TPG Growth II,2011,Asia-Pacific,Leisure,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
7050,6701,1335,TPG Growth II,2011,Asia-Pacific,Retail,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
29075,6701,1335,TPG Growth II,2011,Asia-Pacific,TMT,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
11509,6701,1335,TPG Growth II,2011,Asia-Pacific,Transport,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
29443,6701,1335,TPG Growth II,2011,North America,Clean Tech / Renewable,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
16269,6701,1335,TPG Growth II,2011,North America,Consumer Goods,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
20425,6701,1335,TPG Growth II,2011,North America,Energy / Oil & Gas,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
19465,6701,1335,TPG Growth II,2011,North America,Healthcare,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
5144,6701,1335,TPG Growth II,2011,North America,Industrials,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
24109,6701,1335,TPG Growth II,2011,North America,Leisure,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
1273,6701,1335,TPG Growth II,2011,North America,Retail,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
4824,6701,1335,TPG Growth II,2011,North America,TMT,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
14277,6701,1335,TPG Growth II,2011,North America,Transport,Venture Capital / Growth Equity,2040000000.0,USD,2000000000.0,USD
26859,6701,4850,TPG Asia Partners VI,2013,Asia-Pacific,Diversified,Buyout / Corporate Private Equity,3300000000.0,USD,3500000000.0,USD
4270,6701,5760,TPG Partners IV,2003,Asia-Pacific,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
5205,6701,5760,TPG Partners IV,2003,Central/Eastern Europe,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
16946,6701,5760,TPG Partners IV,2003,Latin America,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
7301,6701,5760,TPG Partners IV,2003,Middle East/Africa,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
2862,6701,5760,TPG Partners IV,2003,North America,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
14752,6701,5760,TPG Partners IV,2003,Western Europe,Diversified,Buyout / Corporate Private Equity,5800000000.0,USD,0.0,USD
24934,6701,6404,Newbridge Asia IV,2005,Asia-Pacific,Diversified,Buyout / Corporate Private Equity,1561000000.0,USD,0.0,USD
