fund_id,name,manager,managerId,sectors,vintageYear,regions,countries,status,strategies,yearOpen,targetFundSize.amount,targetFundSize.currency,monthOpen,fundSize.amount,fundSize.currency,stage,yearClose,monthClose
44622,Coatue Early Stage Fund Private Investors,Coatue Management,16237,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2018.0,,,12.0,197000000.0,USD,1st Close,,
44723,Flashstarts Blockchain Fund,FlashStarts,14468,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,6000000.0,USD,1.0,,,,,
44727,Harmony Partners IV,Harmony Partners,10317,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,125000000.0,USD,1.0,,,,,
44738,Light Street Beacon Principals I,Light Street Capital,19412,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,20000000.0,USD,1.0,,,,,
44768,LKCM Headwater Investments III,Luther King Capital Management,13173,Diversified,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,1.0,600000000.0,USD,4th Close,,
44785,QS Club Fund II,Quilvest,5348,Diversified,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,30000000.0,USD,1.0,,,,,
44785,QS Club Fund II,Quilvest,5348,Diversified,2019.0,Western Europe,,Launched,Buyout / Corporate Private Equity,2019.0,30000000.0,USD,1.0,,,,,
44854,Golden Seeds Venture Fund,Golden Seeds,12377,Consumer Goods,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,,,1.0,7000000.0,USD,3rd Close,,
44854,Golden Seeds Venture Fund,Golden Seeds,12377,Business Services,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,,,1.0,7000000.0,USD,3rd Close,,
44854,Golden Seeds Venture Fund,Golden Seeds,12377,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,,,1.0,7000000.0,USD,3rd Close,,
44961,Hontai Capital Fund I,Orient Securities,13554,Biotech / Life Science,2019.0,Middle East/Africa,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,Biotech / Life Science,2019.0,Asia-Pacific,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,Biotech / Life Science,2019.0,Western Europe,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,Biotech / Life Science,2019.0,Central/Eastern Europe,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,Biotech / Life Science,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,TMT,2019.0,Middle East/Africa,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,TMT,2019.0,Asia-Pacific,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,TMT,2019.0,Western Europe,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,TMT,2019.0,Central/Eastern Europe,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44961,Hontai Capital Fund I,Orient Securities,13554,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,300000000.0,USD,1.0,,,,,
44972,Goode Partners Consumer Fund IV,Goode Partners,8330,Consumer Goods,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,250000000.0,USD,,,,,,
44973,Harbour Group Investments VII,Harbour Group,6862,Other,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,700000000.0,USD,,,,,,
45001,TPG Tech Adjacencies FOF-L,TPG,6701,TMT,2019.0,North America,,Launched,Fund of Funds / Co-Investment,2019.0,,,1.0,,,,,
45092,Third Prime Alpha Fund II,Third Prime,19473,Diversified,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,60000000.0,USD,2.0,35550000.0,USD,1st Close,,
45097,Align Impact Fund II,PPB Capital Partners,18204,Diversified,2019.0,North America,,Currently Investing,Fund of Funds / Co-Investment,2019.0,,,1.0,10000000.0,USD,2nd Close,,
45129,Sonoma Brands Fund III,Sonoma Brands,18686,Consumer Goods,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,,,3.0,102650000.0,USD,2nd Close,,
45147,Quake Seed Capital Fund III,Quake Capital,19482,Diversified,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,100000000.0,USD,1.0,1640000.0,USD,1st Close,,
45187,Special Opportunities Fund VII,Precision Capital,11995,Diversified,2019.0,Western Europe,,Currently Investing,Fund of Funds / Co-Investment,2019.0,,,1.0,99040000.0,USD,1st Close,,
45187,Special Opportunities Fund VII,Precision Capital,11995,Diversified,2019.0,North America,,Currently Investing,Fund of Funds / Co-Investment,2019.0,,,1.0,99040000.0,USD,1st Close,,
45197,Stone-Goff Partners III,Stone-Goff Partners,16981,Consumer Goods,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,175000000.0,USD,8.0,36250000.0,USD,1st Close,,
45197,Stone-Goff Partners III,Stone-Goff Partners,16981,Business Services,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,175000000.0,USD,8.0,36250000.0,USD,1st Close,,
45197,Stone-Goff Partners III,Stone-Goff Partners,16981,Other,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,175000000.0,USD,8.0,36250000.0,USD,1st Close,,
45273,Bolt Energy,LS Power Group,7673,Energy / Oil & Gas,2019.0,North America,United States,Launched,Buyout / Corporate Private Equity,2019.0,,,1.0,215000000.0,USD,,,
45274,Bolt Energy (Feeder),LS Power Group,7673,Energy / Oil & Gas,2019.0,North America,United States,Launched,Buyout / Corporate Private Equity,2019.0,,,1.0,59300000.0,USD,,,
45277,USSC Alternative Income Fund,U.S. Strategic Capital,19506,Diversified,2019.0,North America,United States,Launched,Mezzanine / Debt,2019.0,,,2.0,,,,,
45321,Swiss Life Modern Aviation Investment,Tiger Infrastructure Partners,11912,Transport,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,,,2.0,,,,,
45321,Swiss Life Modern Aviation Investment,Tiger Infrastructure Partners,11912,Transport,2019.0,Western Europe,,Launched,Buyout / Corporate Private Equity,2019.0,,,2.0,,,,,
45347,Riverstone Onyx Strategic,Riverstone Holdings,8459,Energy / Oil & Gas,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,,,2.0,,,,,
45401,KKR Principal Opportunities Partnership II,KKR,5586,Diversified,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,,,2.0,677000000.0,USD,,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,Middle East/Africa,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,Central/Eastern Europe,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,Asia-Pacific,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,Western Europe,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Financial Services,2019.0,Latin America,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,Middle East/Africa,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,Central/Eastern Europe,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,Asia-Pacific,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,Western Europe,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,TMT,2019.0,Latin America,,Currently Investing,Venture Capital / Growth Equity,2019.0,200000000.0,USD,,22000000.0,USD,1st Close,,
45439,Seminal Capital Partners I,Seminal Capital Holdings,19546,TMT,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,150000000.0,USD,2.0,40000000.0,USD,1st Close,,
45478,OCS International,Providence Equity Partners,6650,Diversified,2019.0,North America,,Launched,Buyout / Corporate Private Equity,2019.0,,,3.0,,,,,
45489,King River Capital Venture Capital Fund I,King River Capital,19557,TMT,2019.0,Asia-Pacific,Australia,Currently Investing,Venture Capital / Growth Equity,2019.0,,,,,,1st Close,,
45489,King River Capital Venture Capital Fund I,King River Capital,19557,TMT,2019.0,Asia-Pacific,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,,,,,,1st Close,,
45489,King River Capital Venture Capital Fund I,King River Capital,19557,TMT,2019.0,North America,Australia,Currently Investing,Venture Capital / Growth Equity,2019.0,,,,,,1st Close,,
45489,King River Capital Venture Capital Fund I,King River Capital,19557,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,,,,,,1st Close,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,Western Europe,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,Central/Eastern Europe,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,Middle East/Africa,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,Asia-Pacific,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,North America,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Healthcare,2019.0,Latin America,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,Western Europe,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,Central/Eastern Europe,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,Middle East/Africa,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,Asia-Pacific,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,North America,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,TMT,2019.0,Latin America,Israel,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45591,ACP Venture Capital Fund II,American Capital Partners,19583,Diversified,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,100000000.0,USD,3.0,56000000.0,USD,5th Close,,
45592,FusionX Ventures Fund II,FusionX Ventures,17712,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,30200000.0,USD,2nd Close,,
45593,SFS ICG,Ironside Capital,19584,Energy / Oil & Gas,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,5000000.0,USD,3.0,3490000.0,USD,1st Close,,
45641,SLP Voltage Co-Invest,Silver Lake,6681,TMT,2019.0,North America,,Launched,Fund of Funds / Co-Investment,2019.0,,,3.0,,,,,
45649,Union Lake Transportation Partners,Union Lake Auto Partners,18658,Transport,2019.0,North America,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,5190000.0,USD,1st Close,,
45650,Advanced Life Settlement Portfolio 2019-7,ASR Alternative Investments,17820,Financial Services,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45666,Proof of Capital,Race Capital,19601,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,3.0,,,,,
45668,CDPQ–AI Fund,Caisse de dépôt et placement du Québec,93,TMT,2019.0,North America,Canada,Launched,Venture Capital / Growth Equity,2019.0,250000000.0,USD,3.0,,,,,
45725,Triangle Peak Partners III,Triangle Peak Partners,12924,Energy / Oil & Gas,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,300000000.0,USD,3.0,127760000.0,USD,1st Close,,
45725,Triangle Peak Partners III,Triangle Peak Partners,12924,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,300000000.0,USD,3.0,127760000.0,USD,1st Close,,
45733,Hivers & Strivers Co-Investment Fund IB,Hivers and Strivers,18385,Diversified,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,3000000.0,USD,,,,,,
45761,NextGen Octopus,NextGen Venture Partners,17811,TMT,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,,,3.0,1000000.0,USD,1st Close,,
45771,ORCP II Neon Co-Investors,One Rock Capital Partners,12825,Diversified,2019.0,North America,,Launched,Fund of Funds / Co-Investment,2019.0,,,3.0,,,,,
45777,GreenOaks Magnolia Fund,GreenOaks Capital Partners,17328,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,,,3.0,,,,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,Central/Eastern Europe,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,Western Europe,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,Middle East/Africa,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,North America,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,Asia-Pacific,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45790,First Reserve Fund XIV,First Reserve,6490,Energy / Oil & Gas,2019.0,Latin America,,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,465000000.0,USD,1st Close,,
45796,Overton VC Fund I,Overton Venture Capital,19624,Consumer Goods,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,,,3.0,,,,,
45806,Artis Ventures III,Artis Ventures,14888,Biotech / Life Science,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,300000000.0,USD,3.0,89200000.0,USD,1st Close,,
45806,Artis Ventures III,Artis Ventures,14888,Healthcare,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,300000000.0,USD,3.0,89200000.0,USD,1st Close,,
45806,Artis Ventures III,Artis Ventures,14888,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,300000000.0,USD,3.0,89200000.0,USD,1st Close,,
45811,SKK Provident Investors,Shepherd Kaplan Krochuk,19628,Biotech / Life Science,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,,,3.0,25150000.0,USD,1st Close,,
45811,SKK Provident Investors,Shepherd Kaplan Krochuk,19628,Healthcare,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,,,3.0,25150000.0,USD,1st Close,,
45811,SKK Provident Investors,Shepherd Kaplan Krochuk,19628,TMT,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,,,3.0,25150000.0,USD,1st Close,,
45834,HPS Special Situations Opportunity Fund,HPS Investment Partners,7143,Diversified,2019.0,North America,,Currently Investing,Mezzanine / Debt,2019.0,600000000.0,USD,3.0,170850000.0,USD,1st Close,,
45836,GSP TP Fund,Garnett Station Partners,19632,Diversified,2019.0,North America,United States,Launched,Buyout / Corporate Private Equity,2019.0,60000000.0,USD,3.0,,,,,
45837,Betaworks Ventures 2.0,Betaworks,17720,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,55000000.0,USD,12.0,8830000.0,USD,1st Close,,
45844,Hazoor Select,Hazoor Partners,19635,Financial Services,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,142340000.0,USD,2nd Close,,
45844,Hazoor Select,Hazoor Partners,19635,TMT,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,142340000.0,USD,2nd Close,,
45847,Halley Venture Fund II,Halley Venture Partners,18474,Other,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,,,3.0,,,,,
45847,Halley Venture Fund II,Halley Venture Partners,18474,Agribusiness,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,,,3.0,,,,,
45936,Rio Agri-Food Venture Capital Fund,Rio Investment Partners,19646,Agribusiness,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,150000000.0,USD,4.0,77500000.0,USD,1st Close,,
45939,Okta Ventures,Okta Ventures,19648,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,50000000.0,USD,4.0,,,,,
45943,Delta-v Capital Fund IV,Delta-v Capital,18404,TMT,2020.0,North America,United States,Launched,Secondaries,2020.0,250000000.0,USD,12.0,,,,,
45947,N2C Derm & Pain,New 2nd Capital,19615,Diversified,2019.0,North America,,Currently Investing,Secondaries,2019.0,,,2.0,42100000.0,USD,1st Close,,
45989,SWC MP Investments,Two Sigma,19359,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,,,4.0,,,,,
46008,Monarch Special Opportunities Fund,Monarch Alternative Capital,19657,Diversified,2019.0,North America,United Kingdom,Currently Investing,Mezzanine / Debt,2019.0,,,3.0,292470000.0,USD,7th Close,,
46008,Monarch Special Opportunities Fund,Monarch Alternative Capital,19657,Diversified,2019.0,North America,United States,Currently Investing,Mezzanine / Debt,2019.0,,,3.0,292470000.0,USD,7th Close,,
46008,Monarch Special Opportunities Fund,Monarch Alternative Capital,19657,Diversified,2019.0,Western Europe,United Kingdom,Currently Investing,Mezzanine / Debt,2019.0,,,3.0,292470000.0,USD,7th Close,,
46008,Monarch Special Opportunities Fund,Monarch Alternative Capital,19657,Diversified,2019.0,Western Europe,United States,Currently Investing,Mezzanine / Debt,2019.0,,,3.0,292470000.0,USD,7th Close,,
46009,Kairos Venture Opportunities I,Kairos Ventures,18382,Biotech / Life Science,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,24600000.0,USD,1st Close,,
46009,Kairos Venture Opportunities I,Kairos Ventures,18382,Healthcare,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,24600000.0,USD,1st Close,,
46009,Kairos Venture Opportunities I,Kairos Ventures,18382,TMT,2019.0,North America,United States,Currently Investing,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,24600000.0,USD,1st Close,,
46059,Goldcrest Capital Bird-C-1,Goldcrest Capital,19666,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,11000000.0,USD,4.0,,,,,
46064,Aethon III,Aethon Energy Management,17065,Energy / Oil & Gas,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,425000000.0,USD,4.0,,,,,
46072,Shasta Ventures VI,Shasta Ventures,7651,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,325000000.0,USD,4.0,,,,,
46096,OLC Fund 1,Old Line Capital Partners,19677,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,6000000.0,USD,4.0,3500000.0,USD,,,
46096,OLC Fund 1,Old Line Capital Partners,19677,Other,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,6000000.0,USD,4.0,3500000.0,USD,,,
46098,Susa Ventures Founders III,Susa Ventures,15789,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,3000000.0,USD,4.0,,,,,
46103,Summit Hill Credit Fund,Wilshire Associates,6744,Diversified,2019.0,North America,,Currently Investing,Mezzanine / Debt,2019.0,,,3.0,245000000.0,USD,1st Close,,
46108,NBM Investment Fund II,North Base Media,19684,TMT,2019.0,North America,,Currently Investing,Venture Capital / Growth Equity,2019.0,75000000.0,USD,4.0,15000000.0,USD,1st Close,,
46110,TTCP Participation Fund II,TT Capital Partners,13421,Healthcare,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,10000000.0,USD,4.0,,,,,
46110,TTCP Participation Fund II,TT Capital Partners,13421,TMT,2019.0,North America,,Launched,Venture Capital / Growth Equity,2019.0,10000000.0,USD,4.0,,,,,
46111,HCP Private Equity Fund IX,Hall Capital Partners,1740,Diversified,2019.0,North America,,Currently Investing,Fund of Funds / Co-Investment,2019.0,,,4.0,299920000.0,USD,2nd Close,,
46117,Cross Creek Focus Fund,Cross Creek,8314,Biotech / Life Science,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46117,Cross Creek Focus Fund,Cross Creek,8314,Consumer Goods,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46117,Cross Creek Focus Fund,Cross Creek,8314,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46128,AIM Ventura Capital Fund,Adams Investment Management,19687,Diversified,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2018.0,,,,23290000.0,USD,2nd Close,,
46131,RCP Vega Co-Invest,Reverence Capital Partners,16699,Financial Services,2019.0,North America,,Launched,Fund of Funds / Co-Investment,2019.0,,,4.0,,,,,
46131,RCP Vega Co-Invest,Reverence Capital Partners,16699,Financial Services,2019.0,Western Europe,,Launched,Fund of Funds / Co-Investment,2019.0,,,4.0,,,,,
46133,OW Exer Investors,Orangewood Partners,19688,Diversified,2019.0,North America,United States,Currently Investing,Buyout / Corporate Private Equity,2019.0,,,3.0,7750000.0,USD,1st Close,,
46164,Jobi Capital Investment Fund II,Jobi Capital,19694,Consumer Goods,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46164,Jobi Capital Investment Fund II,Jobi Capital,19694,Retail,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46164,Jobi Capital Investment Fund II,Jobi Capital,19694,TMT,2019.0,North America,United States,Launched,Venture Capital / Growth Equity,2019.0,100000000.0,USD,4.0,,,,,
46179,BIOS LTI Co-Invest III,Steelhead Capital Management,18662,TMT,2019.0,North America,,Currently Investing,Fund of Funds / Co-Investment,2019.0,30000000.0,USD,4.0,15120000.0,USD,2nd Close,,
