email,fm_office_id,postal_code,fm_id,country,phone,city,street_address,web_address,head_office,state,region
False,3573,86 10 5895 3800,5586,Asia-Pacific,,Beijing,"41/F, China World Tower 3 No.1 Jianguomenwai Street, Chaoyang District",100004,,China,
False,3747,61 2 8298 5500,5586,Asia-Pacific,,Sydney,"Level 42, Gateway Building 1 Macquarie Place",2000,,Australia,
True,3775,1 212 750 8300,5586,North America,New York,New York,30 Hudson Yards,10001,www.kkr.com,United States,Investor-Relations@kkr.com
False,3129,65 6922 5800,5586,Asia-Pacific,,Singapore,"Asia Square Tower 1 8 Marina View, #33-04",018960,,Singapore,
False,1190,971 04 378 1500,5586,Middle East/Africa,,Dubai,Gate Village 4 Levels 5 & 6 DIFC,,,United Arab Emirates,
False,2962,82 2 6321 7700,5586,Asia-Pacific,,Seoul,"35/F, West Tower, Mirae Asset Center 1 Building 26 Eulji-ro 5-gil, Jung-gu",04539,,South Korea,
False,1935,34 91 198 00 04,5586,Western Europe,,Madrid,Edificio Beatriz Calle de JosÃ© Ortega y Gasset 29,28006,,Spain,
False,410,353 1 4757499,5586,Western Europe,,Dublin,75 St. Stephens Green,2,,Ireland,
False,2307,1 415 3153620,5586,North America,California,San Francisco,"555 California Street, 50th Floor",94104,,United States,
False,1856,44 20 7839 9800,5586,Western Europe,,London,18 Hanover Square,W1S 1JY,,United Kingdom,Investor-Relations@kkr.com
False,2598,966 11 490 3767,5586,Middle East/Africa,,Riyadh,"Level 18, Al Faisaliah Tower,  King Fahed Road,  Box 54995",11311,,Saudi Arabia,
False,4107,352 270 243  100,5586,Western Europe,,Luxembourg,"2, rue Edward Steichen",L-2540,,Luxembourg,
False,347,86 21 3216 7102,5586,Asia-Pacific,,Shanghai,"43Fl., HKRI Centre One HKRI Taikoo Hui No. 288, Shimen Yi Road, Jingan District",200041,,China,
False,836,49 69 80 88 35 80,5586,Western Europe,,Frankfurt,"Maintor Panorama, 12th Floor Neue Mainzer Str. 2-4",60311,,Germany,
True,3665,41 91 9102640,19543,Western Europe,,Lugano,Via Cantonale 2,6901,pangeablockchain.ch,Switzerland,
False,952,,19543,North America,New York,New York,-,,,United States,
False,1269,,19543,North America,California,Los Angeles,-,,,United States,
True,1537,1 610 727 6900,19546,North America,Pennsylvania,Wayne,435 Devon Park Drive Building 800,19087,www.semcap.com,United States,info@semcap.com
False,780,,19546,North America,Massachusetts,Boston,160 Federal Street 24th Floor,02110,,United States,
False,2170,,19546,North America,Minnesota,Minneapolis,817 5th Ave South Suite 400,55404,,United States,
False,37,91 11 3041 9000,6650,Asia-Pacific,,New Delhi,"Providence Equity Advisors India Private Limited Birla Tower25 Barakhamba Rd., 6th Fl.",110001,,India,
False,1743,44 20 7514 8800,6650,Western Europe,,London,28 St. George Street,W1S 2FA,,United Kingdom,
True,3281,1 401 751 1700,6650,North America,Rhode Island,Providence,50 Kennedy Plaza 18th Floor,02903,www.provequity.com,United States,info@provequity.com
False,1256,1 212 588 6770,6650,North America,New York,New York,Benefit Street Partners 9 West 57th Street  Suite 4920,10019,,United States,BSP-info@benefitstreetpartners.com
False,1833,1 617 528 4863,6650,North America,Massachusetts,Boston,99 High Street,02110,,United States,
False,3980,,6650,North America,New York,New York,9 West 57th Street  Suite 4700,10019,,United States,
True,2124,,19557,Asia-Pacific,,Sydney,Surry Hills,2010,www.kingriver.co,Australia,info@kingriver.co
False,3043,,19557,North America,California,San Francisco,-,,,United States,
True,650,972 2 636 9300,17948,Middle East/Africa,,Jerusalem,28 Derech Hebron,9108001,www.ourcrowd.com,Israel,info@ourcrowd.com
False,320,1 646 350 2500,17948,North America,New York,New York,"1270 Avenue of the Americas,  8'th Floor",10020,,United States,
False,3033,,17948,North America,California,San Diego,"550 West B Street,  4th floor",92101,,United States,
False,3628,61 2 8052 5824,17948,Asia-Pacific,,Sydney,"Level 18, 167 Macquarie Street",2000,,Australia,
False,3377,,17948,Asia-Pacific,,Singapore,"15 Beach Road, Suite 03-133",189677,,Singapore,
False,925,,17948,North America,,Toronto,"4101 Yonge Street, Suite 706 North York, Ontario",M2P 2E3,,Canada,
False,3046,972 2 636 9300,17948,Middle East/Africa,,Tel Aviv-Yafo,"Derech Menachem Begin 156, 3rd floor",,,Israel,
False,1781,972 2 636 9300,17948,Middle East/Africa,,Herzliya,"Ha-Sadna'ot St 10, 2nd floor",,,Israel,
False,1293,34 91 417 4620,17948,Western Europe,,Madrid,"Paseo de la Castellana 93,  9th floor",28046,,Spain,
False,707,,17948,Western Europe,,London,Camden Lock Market Chalk Farm Rd,NW1 8AB,,United Kingdom,
False,1584,,17948,North America,Texas,Dallas,6848 Bandera Ave,75225,,United States,
True,4121,1 800 393 0493,19583,North America,New York,Hauppauge,205 Oser Avenue,11788,www.americancapitalpartners.com,United States,info@americancapitalpartners.com
False,446,1 904 329 7225,19583,North America,Florida,Jacksonville,301 West Bay Street Suite 1403,32202,,United States,
False,2911,1 212 835 1544,19583,North America,New York,New York,"5 Penn Plaza 23rd Floor, Office #2321",10001,,United States,
False,11,1 888 850 0071,19583,North America,Georgia,Atlanta,6000 Lake Forrest Drive N.W. Suite #325,30328,,United States,
False,157,1 866 223 2556,19583,North America,Georgia,Columbus,2301 Brookstone Centre Parkway,31904,,United States,
True,4014,1 858 261 1870,17712,North America,California,San Diego,16990 Goldentop Rd,92127,www.fusionxventures.com,United States,
True,2558,1 503 930 7075,19584,North America,Oregon,Wilsonville,9450 SW Commerce Circle Suite 420,97070,www.ironsidecapgroup.com,United States,
False,2562,1 212 981 5600,6681,North America,New York,New York,9 West 57th Street,10019,,United States,
True,503,1 650 233 8120,6681,North America,California,Menlo Park,2775 Sand Hill Road Suite 100,94025,www.silverlake.com,United States,
False,413,852 3664 3300,6681,Asia-Pacific,,Hong Kong,33/F Two IFC 8 Finance Street,,,Hong Kong,
False,1949,44 20 3205 8400,6681,Western Europe,,London,Broadbent House  65 Grosvenor Street,W1K 3JH,,United Kingdom,
False,2557,81 3 6269 3299,6681,Asia-Pacific,,Tokyo,"20/F Marunouchi Trust Tower - Main 1-8-3 Marunouchi, Chiyoda-ku",100-0005,,Japan,
False,2509,1 408 454 4732,6681,North America,California,Cupertino,10080 North Wolfe Road  Suite SW3-190,95014,,United States,
False,2120,1 650 234 2570,6681,North America,California,San Mateo,2020 Pioneer Court,94403,,United States,
True,592,1 248 939 3877,18658,North America,Michigan,Birmingham,1196 Lakeside Drive,48009,,United States,
True,2080,1 817 741 8000,17820,North America,Texas,Southlake,1203 S. White Chapel Blvd. Suite 250,76092,www.asrinvest.com,United States,info@asrinvest.com
True,2801,,19601,North America,California,Hayward,30852 Huntwood Avenue,94544,www.race.capital,United States,
False,3614,1 212 596 6300,93,North America,New York,New York,"1211 Avenue of the Americas, Suite 3001",10036,,United States,
False,3700,1 514 842 3261,93,North America,,Montreal,"Édifice Jacques-Parizeau 1000, place Jean-Paul-Riopelle",H2Z 2B3,www.cdpq.com,Canada,
True,3711,1 418 684 2334,93,North America,,Québec,"Édifice Price 65, rue Sainte-Anne,  14th Floor",G1R 3X5,www.cdpq.com,Canada,info@cdpq.com
False,2307,1 202 730 8010,93,North America,,Washington DC,"1775 Pennsylvania Avenue NorthWest, Suite 200",20006,,United States,
False,1668,33 1 56 69 25 30,93,Western Europe,,Paris,"28-32, avenue Victor-Hugo 6th Floor",75116,,France,
False,3995,91 11 4957 7802,93,Asia-Pacific,,New Delhi,"5th floor, Suit 507 Worldmark 3, Aerocity",110037,,India,
False,3993,61 2 8316 3800,93,Asia-Pacific,,Sydney,"Deutsche Bank Place, Suite 2201 126, Philip Street",2000,,Australia,
False,1674,65 6800 4870,93,Asia-Pacific,,Singapore,"One Raffles Quay North Tower, 39th floor, Room 01",048583,,Singapore,
False,1447,52 55 4170 9625,93,Latin America,,Mexico City,"Torre Virreyes Pedregal 24, 9th Floor, Suite 902 Colonia Molino del Rey Delegación Miguel Hidalgo",11040,,Mexico,
False,2499,44 207 024 8186,93,Western Europe,,London,"11 Charles II Street,  2nd Floor",SW1Y 4QU,,United Kingdom,
False,2256,86 21 6390 0100,93,Asia-Pacific,,Shanghai,"One Corporate Avenue Unit 1504, 15th Floor 222, Hubin Road, Huang Pu District",200021,,China,
False,3585,55 11 46 32 01 90,93,Latin America,,São Paulo,"Av. Brigadeiro Faria Lima 3477 5th Floor, Suite 51, North Tower Itaim Bibi",04538-133,,Brazil,
True,2948,1 831 998 9540,12924,North America,California,Carmel,"Carmel Plaza,  Suite 305,  Ocean & Mission Streets",93921,www.trianglepeakpartners.com,United States,info@trianglepeakpartners.com
False,608,1 650 561 4415,12924,North America,California,Palo Alto,"505 Hamilton Ave,  Suite 300",94301,,United States,
False,1554,1 713 439 1097,12924,North America,Texas,Houston,"11 Greenway Plaza,  Suite 2000",77046,,United States,
True,1759,1 703 887 5176,18385,North America,Virginia,Great Falls,10424 Down Patrick Lane,22066,www.hiversandstrivers.com,United States,
True,2089,1 410 537 5400,17811,North America,Maryland,Baltimore,901 S Bond St,21231,www.nextgenvp.com,United States,
False,2762,,17811,North America,Maryland,Chevy Chase,"5404 Wisconsin Avenue, Suite 1000",20815,,United States,
False,333,,17811,North America,Massachusetts,Boston,100 High St,02110,,United States,
True,1698,1 212 605 6000,12825,North America,New York,New York,"30 Rockefeller Plaza, 54th Floor",10112,www.onerockcapital.com,United States,info@onerockcapital.com
False,3361,1 213 292 5870,12825,North America,California,Los Angeles,"11601 Wilshire Blvd, Suite 1960",90025,,United States,info@onerockcapital.com
True,3967,1 415 942 5322,17328,North America,California,San Francisco,535 Pacific Avenue  4th floor,94133,www.greenoakscap.com,United States,contact@greenoakcap.com
True,76,1 203 661 6601,6490,North America,Connecticut,Stamford,290 Harbor Drive,06902,www.firstreserve.com,United States,
False,672,1 713 227 7890,6490,North America,Texas,Houston,"600 Travis,  Suite 6000",77002,,United States,
True,1699,1 404 441 6069,19624,North America,New York,New York,"201 East 79th Street, Unit 14J",10075,www.overtonvc.com,United States,info@overtonvc.com
True,1793,1 415 517 9498,14888,North America,California,San Francisco,"499 Jackson Street, Suite 400",94111,www.av.co,United States,
True,452,1 617 896 1600,19628,North America,Massachusetts,Boston,"125 Summer Street,  22nd Floor",02110,www.skk-llc.com,United States,info@skk-llc.com
True,718,1 212 287 6767,7143,North America,New York,New York,40 West 57th Street 33rd Floor,10019,www.hpspartners.com,United States,ir@hpspartners.com
False,1001,,7143,North America,Texas,Houston,700 Louisiana Street Suite 3850,77002,,United States,
False,718,,7143,North America,Illinois,Chicago,22 West Washington Street Suite 1500,60602,,United States,
False,4115,,7143,North America,California,Los Angeles,10100 Santa Monica Boulevard Suite 300,90067,,United States,
False,786,,7143,North America,Florida,North Miami,Causeway Square 1801 NE 123rd Street Suite 314,33181,,United States,
False,2761,,7143,North America,Texas,Dallas,4514 Cole Avenue Suite 600,75205,,United States,
False,2467,44 20 7484 6030,7143,Western Europe,,London,Devonshire House 1 Mayfair Place 4th Floor,W1J 8AJ,,United Kingdom,
False,619,852 2165 2580,7143,Asia-Pacific,,Central,"Cheung Kong Center, Unit 4805, 2 Queen's Road Central",,,Hong Kong,
False,2028,61 2 9258 2503,7143,Asia-Pacific,,Sydney,Aurora Place 88 Phillip Street Level 30,2000,,Australia,
False,189,,7143,North America,New York,New York,1350 Avenue of the Americas 22nd Floor,10019,,United States,
False,2939,,7143,Western Europe,,Luxembourg,37A Avenue J.F. Kennedy,L-1885,,Luxembourg,
False,1087,,7143,North America,South Carolina,Columbia,1320 Main Street Suite 300,29201,,United States,
False,1180,65 6929 8600,7143,Asia-Pacific,,Singapore,"HPS Investment Partners (SG) Pte. Ltd. Level 37, Ocean Financial Centre 10 Collyer Quay",049315,,Singapore,
True,2608,1 917 685 2967,19632,North America,New York,New York,"853 Broadway,  16th Floor",10003,www.garnettstation.com,United States,
True,3344,1 646 839 8575,17720,North America,New York,New York,29 Little West 12th street,10014,www.betaworks.com,United States,
True,3972,1 210 365 5114,19635,North America,Texas,Austin,"9390 Research Boulevard Building 2, Suite 110",78759,www.hazoorpartners.com,United States,ir@hazoorpartners.com
True,3810,1 415 692 8020,18474,North America,California,Lafayette,"3527 Mt. Diablo Blvd.,  Suite 443",94549,www.halleyvp.com,United States,
True,777,1 403 215 5492,19646,North America,,Calgary,"Suite 500, 400 Crowfoot Cres NW",T3G 5H6,www.riofunds.com,Canada,info@riofunds.com
False,1536,1 514 399 2926,19646,North America,,Montreal,3 Place Ville Marie Suite 12350,H3B-0E,,Canada,
True,1790,1 888 722 7871,19648,North America,California,San Francisco,"100 First Street, 6th Floor",94105,www.okta.com/okta-ventures/,United States,info@okta.com
False,3725,,19648,North America,California,San Jose,"300 Park Avenue, 4th Floor",95110,,United States,
False,778,,19648,North America,Washington,Bellevue,"110 Atrium 110 110th Avenue Northeast,  Suite 610",98004,,United States,
True,2840,1 303 854 3538,18404,North America,Colorado,Boulder,1900 9th Street Suite 210,80302,www.deltavcapital.com,United States,
False,3298,1 972 924 0853,18404,North America,Texas,Dallas,4514 Cole Avenue Suite 1225,75205,,United States,
True,1735,1 212 913 9983,19615,North America,New York,New York,"747 3rd Avenue,  Suite 2101",10017,www.new2ndcapital.com,United States,info@new2ndcapital.com
True,3308,1 212 625 5700,19359,North America,New York,New York,"100 Avenue of the Americas,  16th Floor",10013,www.twosigma.com,United States,
False,1543,1 832 548 6700,19359,North America,Texas,Houston,811 Main Street Suite 2700,77002,,United States,
False,2931,,19359,North America,,New York,"The Two Sigma Collision Lab at Cornell Tech 11 East Loop Road,6th Floor",10044,,United States,
False,3873,1 212 625 5700,19359,North America,Connecticut,Stamford,680 Washington Boulevard Suite 850,06901,,United States,
False,1264,1 212 625 5700,19359,North America,Illinois,Chicago,200 S. Wacker Suite 3100,60606,,United States,
False,396,1 207 766 1333,19359,North America,Maine,Portland,100 Commercial Street,04101,,United States,
False,3801,44 20 3750 9960,19359,Western Europe,,London,"City Tower, 40 Basinghall Street Level 16",EC2V 5DE,,United Kingdom,
False,2378,81 3 4572 9150,19359,Asia-Pacific,,Tokyo,"Forum Building 4F 2-24-11 Minami-Aoyama, Minato-ku",107-0062,,Japan,
False,3691,852 3702 7700,19359,Asia-Pacific,,Hong Kong,"LHT Tower 31 Queenâ€™s Road Central Suite 1702, Central",,,Hong Kong,
False,1316,86 21 8023 9566,19359,Asia-Pacific,,Shanghai,"Shanghai Tower 501 Yincheng Middle Road Floor 60, Room 6003 and 6004 China (Shanghai) Pilot Free Trade Zone",200120,,China,
False,95,,19359,North America,New York,New York,101 Avenue of the Americas 23rd Floor,10013,,United States,
True,2930,1 212 554 1700,19657,North America,New York,New York,535 Madison Avenue,10022,www.monarchlp.com,United States,ir@monarchlp.com
False,3108,44 20 7374 7940,19657,North America,,London,"50-52 Welbeck Street, 1st Floor",W1G 9HL,,United States,
True,1201,1 310 271 1866,18382,North America,California,Beverly Hills,9440 S. Santa Monica Blvd. #710,90210,www.kairosventures.com,United States,info@kairosventures.com
False,3423,1 626 298 8770,18382,North America,California,Pasadena,-,,,United States,
False,3082,1 212 457 8818,18382,North America,New York,New York,-,,,United States,
False,1853,1 202 547 0117,18382,North America,,Washington D.C.,-,,,United States,
False,3290,1 512 504 7374,18382,North America,Texas,Austin,-,,,United States,
True,701,1 214 303 1112,19666,North America,Texas,Dallas,"5956 Sherry Lane, Suite 930",75225,www.goldcrest.com,United States,info@goldcrest.com
True,902,1 214 750 3820,17065,North America,Texas,Dallas,12377 Merit Drive Suite 1200,75251,www.aethonenergy.com,United States,IR@AethonEnergy.com
True,4086,1 650 543 1700,7651,North America,California,Menlo Park,"2440 Sand Hill Road,  Suite 300",94025,www.shastaventures.com,United States,
False,278,1 415 644 0140,7651,North America,California,San Francisco,"27 South Park St.,  Suite 101",94107,,United States,
True,3482,1 443 878 3985,19677,North America,Maryland,Columbia,"10632 Little Patuxent Parkway,  Suite 400",21044,www.oldlinecap.com,United States,info@oldlinecap.com
True,3532,1 310 413 7398,15789,North America,California,San Francisco,530 Hampshire Street  Unit 301,94110,www.susaventures.com,United States,pitches@susaventures.com
True,3282,1 310 451 3051,6744,North America,California,Santa Monica,1299 Ocean Avenue Suite 700,90401,www.wilshire.com,United States,contactanalytics@wilshire.com
False,2269,1 312 762 5500,6744,North America,Illinois,Chicago,222 West Adams Street  Suite 1880,60606,,United States,
False,1268,44 20 7920 3100,6744,Western Europe,,London,8th Floor 20 Farringdon Street,EC4A 4AB,,United Kingdom,
False,1161,65 6435 2169,6744,Asia-Pacific,,Singapore,"3 Pickering Street  #02-39, Nankin Row  China Square Central",048660,,Singapore,
