fund_id,fund_name,manager_id,manager,close_year,strategy,fund_size_amt,fund_currency
15289,P/A Fund II,6373.0,Apax Partners,1993,Venture Capital / Growth Equity,60610000.0,USD
15218,New Enterprise Associates VI,6610.0,New Enterprise Associates,1993,Venture Capital / Growth Equity,230000000.0,USD
24910,Needham Capital Partners I,12835.0,Needham Capital Partners,1994,Venture Capital / Growth Equity,,
14880,Kleiner Perkins Caufield & Byers VII,6562.0,Kleiner Perkins,1994,Venture Capital / Growth Equity,225000000.0,USD
15043,Matrix Partners IV,6584.0,Matrix Partners,1995,Venture Capital / Growth Equity,125000000.0,USD
23088,Venrock Associates II,3738.0,Venrock,1995,Venture Capital / Growth Equity,252000000.0,USD
12707,Brentwood Associates VII,6414.0,Brentwood Associates,1995,Venture Capital / Growth Equity,115000000.0,USD
15219,New Enterprise Associates VII,6610.0,New Enterprise Associates,1996,Venture Capital / Growth Equity,311000000.0,USD
23788,DCM I,6854.0,DCM Ventures,1996,Venture Capital / Growth Equity,45000000.0,USD
5012,Accel Internet I,6357.0,Accel,1996,Venture Capital / Growth Equity,20000000.0,USD
8366,KPCB Java Fund,6562.0,Kleiner Perkins,1996,Venture Capital / Growth Equity,100000000.0,USD
15151,Accel V,6357.0,Accel,1996,Venture Capital / Growth Equity,150000000.0,USD
14881,Kleiner Perkins Caufield & Byers VIII,6562.0,Kleiner Perkins,1996,Venture Capital / Growth Equity,310000000.0,USD
12651,Frazier Healthcare II,6498.0,Frazier Healthcare Partners,1996,Venture Capital / Growth Equity,88000000.0,USD
15854,CMEA Ventures II,6840.0,CMEA Capital,1997,Venture Capital / Growth Equity,46210000.0,USD
15290,P/A Fund III,6373.0,Apax Partners,1997,Venture Capital / Growth Equity,100000000.0,USD
5434,Softbank Technology Ventures IV,7945.0,Softbank Capital Partners,1997,Venture Capital / Growth Equity,313000000.0,USD
15409,Triumph Partners III,6717.0,Triumph Capital Group,1997,Venture Capital / Growth Equity,600000000.0,USD
14767,Greylock IX,7229.0,Greylock Partners,1997,Venture Capital / Growth Equity,,
12708,Brentwood Associates VIII,6414.0,Brentwood Associates,1997,Venture Capital / Growth Equity,160000000.0,USD
15348,TA Associates / Advent VIII,6694.0,TA Associates,1997,Venture Capital / Growth Equity,800000000.0,USD
15152,Accel VI,6357.0,Accel,1998,Venture Capital / Growth Equity,275000000.0,USD
15220,New Enterprise Associates VIII,6610.0,New Enterprise Associates,1998,Venture Capital / Growth Equity,566000000.0,USD
15853,Burrill Agbio Capital Fund,6839.0,Burrill & Co.,1998,Venture Capital / Growth Equity,66000000.0,USD
3371,Partech International Growth Capital Fund I,6633.0,Partech,1998,Venture Capital / Growth Equity,65000000.0,USD
10267,Nokia Venture Partners I,7655.0,BlueRun Ventures,1998,Venture Capital / Growth Equity,150000000.0,USD
24909,Needham Capital Partners II,12835.0,Needham Capital Partners,1998,Venture Capital / Growth Equity,90300000.0,USD
25156,Accel Internet II,6357.0,Accel,1998,Venture Capital / Growth Equity,35000000.0,USD
12705,Brentwood Associates IX,6414.0,Brentwood Associates,1998,Venture Capital / Growth Equity,300000000.0,USD
15044,Matrix Partners V,6584.0,Matrix Partners,1998,Venture Capital / Growth Equity,200000000.0,USD
12901,Battery Ventures V,6393.0,Battery Ventures,1999,Venture Capital / Growth Equity,404000000.0,USD
7551,DCM II,6854.0,DCM Ventures,1999,Venture Capital / Growth Equity,155000000.0,USD
15216,New Enterprise Associates 9,6610.0,New Enterprise Associates,1999,Venture Capital / Growth Equity,880000000.0,USD
906,FCA Venture Partners II,8077.0,Clayton Associates,1999,Venture Capital / Growth Equity,32600000.0,USD
15137,Aberdare Ventures,6351.0,Aberdare Ventures,1999,Venture Capital / Growth Equity,50000000.0,USD
3372,Partech International Growth Capital Fund II,6633.0,Partech,1999,Venture Capital / Growth Equity,135000000.0,USD
6718,Softbank Capital Partners I,7945.0,Softbank Capital Partners,1999,Venture Capital / Growth Equity,1450000000.0,USD
7273,CMEA Ventures IV,6840.0,CMEA Capital,1999,Venture Capital / Growth Equity,180000000.0,USD
24510,PRIVEQ II Limited Partnership,7111.0,Priveq Capital Funds,1999,Venture Capital / Growth Equity,27000000.0,CAD
14396,Providence Growth Investors,6650.0,Providence Equity Partners,1999,Venture Capital / Growth Equity,276000000.0,USD
5559,Battery Convergence Fund,6393.0,Battery Ventures,1999,Venture Capital / Growth Equity,40000000.0,USD
15153,Accel VII,6357.0,Accel,1999,Venture Capital / Growth Equity,480000000.0,USD
8087,Accel Internet III,6357.0,Accel,1999,Venture Capital / Growth Equity,63100000.0,USD
15816,Softbank Technology Ventures V,7945.0,Softbank Capital Partners,1999,Venture Capital / Growth Equity,606000000.0,USD
12652,Frazier Healthcare III,6498.0,Frazier Healthcare Partners,1999,Venture Capital / Growth Equity,220000000.0,USD
14454,Sequoia Capital Franchise Fund,6675.0,Sequoia Capital,1999,Venture Capital / Growth Equity,350000000.0,USD
15804,TA Atlantic & Pacific IV,6694.0,TA Associates,1999,Venture Capital / Growth Equity,500000000.0,USD
5675,FC Leadership Fund,6495.0,Foundation Capital,2000,Venture Capital / Growth Equity,150000000.0,USD
10220,Concord VII Capital,7375.0,Concord Venture Capital Group,2000,Venture Capital / Growth Equity,740000000.0,USD
9914,Inventages I,5430.0,Inventages,2000,Venture Capital / Growth Equity,100000000.0,EUR
9901,Concord VIII Capital,7375.0,Concord Venture Capital Group,2000,Venture Capital / Growth Equity,115000000.0,USD
10343,Harbinger Venture Capital,5542.0,Harbinger Venture Management,2000,Venture Capital / Growth Equity,2000000000.0,USD
5680,Leapfrog Ventures,7371.0,Leapfrog Ventures,2000,Venture Capital / Growth Equity,100000000.0,USD
5684,EndPoint Late Stage Fund,7376.0,EndPoint Merchant Group,2000,Venture Capital / Growth Equity,30000000.0,USD
10450,Concord IV Venture Capital,7375.0,Concord Venture Capital Group,2000,Venture Capital / Growth Equity,1520000000.0,USD
9822,Dawntreader Fund II,7763.0,Dawntreader Ventures,2000,Venture Capital / Growth Equity,250000000.0,USD
10111,Harbinger II Venture Capital,5542.0,Harbinger Venture Management,2000,Venture Capital / Growth Equity,10000000.0,USD
9800,Montreux Equity Partners II,8522.0,Montreux Growth Partners,2000,Venture Capital / Growth Equity,75000000.0,USD
24830,MVC Global Japan Fund II,312.0,Mitsui & Co. Global Investment,2000,Venture Capital / Growth Equity,,
24691,Seaport Capital Partners II,2921.0,CEA Group,2000,Venture Capital / Growth Equity,262000000.0,USD
9942,Concord V Venture Capital,7375.0,Concord Venture Capital Group,2000,Venture Capital / Growth Equity,401000000.0,USD
10645,Fortune Technology Fund II,5532.0,Fortune Venture Investment Group,2000,Venture Capital / Growth Equity,25000000.0,USD
25585,RWI Ventures I,8453.0,RWI Ventures,2000,Venture Capital / Growth Equity,,
9410,Dor Ventures Fund,5427.0,DOR Ventures,2000,Venture Capital / Growth Equity,50000000.0,USD
23787,DCM III,6854.0,DCM Ventures,2000,Venture Capital / Growth Equity,450000000.0,USD
9283,Crystal Internet Venture Fund II,8231.0,Crystal Venture Funds,2000,Venture Capital / Growth Equity,80000000.0,USD
25133,Oklahoma Life Science Fund I - (OLSF I),10892.0,Oklahoma Life Science Fund,2000,Venture Capital / Growth Equity,5100000.0,USD
5694,Camden Partners Strategic Fund II,7465.0,Camden Partners,2000,Venture Capital / Growth Equity,100000000.0,USD
915,5280 Partner I,12286.0,5280 Partners,2000,Venture Capital / Growth Equity,,
10532,IPF I,5553.0,iD TechVentures,2000,Venture Capital / Growth Equity,260000000.0,USD
23675,SVIC No. 5 Fund,1737.0,Samsung Venture Investment Corporation,2000,Venture Capital / Growth Equity,30000000000.0,KRW
9049,Granite Global Ventures I,5535.0,GGV Capital,2000,Venture Capital / Growth Equity,160000000.0,USD
25446,Harbinger/Aurora Venture Funds,6035.0,Harbert Management Corporation,2000,Venture Capital / Growth Equity,,
1167,Catalyst Investors,12370.0,Catalyst Investors,2000,Venture Capital / Growth Equity,110000000.0,USD
5656,KB Partners Venture Fund II,7356.0,KB Partners,2000,Venture Capital / Growth Equity,78000000.0,USD
9721,Maveron Equity Partners 2000,7558.0,Maveron,2000,Venture Capital / Growth Equity,340000000.0,USD
5688,EDF Ventures III,7237.0,EDF Ventures,2000,Venture Capital / Growth Equity,85000000.0,USD
2543,Prism Opportunity Fund,7643.0,Prism Capital,2000,Venture Capital / Growth Equity,50000000.0,USD
9695,"CMGI@Ventures Technology Fund, LLC",6997.0,@Ventures,2000,Venture Capital / Growth Equity,,
12902,Battery Ventures VI,6393.0,Battery Ventures,2000,Venture Capital / Growth Equity,1000000000.0,USD
8860,Emerging Communications Fund,8700.0,Blueprint Ventures,2000,Venture Capital / Growth Equity,200000000.0,USD
9452,H.I.G. Venture Partners I,6829.0,H.I.G. Capital,2000,Venture Capital / Growth Equity,250000000.0,USD
2081,Global Environment Emerging Markets Fund,8272.0,GEF Capital Partners,2000,Venture Capital / Growth Equity,70000000.0,USD
12611,FA Technology Ventures,6485.0,FA Technology Ventures,2000,Venture Capital / Growth Equity,200000000.0,USD
12608,Excelsior VI,6373.0,Apax Partners,2000,Venture Capital / Growth Equity,1100000000.0,USD
26202,Open Prairie Ventures I,13131.0,Open Prairie,2000,Venture Capital / Growth Equity,40000000.0,USD
12588,Euclid eCorporate Partners,6480.0,EuclidSR Partners,2000,Venture Capital / Growth Equity,,
12585,Essex Woodlands Health Ventures V,6478.0,EW Healthcare Partners,2000,Venture Capital / Growth Equity,280000000.0,USD
57554,Chicago Public Education Fund 1,7395.0,The Chicago Public Education Fund,2000,Venture Capital / Growth Equity,10000000.0,USD
12682,Bluestream Ventures,6405.0,Bluestream Ventures,2000,Venture Capital / Growth Equity,280000000.0,USD
2083,Global Environment Emerging Markets Fund II,8272.0,GEF Capital Partners,2000,Venture Capital / Growth Equity,120000000.0,USD
12687,Boston Millenia Partners II,6407.0,Boston Millennia Partners,2000,Venture Capital / Growth Equity,414000000.0,USD
26522,Energy Spectrum Partners III,7573.0,Energy Spectrum Capital,2000,Venture Capital / Growth Equity,85860000.0,USD
26762,STARTech Seed Fund II,13423.0,STARTech Early Ventures,2000,Venture Capital / Growth Equity,32000000.0,USD
12887,Baker Communications Partners II,6390.0,Baker Capital,2000,Venture Capital / Growth Equity,1100000000.0,USD
12870,Audax Venture Fund,6386.0,Audax Group,2000,Venture Capital / Growth Equity,75000000.0,USD
5550,Continuation Investment Partners,7296.0,Continuation Investments Group,2000,Venture Capital / Growth Equity,102000000.0,USD
5578,Foundation Capital III,6495.0,Foundation Capital,2000,Venture Capital / Growth Equity,275000000.0,USD
5642,Inglewood Ventures,7348.0,Inglewood Ventures,2000,Venture Capital / Growth Equity,40000000.0,USD
12691,Boston Ventures VI,6407.0,Boston Millennia Partners,2000,Venture Capital / Growth Equity,685000000.0,USD
12740,ComVentures V,6446.0,Fuse Capital,2000,Venture Capital / Growth Equity,550000000.0,USD
12750,Corporate Venture Partners,7797.0,Corporate Venture Partners,2000,Venture Capital / Growth Equity,27000000.0,USD
12758,Crimson Velocity Fund,6453.0,Crimson Investments,2000,Venture Capital / Growth Equity,330000000.0,USD
12761,Cross Atlantic Technology Fund II,6454.0,Cross Atlantic Capital Partners,2000,Venture Capital / Growth Equity,53000000.0,USD
10531,Enabling Technology (ETLP/ETB),5464.0,PolyTechnos Venture-Partners,2000,Venture Capital / Growth Equity,65000000.0,EUR
8726,Skypoint Telecom Fund,7492.0,Skypoint Capital Corporation,2000,Venture Capital / Growth Equity,80000000.0,USD
12798,Draper Triangle Ventures,7392.0,Draper Triangle,2000,Venture Capital / Growth Equity,56000000.0,USD
5805,Sterling Venture Partners,6692.0,Sterling Partners,2000,Venture Capital / Growth Equity,136000000.0,USD
5583,Axiom Venture Partners III,7317.0,Axiom Venture Partners,2000,Venture Capital / Growth Equity,102000000.0,USD
12816,El Dorado Ventures VI,6470.0,El Dorado Ventures,2000,Venture Capital / Growth Equity,250000000.0,USD
21584,SAM Private Equity Energy Fund,10756.0,RobecoSAM Private Equity,2000,Venture Capital / Growth Equity,48000000.0,USD
8690,Harbinger/Aurora Ventures,7006.0,Aurora Funds,2000,Venture Capital / Growth Equity,52000000.0,USD
12797,Draper Fisher Jurvetson VII,6463.0,Threshold Ventures,2000,Venture Capital / Growth Equity,640000000.0,USD
10735,Court Square Ventures I,7882.0,Court Square Ventures,2000,Venture Capital / Growth Equity,,
15916,Diamondhead Ventures,7299.0,Diamondhead Ventures,2000,Venture Capital / Growth Equity,140000000.0,USD
9470,Zephyr Internet Partners (ZIP),6753.0,Zephyr Management,2000,Venture Capital / Growth Equity,6000000.0,USD
8742,GRP II,8361.0,Upfront Ventures,2000,Venture Capital / Growth Equity,400000000.0,USD
5414,Blumberg Capital I,7233.0,Blumberg Capital,2000,Venture Capital / Growth Equity,37000000.0,USD
5416,Sandler Capital V,6665.0,Sandler Capital Management,2000,Venture Capital / Growth Equity,756000000.0,USD
7810,TLcom I,8517.0,TLcom Capital,2000,Venture Capital / Growth Equity,138000000.0,EUR
30365,CTV I,1733.0,Chevron Technology Ventures,2000,Venture Capital / Growth Equity,60000000.0,USD
7831,GTI V,6929.0,GTI Capital,2000,Venture Capital / Growth Equity,40000000.0,CAD
23071,Denham Commodities Partners Fund I,8627.0,Denham Capital Management,2000,Venture Capital / Growth Equity,212000000.0,USD
7863,Gabriel Venture Partners I,7146.0,Gabriel Venture Partners,2000,Venture Capital / Growth Equity,100000000.0,USD
16025,Salix Ventures II,6916.0,Salix Ventures,2000,Venture Capital / Growth Equity,120000000.0,USD
16143,HPJ Media Ventures Fund,6994.0,HPJ Media Ventures,2000,Venture Capital / Growth Equity,22000000.0,USD
15389,Three Arch Partners III,6710.0,Three Arch Partners,2000,Venture Capital / Growth Equity,188000000.0,USD
8218,De Novo Ventures I,7265.0,De Novo Ventures,2000,Venture Capital / Growth Equity,100000000.0,USD
5508,Onset IV,7142.0,Onset Ventures,2000,Venture Capital / Growth Equity,283000000.0,USD
8228,Woodside Fund IV,7287.0,Woodside Fund,2000,Venture Capital / Growth Equity,135000000.0,USD
13663,Core Capital Partners,2962.0,Core Capital Partners,2000,Venture Capital / Growth Equity,160000000.0,USD
8236,GeneChem Therapeutics Venture Fund,7250.0,GeneChem Management,2000,Venture Capital / Growth Equity,137000000.0,CAD
29449,Noro-Moseley Partners V,6616.0,Noro-Moseley Partners,2000,Venture Capital / Growth Equity,320000000.0,USD
16194,Trellis Partners II,7024.0,Trellis Partners,2000,Venture Capital / Growth Equity,25000000.0,USD
16274,Grosvenor Venture Partners III,7069.0,The Grosvenor Funds,2000,Venture Capital / Growth Equity,40000000.0,USD
8220,Foragen Technologies Limited Partnership,7123.0,Foragen Technologies Management,2000,Venture Capital / Growth Equity,42000000.0,CAD
8197,Nth Power Technologies Fund II,6930.0,Nth Power,2000,Venture Capital / Growth Equity,120500000.0,USD
5474,Angel Ventures Fund,7256.0,Angel Ventures,2000,Venture Capital / Growth Equity,111000000.0,USD
5524,Voyager Capital II,7286.0,Voyager Capital,2000,Venture Capital / Growth Equity,215000000.0,USD
16241,Encompass Ventures II,7052.0,Encompass Ventures,2000,Venture Capital / Growth Equity,34000000.0,USD
5530,Berkshire Capital Investors Fund II,7290.0,Berkshires Capital Investors,2000,Venture Capital / Growth Equity,16000000.0,USD
8181,EnerTech Capital Partners II,6845.0,EnerTech Capital,2000,Venture Capital / Growth Equity,234000000.0,USD
16317,Brightspark Ventures,7107.0,Brightspark,2000,Venture Capital / Growth Equity,62000000.0,USD
27398,Genesys Ventures IA,13728.0,Genesys Capital,2000,Venture Capital / Growth Equity,90000000.0,CAD
16291,Jumpstartup,7081.0,Jumpstartup Venture Capital,2000,Venture Capital / Growth Equity,45000000.0,USD
13239,Energy Spectrum Partners II,7573.0,Energy Spectrum Capital,2000,Venture Capital / Growth Equity,132910000.0,USD
23293,SVB Strategic Investors Fund,8175.0,SVB Capital,2000,Venture Capital / Growth Equity,64500000.0,USD
7646,Main Street Equity Ventures II,8429.0,Main Street Capital Corporation,2000,Venture Capital / Growth Equity,30000000.0,USD
7605,TechnoCap Venture Fund,8417.0,TechnoCap,2000,Venture Capital / Growth Equity,,
15914,Stonebridge Partners Equity Fund III,6814.0,Stonebridge Partners,2000,Venture Capital / Growth Equity,233000000.0,USD
10678,CMGI@Ventures B2B Fund,6997.0,@Ventures,2000,Venture Capital / Growth Equity,1000000000.0,USD
10630,"CMG@Ventures Expansion, LLC",6997.0,@Ventures,2000,Venture Capital / Growth Equity,38200000.0,USD
16340,T2C2/Bio 2000,7125.0,T2C2 Capital,2000,Venture Capital / Growth Equity,70000000.0,USD
12865,Atlas Venture Fund V,6384.0,Atlas Venture,2000,Venture Capital / Growth Equity,704000000.0,USD
13430,Greylock X,7229.0,Greylock Partners,2000,Venture Capital / Growth Equity,,
23124,EdgeStone Capital Venture Fund I,6467.0,EdgeStone Capital Partners,2000,Venture Capital / Growth Equity,104000000.0,CAD
7962,Star Ventures Entreprises No.IX,7327.0,Star Ventures,2000,Venture Capital / Growth Equity,340000000.0,USD
16049,GTI Capital II,6929.0,GTI Capital,2000,Venture Capital / Growth Equity,100000000.0,USD
8028,Emerald Sustainable ability fund (ESF LP),8225.0,Emerald Technology Ventures,2000,Venture Capital / Growth Equity,37800000.0,EUR
16070,Ericsson Venture Partners,6943.0,Eastven Venture Partners,2000,Venture Capital / Growth Equity,300000000.0,USD
13490,CMEA Life Sciences 2000,6840.0,CMEA Capital,2000,Venture Capital / Growth Equity,162970000.0,USD
5448,M/C Venture Partners V,7248.0,M/C Partners,2000,Venture Capital / Growth Equity,550000000.0,USD
5452,Telesoft 2,7251.0,Telesoft Partners,2000,Venture Capital / Growth Equity,460000000.0,USD
16122,Asia Fund,6978.0,Investor Capital Partners,2000,Venture Capital / Growth Equity,322000000.0,USD
8104,Argo II Wireless Internet Fund,6377.0,Argo Global Capital,2000,Venture Capital / Growth Equity,300000000.0,USD
13443,ARC Canadian Venture Fund 2,7084.0,ARC Financial Corp.,2000,Venture Capital / Growth Equity,153500000.0,CAD
13432,Washington & Congress Capital Partners LP,9022.0,Washington & Congress Managers LLC,2000,Venture Capital / Growth Equity,,
7571,Ignition Venture Partners I,7015.0,Ignition Partners,2000,Venture Capital / Growth Equity,135000000.0,USD
5328,BV Capital Fund II,7047.0,Headline,2000,Venture Capital / Growth Equity,250000000.0,USD
30674,Bravo Equity Partners I,15268.0,Bravo Equity Partners,2000,Venture Capital / Growth Equity,100000000.0,USD
30859,Lynx Capital Ventures,15366.0,Azini Capital,2000,Venture Capital / Growth Equity,36000000.0,USD
5403,August Capital III,7228.0,August Capital,2000,Venture Capital / Growth Equity,455000000.0,USD
30323,Cornerstone Fund I,15100.0,Grayhawk Capital,2000,Venture Capital / Growth Equity,30000000.0,USD
10726,Concord VI Venture Capital,7375.0,Concord Venture Capital Group,2000,Venture Capital / Growth Equity,500000000.0,USD
29659,VW7,14663.0,Five Corners Capital,2000,Venture Capital / Growth Equity,235000000.0,USD
16045,Springboard-Harper Fund,6924.0,WI Harper Group,2000,Venture Capital / Growth Equity,70000000.0,USD
16129,Pitango Venture Capital Fund III,6986.0,Pitango Venture Capital,2000,Venture Capital / Growth Equity,417170000.0,USD
8141,New Enterprise Associates 10,6610.0,New Enterprise Associates,2000,Venture Capital / Growth Equity,2320000000.0,USD
5465,Baker Capital II,6390.0,Baker Capital,2000,Venture Capital / Growth Equity,,
8105,ArrowPath Fund II,6378.0,ArrowPath Venture Capital,2000,Venture Capital / Growth Equity,180000000.0,USD
27121,Baird Venture Partners I,8774.0,Baird Capital,2000,Venture Capital / Growth Equity,30000000.0,USD
16142,United Enterprise Fund,6993.0,Utendahl Capital Partners,2000,Venture Capital / Growth Equity,20000000.0,USD
12642,Forward Ventures III,6494.0,Forward Ventures,2000,Venture Capital / Growth Equity,10000000.0,USD
8755,NewSpring Ventures I,7659.0,NewSpring Capital,2000,Venture Capital / Growth Equity,135000000.0,USD
20788,Endowment Venture Partners V,914.0,Commonfund Capital,2000,Venture Capital / Growth Equity,727100000.0,USD
15821,Kennet II,6893.0,Kennet Partners,2000,Venture Capital / Growth Equity,210000000.0,USD
1407,Envest Ventures I,11373.0,Envest Capital Partners,2000,Venture Capital / Growth Equity,162000000.0,USD
4211,BI Biomedical Venture I,8256.0,Sunstone Life Science Venture,2000,Venture Capital / Growth Equity,355000000.0,DKK
14360,Polaris Venture Partners III,6643.0,Polaris Partners,2000,Venture Capital / Growth Equity,836000000.0,USD
15811,FPCI CDC Innovation 2000,6426.0,Innovation Capital,2000,Venture Capital / Growth Equity,143000000.0,EUR
14327,Partech International Ventures IV,6633.0,Partech,2000,Venture Capital / Growth Equity,300000000.0,USD
14311,Palomar Ventures II,6630.0,Palomar Ventures,2000,Venture Capital / Growth Equity,250000000.0,USD
14308,Commonwealth Capital Ventures III,6444.0,Commonwealth Capital Ventures,2000,Venture Capital / Growth Equity,177000000.0,USD
2207,FTF II,11584.0,Fortune Technology Fund Ltd,2000,Venture Capital / Growth Equity,25000000.0,USD
14306,Columbine Venture Fund II,7158.0,Columbine Ventures,2000,Venture Capital / Growth Equity,,
14292,Clarity Partners I,6436.0,Clarity Partners,2000,Venture Capital / Growth Equity,817000000.0,USD
4108,Hudson Venture Partners II,12413.0,Hudson Venture Partners,2000,Venture Capital / Growth Equity,132000000.0,USD
14521,Innovacom 4,6543.0,Innovacom,2000,Venture Capital / Growth Equity,200000000.0,EUR
3724,Westbridge Ventures I,11683.0,WestBridge Capital Partners,2000,Venture Capital / Growth Equity,140000000.0,USD
2206,FTF I,11584.0,Fortune Technology Fund Ltd,2000,Venture Capital / Growth Equity,30000000.0,USD
15817,ADD I,7512.0,Add Partners,2000,Venture Capital / Growth Equity,175000000.0,EUR
14305,Columbia Capital Equity Partners III,6443.0,Columbia Capital,2000,Venture Capital / Growth Equity,865000000.0,USD
14536,Intersouth Partners V,6548.0,Intersouth Partners,2000,Venture Capital / Growth Equity,183000000.0,USD
46845,Origin Ventures I,14254.0,Origin Ventures,2000,Venture Capital / Growth Equity,1125000.0,USD
14544,InterWest Partners VIII,6549.0,InterWest Partners,2000,Venture Capital / Growth Equity,750000000.0,USD
15230,Nexit Infocom 2000,6931.0,Nexit Ventures,2000,Venture Capital / Growth Equity,66330000.0,EUR
15206,Alta Communications VIII,6366.0,Alta Communications,2000,Venture Capital / Growth Equity,486000000.0,USD
15430,VantagePoint Venture Partners IV,6726.0,VantagePoint Capital Partners,2000,Venture Capital / Growth Equity,1600000000.0,USD
15200,Alta Biopharma Partners II,6367.0,Alta Partners,2000,Venture Capital / Growth Equity,220000000.0,USD
5287,Constellation Ventures II,7143.0,HPS Investment Partners,2000,Venture Capital / Growth Equity,350000000.0,USD
15194,Alloy Ventures 2000,6365.0,Alloy Ventures,2000,Venture Capital / Growth Equity,230000000.0,USD
15245,North Bridge Venture Partners IV,6619.0,North Bridge Venture Partners,2000,Venture Capital / Growth Equity,510000000.0,USD
5338,YankeeTek Incubator Fund I,7303.0,YankeeTek Ventures,2000,Venture Capital / Growth Equity,60000000.0,USD
15437,Venture Investors Early Stage III,7501.0,Venture Investors,2000,Venture Capital / Growth Equity,30000000.0,USD
15438,Venture Lending & Leasing III,7502.0,Western Technology Investment,2000,Venture Capital / Growth Equity,831000000.0,USD
22637,Independence Venture and Technology,1672.0,Independence Holdings Partners,2000,Venture Capital / Growth Equity,,
22685,Pinebridge Global Sports & Entertainment Partners,5576.0,PineBridge Investments,2000,Venture Capital / Growth Equity,143000000.0,USD
15835,Eurofund 2000,6959.0,Eurofund,2000,Venture Capital / Growth Equity,50000000.0,USD
22716,JAFCO Series III Funds,7415.0,Globespan Capital Partners,2000,Venture Capital / Growth Equity,422755000.0,USD
4212,BI Biomedical Venture II,8256.0,Sunstone Life Science Venture,2000,Venture Capital / Growth Equity,287000000.0,KRW
14520,InnoCal II,6982.0,InnoCal Ventures,2000,Venture Capital / Growth Equity,100000000.0,USD
14417,Red River Ventures,6655.0,Red River Ventures,2000,Venture Capital / Growth Equity,86000000.0,USD
22185,Boston Capital Ventures V,7747.0,Boston Capital Ventures,2000,Venture Capital / Growth Equity,,
5673,PacifiCap Ventures Hawaii,7368.0,PacifiCap Group,2000,Venture Capital / Growth Equity,3000000.0,USD
14491,Highland Capital Partners V,6534.0,Highland Capital Partners,2000,Venture Capital / Growth Equity,500000000.0,USD
15763,Alta Berkeley VI,7275.0,Alta Berkeley,2000,Venture Capital / Growth Equity,150000000.0,EUR
