,fund_id,fund_name,fm_id,strategy,sector,region,country,target_fund_size_amt,target_fund_size_currency,fund_size_amt,fund_currency,status,stage,vintage_year,open_date
28,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,Biotech / Life Science,Central/Eastern Europe,,300000000.0,USD,,,Launched,,2019,2019-1
29,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,Biotech / Life Science,North America,,300000000.0,USD,,,Launched,,2019,2019-1
30,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,TMT,Middle East/Africa,,300000000.0,USD,,,Launched,,2019,2019-1
31,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,TMT,Asia-Pacific,,300000000.0,USD,,,Launched,,2019,2019-1
32,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,TMT,Western Europe,,300000000.0,USD,,,Launched,,2019,2019-1
33,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,TMT,Central/Eastern Europe,,300000000.0,USD,,,Launched,,2019,2019-1
34,44961,Hontai Capital Fund I,13554,Venture Capital / Growth Equity,TMT,North America,,300000000.0,USD,,,Launched,,2019,2019-1
35,44972,Goode Partners Consumer Fund IV,8330,Buyout / Corporate Private Equity,Consumer Goods,North America,,250000000.0,USD,,,Launched,,2019,2019-0
36,44973,Harbour Group Investments VII,6862,Buyout / Corporate Private Equity,Other,North America,,700000000.0,USD,,,Launched,,2019,2019-0
37,45001,TPG Tech Adjacencies FOF-L,6701,Fund of Funds / Co-Investment,TMT,North America,,,,,,Launched,,2019,2019-1
38,45092,Third Prime Alpha Fund II,19473,Venture Capital / Growth Equity,Diversified,North America,United States,60000000.0,USD,35550000.0,USD,Currently Investing,1st Close,2019,2019-2
39,45097,Align Impact Fund II,18204,Fund of Funds / Co-Investment,Diversified,North America,,,,10000000.0,USD,Currently Investing,2nd Close,2019,2019-1
40,45129,Sonoma Brands Fund III,18686,Venture Capital / Growth Equity,Consumer Goods,North America,,,,102650000.0,USD,Currently Investing,2nd Close,2019,2019-3
41,45147,Quake Seed Capital Fund III,19482,Venture Capital / Growth Equity,Diversified,North America,United States,100000000.0,USD,1640000.0,USD,Currently Investing,1st Close,2019,2019-1
42,45187,Special Opportunities Fund VII,11995,Fund of Funds / Co-Investment,Diversified,Western Europe,,,,99040000.0,USD,Currently Investing,1st Close,2019,2019-1
43,45187,Special Opportunities Fund VII,11995,Fund of Funds / Co-Investment,Diversified,North America,,,,99040000.0,USD,Currently Investing,1st Close,2019,2019-1
44,45197,Stone-Goff Partners III,16981,Buyout / Corporate Private Equity,Consumer Goods,North America,United States,175000000.0,USD,36250000.0,USD,Currently Investing,1st Close,2019,2019-8
45,45197,Stone-Goff Partners III,16981,Buyout / Corporate Private Equity,Business Services,North America,United States,175000000.0,USD,36250000.0,USD,Currently Investing,1st Close,2019,2019-8
46,45197,Stone-Goff Partners III,16981,Buyout / Corporate Private Equity,Other,North America,United States,175000000.0,USD,36250000.0,USD,Currently Investing,1st Close,2019,2019-8
47,45273,Bolt Energy,7673,Buyout / Corporate Private Equity,Energy / Oil & Gas,North America,United States,,,215000000.0,USD,Launched,,2019,2019-1
48,45274,Bolt Energy (Feeder),7673,Buyout / Corporate Private Equity,Energy / Oil & Gas,North America,United States,,,59300000.0,USD,Launched,,2019,2019-1
49,45277,USSC Alternative Income Fund,19506,Mezzanine / Debt,Diversified,North America,United States,,,,,Launched,,2019,2019-2
50,45321,Swiss Life Modern Aviation Investment,11912,Buyout / Corporate Private Equity,Transport,North America,,,,,,Launched,,2019,2019-2
51,45321,Swiss Life Modern Aviation Investment,11912,Buyout / Corporate Private Equity,Transport,Western Europe,,,,,,Launched,,2019,2019-2
52,45347,Riverstone Onyx Strategic,8459,Buyout / Corporate Private Equity,Energy / Oil & Gas,North America,,,,,,Launched,,2019,2019-2
53,45401,KKR Principal Opportunities Partnership II,5586,Buyout / Corporate Private Equity,Diversified,North America,,,,677000000.0,USD,Launched,,2019,2019-2
54,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,Middle East/Africa,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
55,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,Central/Eastern Europe,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
56,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,Asia-Pacific,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
57,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,Western Europe,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
58,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,North America,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
59,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Financial Services,Latin America,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
60,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,Middle East/Africa,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
61,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,Central/Eastern Europe,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
62,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,Asia-Pacific,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
63,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,Western Europe,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
64,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,North America,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
65,45422,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,TMT,Latin America,,200000000.0,USD,22000000.0,USD,Currently Investing,1st Close,2019,2019-0
66,45439,Seminal Capital Partners I,19546,Buyout / Corporate Private Equity,TMT,North America,United States,150000000.0,USD,40000000.0,USD,Currently Investing,1st Close,2019,2019-2
67,45478,OCS International,6650,Buyout / Corporate Private Equity,Diversified,North America,,,,,,Launched,,2019,2019-3
68,45489,King River Capital Venture Capital Fund I,19557,Venture Capital / Growth Equity,TMT,Asia-Pacific,Australia,,,,,Currently Investing,1st Close,2019,2019-0
69,45489,King River Capital Venture Capital Fund I,19557,Venture Capital / Growth Equity,TMT,Asia-Pacific,United States,,,,,Currently Investing,1st Close,2019,2019-0
70,45489,King River Capital Venture Capital Fund I,19557,Venture Capital / Growth Equity,TMT,North America,Australia,,,,,Currently Investing,1st Close,2019,2019-0
71,45489,King River Capital Venture Capital Fund I,19557,Venture Capital / Growth Equity,TMT,North America,United States,,,,,Currently Investing,1st Close,2019,2019-0
72,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,Western Europe,Israel,50000000.0,USD,,,Launched,,2019,2019-3
73,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,Central/Eastern Europe,Israel,50000000.0,USD,,,Launched,,2019,2019-3
74,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,Middle East/Africa,Israel,50000000.0,USD,,,Launched,,2019,2019-3
75,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,Asia-Pacific,Israel,50000000.0,USD,,,Launched,,2019,2019-3
76,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,North America,Israel,50000000.0,USD,,,Launched,,2019,2019-3
77,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,Healthcare,Latin America,Israel,50000000.0,USD,,,Launched,,2019,2019-3
78,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,Western Europe,Israel,50000000.0,USD,,,Launched,,2019,2019-3
79,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,Central/Eastern Europe,Israel,50000000.0,USD,,,Launched,,2019,2019-3
80,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,Middle East/Africa,Israel,50000000.0,USD,,,Launched,,2019,2019-3
81,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,Asia-Pacific,Israel,50000000.0,USD,,,Launched,,2019,2019-3
82,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,North America,Israel,50000000.0,USD,,,Launched,,2019,2019-3
83,45511,OurCrowd Medtech Fund,17948,Venture Capital / Growth Equity,TMT,Latin America,Israel,50000000.0,USD,,,Launched,,2019,2019-3
84,45591,ACP Venture Capital Fund II,19583,Venture Capital / Growth Equity,Diversified,North America,United States,100000000.0,USD,56000000.0,USD,Currently Investing,5th Close,2019,2019-3
85,45592,FusionX Ventures Fund II,17712,Venture Capital / Growth Equity,TMT,North America,United States,50000000.0,USD,30200000.0,USD,Currently Investing,2nd Close,2019,2019-3
86,45593,SFS ICG,19584,Buyout / Corporate Private Equity,Energy / Oil & Gas,North America,United States,5000000.0,USD,3490000.0,USD,Currently Investing,1st Close,2019,2019-3
87,45641,SLP Voltage Co-Invest,6681,Fund of Funds / Co-Investment,TMT,North America,,,,,,Launched,,2019,2019-3
88,45649,Union Lake Transportation Partners,18658,Buyout / Corporate Private Equity,Transport,North America,,,,5190000.0,USD,Currently Investing,1st Close,2019,2019-3
89,45650,Advanced Life Settlement Portfolio 2019-7,17820,Venture Capital / Growth Equity,Financial Services,North America,United States,50000000.0,USD,,,Launched,,2019,2019-3
90,45666,Proof of Capital,19601,Venture Capital / Growth Equity,TMT,North America,United States,50000000.0,USD,,,Launched,,2019,2019-3
91,45668,CDPQ–AI Fund,93,Venture Capital / Growth Equity,TMT,North America,Canada,250000000.0,USD,,,Launched,,2019,2019-3
92,45725,Triangle Peak Partners III,12924,Venture Capital / Growth Equity,Energy / Oil & Gas,North America,United States,300000000.0,USD,127760000.0,USD,Currently Investing,1st Close,2019,2019-3
93,45725,Triangle Peak Partners III,12924,Venture Capital / Growth Equity,TMT,North America,United States,300000000.0,USD,127760000.0,USD,Currently Investing,1st Close,2019,2019-3
94,45733,Hivers & Strivers Co-Investment Fund IB,18385,Venture Capital / Growth Equity,Diversified,North America,United States,3000000.0,USD,,,Launched,,2019,2019-0
95,45761,NextGen Octopus,17811,Venture Capital / Growth Equity,TMT,North America,,,,1000000.0,USD,Currently Investing,1st Close,2019,2019-3
96,45771,ORCP II Neon Co-Investors,12825,Fund of Funds / Co-Investment,Diversified,North America,,,,,,Launched,,2019,2019-3
97,45777,GreenOaks Magnolia Fund,17328,Venture Capital / Growth Equity,TMT,North America,United States,,,,,Launched,,2019,2019-3
98,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,Central/Eastern Europe,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
99,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,Western Europe,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
100,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,Middle East/Africa,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
101,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,North America,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
102,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,Asia-Pacific,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
103,45790,First Reserve Fund XIV,6490,Buyout / Corporate Private Equity,Energy / Oil & Gas,Latin America,,,,465000000.0,USD,Currently Investing,1st Close,2019,2019-3
104,45796,Overton VC Fund I,19624,Venture Capital / Growth Equity,Consumer Goods,North America,United States,,,,,Launched,,2019,2019-3
105,45806,Artis Ventures III,14888,Venture Capital / Growth Equity,Biotech / Life Science,North America,United States,300000000.0,USD,89200000.0,USD,Currently Investing,1st Close,2019,2019-3
106,45806,Artis Ventures III,14888,Venture Capital / Growth Equity,Healthcare,North America,United States,300000000.0,USD,89200000.0,USD,Currently Investing,1st Close,2019,2019-3
107,45806,Artis Ventures III,14888,Venture Capital / Growth Equity,TMT,North America,United States,300000000.0,USD,89200000.0,USD,Currently Investing,1st Close,2019,2019-3
108,45811,SKK Provident Investors,19628,Venture Capital / Growth Equity,Biotech / Life Science,North America,,,,25150000.0,USD,Currently Investing,1st Close,2019,2019-3
109,45811,SKK Provident Investors,19628,Venture Capital / Growth Equity,Healthcare,North America,,,,25150000.0,USD,Currently Investing,1st Close,2019,2019-3
110,45811,SKK Provident Investors,19628,Venture Capital / Growth Equity,TMT,North America,,,,25150000.0,USD,Currently Investing,1st Close,2019,2019-3
111,45834,HPS Special Situations Opportunity Fund,7143,Mezzanine / Debt,Diversified,North America,,600000000.0,USD,170850000.0,USD,Currently Investing,1st Close,2019,2019-3
112,45836,GSP TP Fund,19632,Buyout / Corporate Private Equity,Diversified,North America,United States,60000000.0,USD,,,Launched,,2019,2019-3
113,45837,Betaworks Ventures 2.0,17720,Venture Capital / Growth Equity,TMT,North America,United States,55000000.0,USD,8830000.0,USD,Currently Investing,1st Close,2019,2019-12
114,45844,Hazoor Select,19635,Buyout / Corporate Private Equity,Financial Services,North America,United States,,,142340000.0,USD,Currently Investing,2nd Close,2019,2019-3
115,45844,Hazoor Select,19635,Buyout / Corporate Private Equity,TMT,North America,United States,,,142340000.0,USD,Currently Investing,2nd Close,2019,2019-3
116,45847,Halley Venture Fund II,18474,Venture Capital / Growth Equity,Other,North America,United States,,,,,Launched,,2019,2019-3
117,45847,Halley Venture Fund II,18474,Venture Capital / Growth Equity,Agribusiness,North America,United States,,,,,Launched,,2019,2019-3
118,45936,Rio Agri-Food Venture Capital Fund,19646,Venture Capital / Growth Equity,Agribusiness,North America,,150000000.0,USD,77500000.0,USD,Currently Investing,1st Close,2019,2019-4
119,45939,Okta Ventures,19648,Venture Capital / Growth Equity,TMT,North America,,50000000.0,USD,,,Launched,,2019,2019-4
120,45943,Delta-v Capital Fund IV,18404,Secondaries,TMT,North America,United States,250000000.0,USD,,,Launched,,2020,2020-12
121,45947,N2C Derm & Pain,19615,Secondaries,Diversified,North America,,,,42100000.0,USD,Currently Investing,1st Close,2019,2019-2
122,45989,SWC MP Investments,19359,Venture Capital / Growth Equity,TMT,North America,United States,,,,,Launched,,2019,2019-4
123,46008,Monarch Special Opportunities Fund,19657,Mezzanine / Debt,Diversified,North America,United Kingdom,,,292470000.0,USD,Currently Investing,7th Close,2019,2019-3
124,46008,Monarch Special Opportunities Fund,19657,Mezzanine / Debt,Diversified,North America,United States,,,292470000.0,USD,Currently Investing,7th Close,2019,2019-3
125,46008,Monarch Special Opportunities Fund,19657,Mezzanine / Debt,Diversified,Western Europe,United Kingdom,,,292470000.0,USD,Currently Investing,7th Close,2019,2019-3
126,46008,Monarch Special Opportunities Fund,19657,Mezzanine / Debt,Diversified,Western Europe,United States,,,292470000.0,USD,Currently Investing,7th Close,2019,2019-3
127,46009,Kairos Venture Opportunities I,18382,Venture Capital / Growth Equity,Biotech / Life Science,North America,United States,100000000.0,USD,24600000.0,USD,Currently Investing,1st Close,2019,2019-4
128,46009,Kairos Venture Opportunities I,18382,Venture Capital / Growth Equity,Healthcare,North America,United States,100000000.0,USD,24600000.0,USD,Currently Investing,1st Close,2019,2019-4
129,46009,Kairos Venture Opportunities I,18382,Venture Capital / Growth Equity,TMT,North America,United States,100000000.0,USD,24600000.0,USD,Currently Investing,1st Close,2019,2019-4
130,46059,Goldcrest Capital Bird-C-1,19666,Venture Capital / Growth Equity,TMT,North America,United States,11000000.0,USD,,,Launched,,2019,2019-4
131,46064,Aethon III,17065,Venture Capital / Growth Equity,Energy / Oil & Gas,North America,,425000000.0,USD,,,Launched,,2019,2019-4
132,46072,Shasta Ventures VI,7651,Venture Capital / Growth Equity,TMT,North America,,325000000.0,USD,,,Launched,,2019,2019-4
133,46096,OLC Fund 1,19677,Venture Capital / Growth Equity,TMT,North America,United States,6000000.0,USD,3500000.0,USD,Launched,,2019,2019-4
134,46096,OLC Fund 1,19677,Venture Capital / Growth Equity,Other,North America,United States,6000000.0,USD,3500000.0,USD,Launched,,2019,2019-4
135,46098,Susa Ventures Founders III,15789,Venture Capital / Growth Equity,TMT,North America,,3000000.0,USD,,,Launched,,2019,2019-4
136,46103,Summit Hill Credit Fund,6744,Mezzanine / Debt,Diversified,North America,,,,245000000.0,USD,Currently Investing,1st Close,2019,2019-3
137,46108,NBM Investment Fund II,19684,Venture Capital / Growth Equity,TMT,North America,,75000000.0,USD,15000000.0,USD,Currently Investing,1st Close,2019,2019-4
138,46110,TTCP Participation Fund II,13421,Venture Capital / Growth Equity,Healthcare,North America,,10000000.0,USD,,,Launched,,2019,2019-4
139,46110,TTCP Participation Fund II,13421,Venture Capital / Growth Equity,TMT,North America,,10000000.0,USD,,,Launched,,2019,2019-4
140,46111,HCP Private Equity Fund IX,1740,Fund of Funds / Co-Investment,Diversified,North America,,,,299920000.0,USD,Currently Investing,2nd Close,2019,2019-4
141,46117,Cross Creek Focus Fund,8314,Venture Capital / Growth Equity,Biotech / Life Science,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
142,46117,Cross Creek Focus Fund,8314,Venture Capital / Growth Equity,Consumer Goods,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
143,46117,Cross Creek Focus Fund,8314,Venture Capital / Growth Equity,TMT,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
144,46128,AIM Ventura Capital Fund,19687,Buyout / Corporate Private Equity,Diversified,North America,United States,,,23290000.0,USD,Currently Investing,2nd Close,2019,2018-0
145,46131,RCP Vega Co-Invest,16699,Fund of Funds / Co-Investment,Financial Services,North America,,,,,,Launched,,2019,2019-4
146,46131,RCP Vega Co-Invest,16699,Fund of Funds / Co-Investment,Financial Services,Western Europe,,,,,,Launched,,2019,2019-4
147,46133,OW Exer Investors,19688,Buyout / Corporate Private Equity,Diversified,North America,United States,,,7750000.0,USD,Currently Investing,1st Close,2019,2019-3
148,46164,Jobi Capital Investment Fund II,19694,Venture Capital / Growth Equity,Consumer Goods,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
149,46164,Jobi Capital Investment Fund II,19694,Venture Capital / Growth Equity,Retail,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
150,46164,Jobi Capital Investment Fund II,19694,Venture Capital / Growth Equity,TMT,North America,United States,100000000.0,USD,,,Launched,,2019,2019-4
151,46179,BIOS LTI Co-Invest III,18662,Fund of Funds / Co-Investment,TMT,North America,,30000000.0,USD,15120000.0,USD,Currently Investing,2nd Close,2019,2019-4
152,46226,ORCP II Process Solutions Co-Investors,12825,Fund of Funds / Co-Investment,Diversified,North America,,,,,,Launched,,2019,2019-4
153,46227,Vivo Opportunity Co-Invest,7980,Fund of Funds / Co-Investment,Healthcare,North America,China,,,80000000.0,USD,Launched,,2019,2019-4
154,46227,Vivo Opportunity Co-Invest,7980,Fund of Funds / Co-Investment,Healthcare,North America,United States,,,80000000.0,USD,Launched,,2019,2019-4
155,46227,Vivo Opportunity Co-Invest,7980,Fund of Funds / Co-Investment,Healthcare,Asia-Pacific,China,,,80000000.0,USD,Launched,,2019,2019-4
156,46227,Vivo Opportunity Co-Invest,7980,Fund of Funds / Co-Investment,Healthcare,Asia-Pacific,United States,,,80000000.0,USD,Launched,,2019,2019-4
157,46230,Nebari Natural Resources Credit Fund I,19702,Mezzanine / Debt,Natural Resources,North America,United States,100000000.0,USD,37000000.0,USD,Currently Investing,1st Close,2019,2019-4
158,46230,Nebari Natural Resources Credit Fund I,19702,Mezzanine / Debt,Natural Resources,Western Europe,United States,100000000.0,USD,37000000.0,USD,Currently Investing,1st Close,2019,2019-4
159,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,Western Europe,,,,574100000.0,USD,Launched,,2019,2019-4
160,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,Middle East/Africa,,,,574100000.0,USD,Launched,,2019,2019-4
161,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,Latin America,,,,574100000.0,USD,Launched,,2019,2019-4
162,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,North America,,,,574100000.0,USD,Launched,,2019,2019-4
163,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,Central/Eastern Europe,,,,574100000.0,USD,Launched,,2019,2019-4
164,46231,Oaktree Mezzanine Fund V,5588,Mezzanine / Debt,Diversified,Asia-Pacific,,,,574100000.0,USD,Launched,,2019,2019-4
165,46240,Energy Reservoir Onshore Co-Invest Fund,14412,Fund of Funds / Co-Investment,Energy / Oil & Gas,Western Europe,United States,18830000.0,USD,,,Launched,,2019,2019-4
166,46240,Energy Reservoir Onshore Co-Invest Fund,14412,Fund of Funds / Co-Investment,Energy / Oil & Gas,North America,United States,18830000.0,USD,,,Launched,,2019,2019-4
167,46245,Grit Labs Venture Fund I,19707,Venture Capital / Growth Equity,TMT,North America,United States,,,,,Launched,,2019,2019-4
168,46247,Next Coast Ventures Entrepreneurs Fund II,17487,Venture Capital / Growth Equity,TMT,North America,,5000000.0,USD,,,Launched,,2019,2019-4
169,46262,RCP Energy Co-Invest I,1780,Fund of Funds / Co-Investment,Energy / Oil & Gas,North America,,,,,,Launched,,2019,2019-4
170,46264,Everside Fund II F1,19690,Buyout / Corporate Private Equity,Diversified,North America,United States,125000000.0,USD,75000000.0,USD,Currently Investing,1st Close,2019,2019-4
171,46266,Trillium Impact Partners Fund I,3668,Buyout / Corporate Private Equity,Diversified,North America,United States,50000000.0,USD,25500000.0,USD,Currently Investing,3rd Close,2019,2019-4
172,46294,Ares PA Opportunities Fund,6844,Mezzanine / Debt,Diversified,North America,,,,400000000.0,USD,Launched,,2019,2019-0
173,46294,Ares PA Opportunities Fund,6844,Mezzanine / Debt,Diversified,Western Europe,,,,400000000.0,USD,Launched,,2019,2019-0
174,46294,Ares PA Opportunities Fund,6844,Mezzanine / Debt,Diversified,Central/Eastern Europe,,,,400000000.0,USD,Launched,,2019,2019-0
175,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Financial Services,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
176,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Consumer Goods,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
177,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Healthcare,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
178,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Leisure,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
179,46302,M25 Fund III,18357,Venture Capital / Growth Equity,TMT,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
180,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Transport,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
181,46302,M25 Fund III,18357,Venture Capital / Growth Equity,Other,North America,United States,30000000.0,USD,16630000.0,USD,Currently Investing,1st Close,2019,2019-4
