ID,Name,FundManager,FundManagerID,Strategy,Region,Sector,VintageYear,YearOpened,MonthsOpened,TargetSize,Currency
45242,NSV 2019 Opportunities Fund,New Science Ventures,15752,Venture Capital / Growth Equity,Western Europe / Asia-Pacific / North America,Biotech / Life Science / TMT,2019,2019,1,150000000.0,USD
45273,Bolt Energy,LS Power Group,7673,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,1,,
45274,Bolt Energy (Feeder),LS Power Group,7673,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,1,,
45277,USSC Alternative Income Fund,U.S. Strategic Capital,19506,Mezzanine / Debt,North America,Diversified,2019,2019,2,,
45321,Swiss Life Modern Aviation Investment,Tiger Infrastructure Partners,11912,Buyout / Corporate Private Equity,North America / Western Europe,Transport,2019,2019,2,,
45347,Riverstone Onyx Strategic,Riverstone Holdings,8459,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,2,,
45401,KKR Principal Opportunities Partnership II,KKR,5586,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,2,,
45422,Pangea Blockchain Fund,Pangea Blockchain Fund,19543,Venture Capital / Growth Equity,Middle East/Africa / Central/Eastern Europe / Asia-Pacific / Western Europe / North America / Latin America,Financial Services / TMT,2019,2019,0,200000000.0,USD
45439,Seminal Capital Partners I,Seminal Capital Holdings,19546,Buyout / Corporate Private Equity,North America,TMT,2019,2019,2,150000000.0,USD
45478,OCS International,Providence Equity Partners,6650,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,3,,
45489,King River Capital Venture Capital Fund I,King River Capital,19557,Venture Capital / Growth Equity,Asia-Pacific / North America,TMT,2019,2019,0,,
45511,OurCrowd Medtech Fund,OurCrowd,17948,Venture Capital / Growth Equity,Western Europe / Central/Eastern Europe / Middle East/Africa / Asia-Pacific / North America / Latin America,Healthcare / TMT,2019,2019,3,50000000.0,USD
45591,ACP Venture Capital Fund II,American Capital Partners,19583,Venture Capital / Growth Equity,North America,Diversified,2019,2019,3,100000000.0,USD
45592,FusionX Ventures Fund II,FusionX Ventures,17712,Venture Capital / Growth Equity,North America,TMT,2019,2019,3,50000000.0,USD
45593,SFS ICG,Ironside Capital,19584,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,3,5000000.0,USD
45641,SLP Voltage Co-Invest,Silver Lake,6681,Fund of Funds / Co-Investment,North America,TMT,2019,2019,3,,
45649,Union Lake Transportation Partners,Union Lake Auto Partners,18658,Buyout / Corporate Private Equity,North America,Transport,2019,2019,3,,
45650,Advanced Life Settlement Portfolio 2019-7,ASR Alternative Investments,17820,Venture Capital / Growth Equity,North America,Financial Services,2019,2019,3,50000000.0,USD
45666,Proof of Capital,Race Capital,19601,Venture Capital / Growth Equity,North America,TMT,2019,2019,3,50000000.0,USD
45668,CDPQ–AI Fund,Caisse de dépôt et placement du Québec,93,Venture Capital / Growth Equity,North America,TMT,2019,2019,3,250000000.0,USD
45725,Triangle Peak Partners III,Triangle Peak Partners,12924,Venture Capital / Growth Equity,North America,Energy / Oil & Gas / TMT,2019,2019,3,300000000.0,USD
45733,Hivers & Strivers Co-Investment Fund IB,Hivers and Strivers,18385,Venture Capital / Growth Equity,North America,Diversified,2019,2019,0,3000000.0,USD
45747,Cassius Family Round 2,Cassius,19616,Venture Capital / Growth Equity,North America,Consumer Goods / TMT,2019,2019,3,40000000.0,USD
45761,NextGen Octopus,NextGen Venture Partners,17811,Venture Capital / Growth Equity,North America,TMT,2019,2019,3,,
45771,ORCP II Neon Co-Investors,One Rock Capital Partners,12825,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,3,,
45777,GreenOaks Magnolia Fund,GreenOaks Capital Partners,17328,Venture Capital / Growth Equity,North America,TMT,2019,2019,3,,
45790,First Reserve Fund XIV,First Reserve,6490,Buyout / Corporate Private Equity,Central/Eastern Europe / Western Europe / Middle East/Africa / North America / Asia-Pacific / Latin America,Energy / Oil & Gas,2019,2019,3,,
45796,Overton VC Fund I,Overton Venture Capital,19624,Venture Capital / Growth Equity,North America,Consumer Goods,2019,2019,3,,
45806,Artis Ventures III,Artis Ventures,14888,Venture Capital / Growth Equity,North America,Biotech / Life Science / Healthcare / TMT,2019,2019,3,300000000.0,USD
45811,SKK Provident Investors,Shepherd Kaplan Krochuk,19628,Venture Capital / Growth Equity,North America,Biotech / Life Science / Healthcare / TMT,2019,2019,3,,
45834,HPS Special Situations Opportunity Fund,HPS Investment Partners,7143,Mezzanine / Debt,North America,Diversified,2019,2019,3,600000000.0,USD
45836,GSP TP Fund,Garnett Station Partners,19632,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,3,60000000.0,USD
45837,Betaworks Ventures 2.0,Betaworks,17720,Venture Capital / Growth Equity,North America,TMT,2019,2019,12,55000000.0,USD
45844,Hazoor Select,Hazoor Partners,19635,Buyout / Corporate Private Equity,North America,Financial Services / TMT,2019,2019,3,,
45847,Halley Venture Fund II,Halley Venture Partners,18474,Venture Capital / Growth Equity,North America,Other / Agribusiness,2019,2019,3,,
45936,Rio Agri-Food Venture Capital Fund,Rio Investment Partners,19646,Venture Capital / Growth Equity,North America,Agribusiness,2019,2019,4,150000000.0,USD
45939,Okta Ventures,Okta Ventures,19648,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,50000000.0,USD
45943,Delta-v Capital Fund IV,Delta-v Capital,18404,Secondaries,North America,TMT,2020,2020,12,250000000.0,USD
45947,N2C Derm & Pain,New 2nd Capital,19615,Secondaries,North America,Diversified,2019,2019,2,,
45987,Ninepoint Trade Finance Fund,Ninepoint Partners,18697,Mezzanine / Debt,North America,Diversified,2019,2019,4,500000000.0,USD
45989,SWC MP Investments,Two Sigma,19359,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,,
46008,Monarch Special Opportunities Fund,Monarch Alternative Capital,19657,Mezzanine / Debt,North America / Western Europe,Diversified,2019,2019,3,,
46009,Kairos Venture Opportunities I,Kairos Ventures,18382,Venture Capital / Growth Equity,North America,Biotech / Life Science / Healthcare / TMT,2019,2019,4,100000000.0,USD
46059,Goldcrest Capital Bird-C-1,Goldcrest Capital,19666,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,11000000.0,USD
46064,Aethon III,Aethon Energy Management,17065,Venture Capital / Growth Equity,North America,Energy / Oil & Gas,2019,2019,4,425000000.0,USD
46072,Shasta Ventures VI,Shasta Ventures,7651,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,325000000.0,USD
46096,OLC Fund 1,Old Line Capital Partners,19677,Venture Capital / Growth Equity,North America,TMT / Other,2019,2019,4,6000000.0,USD
46098,Susa Ventures Founders III,Susa Ventures,15789,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,3000000.0,USD
46103,Summit Hill Credit Fund,Wilshire Associates,6744,Mezzanine / Debt,North America,Diversified,2019,2019,3,,
46108,NBM Investment Fund II,North Base Media,19684,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,75000000.0,USD
46110,TTCP Participation Fund II,TT Capital Partners,13421,Venture Capital / Growth Equity,North America,Healthcare / TMT,2019,2019,4,10000000.0,USD
46111,HCP Private Equity Fund IX,Hall Capital Partners,1740,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,4,,
46117,Cross Creek Focus Fund,Cross Creek,8314,Venture Capital / Growth Equity,North America,Biotech / Life Science / Consumer Goods / TMT,2019,2019,4,100000000.0,USD
46128,AIM Ventura Capital Fund,Adams Investment Management,19687,Buyout / Corporate Private Equity,North America,Diversified,2019,2018,0,,
46131,RCP Vega Co-Invest,Reverence Capital Partners,16699,Fund of Funds / Co-Investment,North America / Western Europe,Financial Services,2019,2019,4,,
46133,OW Exer Investors,Orangewood Partners,19688,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,3,,
46164,Jobi Capital Investment Fund II,Jobi Capital,19694,Venture Capital / Growth Equity,North America,Consumer Goods / Retail / TMT,2019,2019,4,100000000.0,USD
46179,BIOS LTI Co-Invest III,Steelhead Capital Management,18662,Fund of Funds / Co-Investment,North America,TMT,2019,2019,4,30000000.0,USD
46192,TandemLaunch Ventures III,TandemLaunch,19698,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,,
46226,ORCP II Process Solutions Co-Investors,One Rock Capital Partners,12825,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,4,,
46227,Vivo Opportunity Co-Invest,Vivo Capital,7980,Fund of Funds / Co-Investment,North America / Asia-Pacific,Healthcare,2019,2019,4,,
46230,Nebari Natural Resources Credit Fund I,Nebari Ventures,19702,Mezzanine / Debt,North America / Western Europe,Natural Resources,2019,2019,4,100000000.0,USD
46231,Oaktree Mezzanine Fund V,Oaktree Capital Management,5588,Mezzanine / Debt,Western Europe / Middle East/Africa / Latin America / North America / Central/Eastern Europe / Asia-Pacific,Diversified,2019,2019,4,,
46240,Energy Reservoir Onshore Co-Invest Fund,CSL Capital Management,14412,Fund of Funds / Co-Investment,Western Europe / North America,Energy / Oil & Gas,2019,2019,4,18830000.0,USD
46245,Grit Labs Venture Fund I,Grit Ventures,19707,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,,
46247,Next Coast Ventures Entrepreneurs Fund II,Next Coast Ventures,17487,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,5000000.0,USD
46262,RCP Energy Co-Invest I,RCP Advisors,1780,Fund of Funds / Co-Investment,North America,Energy / Oil & Gas,2019,2019,4,,
46264,Everside Fund II F1,Everside,19690,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,4,125000000.0,USD
46266,Trillium Impact Partners Fund I,Trillium Asset Management,3668,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,4,50000000.0,USD
46294,Ares PA Opportunities Fund,Ares Management,6844,Mezzanine / Debt,North America / Western Europe / Central/Eastern Europe,Diversified,2019,2019,0,,
46300,Ninepoint Monroe US Private Debt Fund,Ninepoint Partners,18697,Mezzanine / Debt,North America,Diversified,2019,2019,4,1000000000.0,USD
46302,M25 Fund III,M25 Group,18357,Venture Capital / Growth Equity,North America,Financial Services / Consumer Goods / Healthcare / Leisure / TMT / Transport / Other,2019,2019,4,30000000.0,USD
46307,Energy & Minerals Group Fund V,The Energy & Minerals Group,11468,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas / Natural Resources,2019,2019,4,2500000000.0,USD
46313,Rosecliff Venture Partners V,Rosecliff Ventures,17453,Venture Capital / Growth Equity,North America,Diversified,2019,2019,4,175000000.0,USD
46317,Motus Smart World Innovation Fund,Motus Ventures,19713,Venture Capital / Growth Equity,North America,TMT,2019,2019,4,30000000.0,USD
46351,Round Hill Music Prospect Park Co-Investment,Round Hill Music Royalty Partners,15843,Mezzanine / Debt,North America,Other,2019,2019,5,,
46379,M3 Ventures III,M3 Ventures,19664,Venture Capital / Growth Equity,North America,Diversified,2019,2019,5,75000000.0,USD
46417,Round Hill Music Royalty Fund III,Round Hill Music Royalty Partners,15843,Mezzanine / Debt,North America,Other,2019,2019,3,,
46427,Providence Sedona Co-Investment,Providence Equity Partners,6650,Buyout / Corporate Private Equity,North America,TMT,2019,2019,5,,
46493,OCA Ventures IV,OCA Ventures,7846,Venture Capital / Growth Equity,North America,Financial Services / TMT / Transport,2019,2019,5,125000000.0,USD
46523,Medical Technology Breakthrough Fund,Miraki Innovation,19768,Venture Capital / Growth Equity,North America,Healthcare / TMT,2019,2019,5,175000000.0,USD
46528,HLM Venture Partners V,HLM Venture Partners,967,Venture Capital / Growth Equity,North America,Healthcare / TMT,2019,2019,5,125000000.0,USD
46533,KKR US CLO Equity Partners II,KKR,5586,Mezzanine / Debt,North America,Diversified,2019,2019,5,,
46602,EIG Sunsuper Co-Investment II,EIG,11049,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,5,,
46607,Enhanced Healthcare Partners Co-invest,Enhanced Healthcare Partners,19791,Fund of Funds / Co-Investment,North America,Healthcare,2019,2019,5,,
46620,Energy & Minerals Group Fund V Accordion,The Energy & Minerals Group,11468,Fund of Funds / Co-Investment,North America,Energy / Oil & Gas / Natural Resources,2019,2019,4,1000000000.0,USD
46627,UnityPoint Health Ventures Innovation Fund,UnityPoint Health,12716,Venture Capital / Growth Equity,North America,Healthcare / TMT,2019,2019,5,100000000.0,USD
46631,RAC II Opportunity Fund,The Riverside Company,7754,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,1,50000000.0,USD
46647,Cross Ocean USD ESS Fund III,Cross Ocean Partners,18638,Mezzanine / Debt,North America,Diversified,2019,2019,5,1500000000.0,USD
46648,Azure I Continuation Fund,Azure Capital Partners,12841,Venture Capital / Growth Equity,North America,TMT,2019,2019,5,,
46654,ORG OTR Co-investment,Owner Resource Group,13239,Fund of Funds / Co-Investment,North America,Manufacturing / Business Services / Transport / Other,2019,2019,5,,
46670,Bedrock Capital Entrepreneurs Fund II,Bedrock Capital,19765,Venture Capital / Growth Equity,North America,TMT,2019,2019,5,15000000.0,USD
46673,Ares High Income Credit Opportunities Fund II,Ares Management,6844,Mezzanine / Debt,Western Europe / North America,Diversified,2019,2019,5,,
46693,EcoR1 Venture Opportunity Fund,EcoR1 Capital,19809,Venture Capital / Growth Equity,North America,Biotech / Life Science,2019,2019,5,,
46709,Carlyle Dazzle Partners,The Carlyle Group,5579,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,5,,
46732,Artist Edge Partners II,Artist Capital Management,19821,Venture Capital / Growth Equity,North America,Diversified,2019,2019,5,13000000.0,USD
46733,Altair Seed Co-Investment Fund,First Republic Bank,3302,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,5,,
46738,TSSP Rotational Credit Fund,Sixth Street,19637,Mezzanine / Debt,North America,Diversified,2019,2019,5,,
46740,Orkila Growth Fund III,Orkila Capital,15753,Venture Capital / Growth Equity,North America,Consumer Goods / TMT,2019,2019,6,,
46756,Innovex Co-Investment Fund,Intervale Capital,8651,Fund of Funds / Co-Investment,North America,Energy / Oil & Gas,2019,2019,6,,
46759,Shatter Fund I,The Shatter Fund,19824,Venture Capital / Growth Equity,North America,Financial Services / Healthcare / TMT / Other,2019,2019,6,10000000.0,USD
46778,MGG Specialty Finance Fund II,MGG Investment Group,17630,Mezzanine / Debt,North America,Diversified,2019,2019,5,,
46781,Parliament Credit Opportunities (open ended),Parliament Capital Management,18409,Mezzanine / Debt,Latin America / North America,Diversified,2020,2020,9,200000000.0,USD
46787,Bridging Fern Alternative Credit Fund,Bridging Finance,18704,Fund of Funds / Co-Investment,North America,Manufacturing / Retail / Other,2019,2019,6,500000000.0,USD
46814,RISA Vertex Venture Fund,RISA Partners,16455,Fund of Funds / Co-Investment,North America / Asia-Pacific / Middle East/Africa,Diversified,2019,2019,3,,
46856,Camden Partners Nexus Fund II,Camden Partners,7465,Venture Capital / Growth Equity,North America,Biotech / Life Science,2019,2019,6,50000000.0,USD
46885,Serve Opportunities Fund I,Serve Capital Partners,17649,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,5,,
46895,Vanterra HPH II,Vanterra Capital,4310,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,6,,
46899,Biologix Partners II,InCube Ventures,8639,Venture Capital / Growth Equity,North America,Biotech / Life Science,2019,2019,6,,
46900,BPC Tactical Fund,Beach Point Capital Management,13878,Mezzanine / Debt,North America,Diversified,2019,2019,6,250000000.0,USD
46910,BDCM Opportunity Fund V,Black Diamond Capital Management,7338,Mezzanine / Debt,North America,TMT,2019,2019,10,,
46932,Equality Private Equity Partners I,Equality Asset Management,19853,Venture Capital / Growth Equity,North America,Healthcare / TMT,2019,2019,10,500000000.0,USD
46935,H Venture Partners Brand Fund,H Venture Partners,19855,Venture Capital / Growth Equity,North America,Consumer Goods / Retail,2019,2019,6,20000000.0,USD
46936,H Venture Partners I,H Venture Partners,19855,Venture Capital / Growth Equity,North America,Consumer Goods / Retail,2019,2019,6,50000000.0,USD
46940,BMAC Fund '19,ASR Alternative Investments,17820,Venture Capital / Growth Equity,North America,Financial Services,2019,2019,6,5000000.0,USD
46985,Structure Duomo,Structure Capital,14271,Venture Capital / Growth Equity,North America,Diversified,2019,2019,6,50000000.0,USD
46997,Lantern Entertainment Holdings,Lantern Asset Management,17599,Distressed / Turnaround,North America,Leisure / TMT,2019,2019,4,,
47016,RCP Artemis Co-Invest,Reverence Capital Partners,16699,Fund of Funds / Co-Investment,North America / Western Europe,Financial Services,2019,2019,6,,
47019,NewSpring Growth Capital V,NewSpring Capital,7659,Venture Capital / Growth Equity,North America,Business Services / TMT,2019,2019,6,350000000.0,USD
47041,REL Aleph Coinvestment,Riverstone Holdings,8459,Fund of Funds / Co-Investment,North America,Energy / Oil & Gas,2019,2019,6,,
47047,RoundTable Healthcare Investors V,RoundTable Healthcare Partners,7247,Buyout / Corporate Private Equity,North America,Healthcare,2019,2019,6,,
47076,PROOF Side II,NAV.VC,8489,Venture Capital / Growth Equity,North America,Healthcare / TMT / Other,2019,2019,6,,
47100,PA Capital Direct,PA Capital,7085,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,6,,
47113,Monroe Ninepoint US Private Debt Fund (Evergreen),Monroe Capital,11051,Mezzanine / Debt,North America,Diversified,2019,2019,4,1000000000.0,USD
47140,GCM Grosvenor Advance Fund,GCM Grosvenor,2827,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,6,,
47160,Dominus Capital Partners III,Dominus Capital,8948,Buyout / Corporate Private Equity,North America,Consumer Goods / Business Services,2019,2019,6,750000000.0,USD
47163,RiverPark Ventures III,RiverPark Funds,19906,Venture Capital / Growth Equity,North America,Business Services,2019,2019,7,75000000.0,USD
47175,HPS Mezzanine Private Investors 2019 II,HPS Investment Partners,7143,Mezzanine / Debt,North America / Western Europe,Diversified,2019,2019,5,,
47203,NRD Opportunity Fund I,NRD Capital,18041,Venture Capital / Growth Equity,North America,Consumer Goods / Healthcare,2019,2019,0,100000000.0,USD
47229,Next Ventures,Next Ventures,19921,Venture Capital / Growth Equity,North America,Consumer Goods / Other,2019,2019,6,75000000.0,USD
47231,Valedor Capital Partners II,Valedor Partners,19922,Venture Capital / Growth Equity,North America,Diversified,2019,2019,6,,
47244,GEC Estis Co-Invest,GEC,11028,Fund of Funds / Co-Investment,North America,Energy / Oil & Gas,2019,2019,7,,
47245,Summit Partners Co-Invest,Summit Partners,6693,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,7,,
47246,RedBird Vida Co-Invest,RedBird Capital Partners,16182,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,7,,
47247,Corrum Capital Aviation Partners II,Corrum Capital Management,16426,Buyout / Corporate Private Equity,North America,Transport,2019,2019,6,,
47250,CAZ eSports Fund,CAZ Investments,9345,Buyout / Corporate Private Equity,North America,TMT,2019,2019,6,,
47266,Inspiration Ventures Secondary Fund I,Inspiration Venture,15816,Secondaries,North America,Healthcare / TMT,2019,2019,6,,
47268,YSOF III Prairie Coinvest,York Capital Management,9163,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,4,,
47380,Delta Capital Partners Fund I,Delta Capital Partners,19948,Mezzanine / Debt,North America,Financial Services / Other,2019,2019,7,100000000.0,USD
47405,Trinity Ventures XIII,Trinity Ventures,6716,Venture Capital / Growth Equity,North America,TMT,2019,2019,7,250000000.0,USD
47408,GSP Steak Fund,Garnett Station Partners,19632,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,7,11000000.0,USD
47409,Crosslink Crossover Fund VIII,Crosslink Capital,7181,Venture Capital / Growth Equity,North America,TMT,2019,2019,7,,
47410,Hamilton Lane-Carpenters Partnership Fund V,Hamilton Lane,6521,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,7,,
47439,Comvest Capital V,Comvest Partners,11696,Mezzanine / Debt,North America,Healthcare / TMT / Other,2019,2019,7,1250000000.0,USD
47451,Cannon Capital Composites I,Cannon Capital,18488,Buyout / Corporate Private Equity,North America,TMT,2019,2019,7,,
47452,Eldorado Natural Resources Fund V,Crestone Capital,3431,Fund of Funds / Co-Investment,North America,Natural Resources,2019,2019,6,,
47467,TCV NB Co,TCV,6697,Buyout / Corporate Private Equity,North America,TMT,2019,2019,7,,
47470,CRCM Opportunity Fund III,CRCM Ventures,19963,Venture Capital / Growth Equity,Asia-Pacific / North America,TMT,2019,2019,7,100000000.0,USD
47478,Lincolnshire Equity Fund V,Lincolnshire Management,7195,Buyout / Corporate Private Equity,North America,Other,2019,2019,7,,
47495,FairCap Fund I,Fair Capital Partners,19970,Mezzanine / Debt,North America,Diversified,2020,2020,2,350000000.0,CAD
47501,Rokk3r Fuel Co-Invest 2,Rokk3r Inc.,18310,Fund of Funds / Co-Investment,North America,TMT,2019,2019,4,,
47507,Intelis Fund I,Intelis Capital,19973,Venture Capital / Growth Equity,North America,Energy / Oil & Gas / TMT,2019,2019,7,25000000.0,USD
47509,Nuveen Agribusiness Fund III,Nuveen,483,Buyout / Corporate Private Equity,North America,Agribusiness,2019,2019,7,300000000.0,USD
47528,CWM MGM Slate 1,Creative Wealth Media,19979,Mezzanine / Debt,North America,TMT,2019,2019,5,125000000.0,USD
47530,Charter Growth Capital Fund (CGCF),Charter Capital Partners,19980,Mezzanine / Debt,North America,Biotech / Life Science / Industrials / Manufacturing / Business Services,2019,2019,7,100000000.0,USD
47533,OurInterest Diversified Climate Fund,The OurInterest Group,19981,Venture Capital / Growth Equity,North America,Diversified,2019,2019,0,150000000.0,USD
47534,8VC HighLight III,8VC,17030,Venture Capital / Growth Equity,North America,TMT,2019,2019,7,,
47554,JCF IV Coinvest Apex,JC Flowers & Co.,7899,Fund of Funds / Co-Investment,North America / Western Europe,Financial Services,2019,2019,7,,
47566,TCV Bus Co,TCV,6697,Buyout / Corporate Private Equity,North America,TMT,2019,2019,8,,
47572,Naya SPV III,Dallas Venture Capital,13364,Venture Capital / Growth Equity,Asia-Pacific / North America,TMT,2019,2019,6,2500000.0,USD
47577,TitletownTech Fund I,TitletownTech Management,19993,Venture Capital / Growth Equity,North America,Healthcare / Manufacturing / TMT / Natural Resources / Agribusiness,2019,2019,8,25000000.0,USD
47587,Sustainable Investors Fund,Capricorn Investment Group,18670,Venture Capital / Growth Equity,North America,Clean Tech / Renewable / Energy / Oil & Gas,2019,2019,9,400000000.0,USD
47590,Bedford Funds,Bedford Funds,19998,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas / TMT,2019,2019,8,2000000000.0,USD
47605,Point Olema U.S. Venture Capital Portfolio,Main Post Advisors,20001,Venture Capital / Growth Equity,North America,Diversified,2019,2019,7,500000000.0,USD
47608,Yorktown Midstream Partners,Yorktown Partners,6842,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,8,,
47642,Foundation Energy Fund VII - A,Foundation Energy Management,10734,Buyout / Corporate Private Equity,North America,Energy / Oil & Gas,2019,2019,4,150000000.0,USD
47651,Carlyle Direct Alternative Opportunities Fund,The Carlyle Group,5579,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,8,,
47652,CAIS Carlyle Direct Access,CAIS Group,19442,Buyout / Corporate Private Equity,North America,Diversified,2019,2019,8,,
47656,Wilshire Private Markets Family Office Fund IV,Wilshire Associates,6744,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,0,,
47672,SCS Private Real Assets III,SCS Financial Services,9785,Fund of Funds / Co-Investment,Central/Eastern Europe / Western Europe / North America,Energy / Oil & Gas,2019,2019,7,,
47675,Goldman Sachs Private Middle Market Credit II (PMMC II),Goldman Sachs Asset Management,954,Mezzanine / Debt,North America,Diversified,2019,2019,3,,
47687,BR Superfoods Co-Invest,Blue Road Capital,16871,Fund of Funds / Co-Investment,North America,Consumer Goods / Agribusiness,2019,2019,8,,
47690,San Jose FCERS/Neuberger Berman Strategic Partnership,Neuberger Berman Private Markets,1801,Fund of Funds / Co-Investment,North America,Diversified,2019,2019,0,,
